,C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,d^2y/dx0^2{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x","t{power: 1.0, dim: 0.0}_x","d^2x/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_x",x{power: 1.0}_x,"d^2x/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",x{power: 1.0}_y,C_y,dx/dx0{power: 1.0} * dy/dx0{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,d^2x/dx0^2{power: 1.0}_y,y{power: 1.0} * x{power: 1.0}_y,"d^2y/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y"
0,-0.00016844705806130092,-1.0,0.00025228848341242503,1.508320149774313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.012805038663254e-06,9.242450366380351e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.2410287945682812e-05,0.0,-1.884850095910504e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.012805038663254e-06,9.242450366380351e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-3.4068279245231825e-08,0.0,0.0,0.0,0.0,0.0,-1.0,7.906643371141539e-11,0.0,0.0,0.0,-1.012805038663254e-06,9.242450366380351e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.00016844705806130092,-1.0,0.00025228848341242503,1.508320149774313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.00016844705806130092,-1.0,0.00025228848341242503,1.508320149774313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.017671027106159e-09,0.0,0.0,0.0,0.0,-1.4889658189197906e-08,-1.0,0.0,0.0,0.0
5,1.6085804157088086e-05,-1.0,0.0,0.0,0.0,0.0,0.0,-2.6480837944194134e-07,0.0,0.0,0.0,-1.012805038663254e-06,9.242450366380351e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.2410287945682812e-05,0.0,-1.884850095910504e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.943908459854297e-05,0.0,-0.00013072269700202297,0.0,0.0,0.0,0.0,0.6791473481666996,-1.0,0.0
7,-4.892437547709732e-05,0.8707617687237241,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,7.337395505434217e-05,3.61364517221742e-05,0.0,-0.0001514987589070789,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.2410287945682812e-05,0.0,-1.884850095910504e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.0022607134638759252,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002403891212799399,0.0,0.004657208682090405,-0.004230591147337736,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
