dy/dx0{power: 1.0}_x,C_x,dx/dx0{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",C_y,dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,x{power: 1.0}_y,dx/dx0{power: 1.0} * x{power: 1.0}_y,dx/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y
1.2996909854920726,2.6495884124343313e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.861497624765566e-05,-1.0,1.4509665972495982,5.3629693553981015e-05,0.0,0.0,0.0
0.0,-3.2866183610707744e-08,0.0,0.0,0.272144009249161,-1.0,0.0,0.0,0.0,-1.3904083009598618e-05,-1.0,0.0,0.0,0.575997927690349,0.0,0.0
0.349545393413794,0.00106197818199,0.0,0.0,0.0,0.0,-0.0039632544541211,-1.0,0.0,-0.0006961795494729,0.0,0.0,0.0010056332321319,0.0,0.1089835359405379,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0026158274992031,-1.0,0.0,0.0037788672808994,0.0,0.401959590975121,0.0
0.3521626132177624,5.916926398029174e-06,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.3972892731521309e-05,-1.0,0.0,0.0,0.0,0.3955826105319631,0.0
0.3495453934137948,0.00106197818199,0.0,0.0,0.0,0.0,-0.003963254454121,-1.0,0.0,-1.3972892731521309e-05,-1.0,0.0,0.0,0.0,0.3955826105319631,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.3972892731521309e-05,-1.0,0.0,0.0,0.0,0.3955826105319631,0.0
0.0,5.163039340254511e-05,0.0,-7.500139974259407e-05,0.0,-1.0,0.0,0.0,0.0,-3.773263952229081e-06,0.0,0.0,0.0,0.0,0.10728649209708,-1.0
1.2987668732954294,2.8124023290048865e-05,-0.9968508273831945,-9.57795971270189e-08,0.0,-0.0014638308120954269,-8.712470940251569e-06,0.0,-0.006966972322676613,-2.806337082571782e-05,-0.9953272931107593,1.4499693797694595,4.941256754631478e-05,0.0,0.0,-0.005998114591017533
0.0,-3.2866183610707744e-08,0.0,-2.5927232661771832e-08,0.272144009249161,-1.0,0.0,0.0,0.0,-2.840843210041829e-05,-0.994607799360844,0.0060612333716466085,1.765003928106063e-05,0.5744138255650021,0.0017542956300924271,0.0
0.34988953317414856,0.001060272230257904,0.0,-1.4116785275664964e-07,0.00034006217172195634,-0.0028603058562117873,-0.0039632544541211,-0.9883482857265266,0.0,-0.0006915478830310062,0.0,0.0,0.0010062128279272786,0.0,0.11153191847046207,-0.9936000398137814
0.0069701791082084135,-3.2866183610707744e-08,-0.005660176729143029,0.0,0.0,0.0,-2.2805133001082566e-05,0.0,-0.9952047055576435,-0.0026158274992031,-1.0,0.004661552699571335,0.0037788672808994,0.0010522152280343588,0.401959590975121,-0.007364694282475757
