RMSE_x,RMSE_y,CRPS_x,CRPS_y
0.05964646803000861,0.04203416097902293,0.042313529870196195,0.03356414976455833
0.05474654563206225,0.04610731659560987,0.03993461486010695,0.03658219651212699
0.034190856522481286,0.0418878790380701,0.028125770687845292,0.031941405598604034
0.04254639840939062,0.03613918351241593,0.03292556372887976,0.028682534403586892
0.03192615586659496,0.039089072519335466,0.02583665475797892,0.030104768055968484
0.035569327194516304,0.04366997785343218,0.028599305897035184,0.03338516676458533
0.037300813105681535,0.03784386260062989,0.030283318754556608,0.02898737374216258
0.055889343699612,0.06487757961401863,0.041634874550220476,0.044085347100021065
0.032049747559664256,0.036580467815225,0.026379285104168326,0.028501973280392112
0.029592927975054483,0.03371553355604648,0.024009106667008392,0.02589700230675531
0.05752869262298965,0.036328379332999164,0.04409419016634869,0.028389723681122046
0.03905622140344413,0.03224455877291744,0.03152868910799836,0.025326902914017763
