C_x,dx/dx0{power: 1.0}_x,x{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,d^2y/dx0^2{power: 1.0} * dx/dx0{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,"t{power: 1.0, dim: 0.0} * x{power: 1.0}_x",d^2y/dx0^2{power: 1.0} * x{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,y{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y","t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0} * x{power: 1.0}_y,y{power: 1.0} * x{power: 1.0}_y,x{power: 1.0}_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0} * y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y
-0.0028234754660365,-1.0,0.0032890768613949,0.0,0.0,0.0,0.0,0.0,0.0009599866820373,-1.0,-0.0025696865980908,0.0029807419467955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8651699895823097e-07,-1.0,0.0,1.2089008426374956,0.0,0.0,0.0,0.0,0.0009599866820373,-1.0,-0.0025696865980908,0.0029807419467955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.889136135559527e-05,0.8324345811293004,-8.217091864900049e-05,-1.0,0.0,0.0,0.0,0.0,-0.0008076144899302,-1.0,0.0,0.0,1.9768204357018743e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.889136135486147e-05,0.8324345811292962,-8.217091864864921e-05,-1.0,0.0,0.0,0.0,0.0,2.378484218155035e-05,0.8365510883049259,-6.218340698905171e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
6.889136135486147e-05,0.8324345811292962,-8.217091864864921e-05,-1.0,0.0,0.0,0.0,0.0,-0.0008783173543763,-1.0,0.0,0.0,2.001042358531217e-06,0.0,0.000174843249012,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.0161872082131793,-1.0,0.0,0.0,3.19472108050877e-06,0.0,0.0,0.017881488521477,0.0,0.0,0.0
0.0001945102521186,0.0,-0.000226503885084,0.0,0.0,-1.0,-1.805993938704348e-08,0.0,-7.551202037453945e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.093851623247581e-08,-1.0,0.0,0.0
7.344852509517762e-06,-1.0,0.0,0.0,0.0,0.0,-3.111839680776067e-07,9.293439596260477,2.132926953458051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02781903674351,-1.0
-0.0028234754660365,-0.9991682052673121,0.0032890768613949,-0.001198875896030271,0.0,-0.0045745355861036945,0.0,0.06618788342409873,0.0009551292539688113,-0.9976434567442032,-0.0025696865980908,0.0029807419467955,3.2874287629139976e-09,-0.0028531235417969788,3.4164155722289705e-07,0.0,-0.006236169548710741,5.3502430096207174e-05,-0.001595880741450777
1.3392255145708124e-06,-0.9989240298470229,1.1054238760215166e-05,1.207001722135815,0.0,-0.0008480866874618377,0.0,0.01805438166397898,0.0009599866820373,-1.0,-0.002562085783478571,0.002976269735064407,2.2207150230580278e-08,-0.0022402740605176738,0.0,0.0,0.0,0.0,-0.004050817010490725
5.4126062316263725e-05,0.8324345811293004,-8.754540557226462e-05,-1.0,-0.0032319252602720076,0.0,0.0,0.0,-0.000882714014339916,-1.0,-3.0898748915497044e-06,0.0,1.976635941649002e-06,0.0,0.0,1.0740495244384726e-05,0.0,0.0,0.0
8.285868145515967e-05,0.8270854053794141,-9.373383929552691e-05,-0.9964130857529503,-0.004942666962754624,0.0,0.0,0.0,1.4329058105431199e-05,0.8365510883049259,-5.977972938466513e-05,0.0,4.712827495356182e-09,-0.9977991977814968,9.837030412057165e-07,1.5408147372443986e-06,-0.0031495936587647177,0.0,0.0
