C_x,dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,x{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,y{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,y{power: 1.0}_y,x{power: 1.0} * dy/dx0{power: 1.0}_y,x{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",y{power: 1.0} * dy/dx0{power: 1.0}_y
0.0001499797098747,-1.0,1.101740989465493,0.0,0.0,0.0,-0.0002071484381694,-1.0,0.5406236857692736,0.0,0.0,0.0,0.0,0.0
0.0001052634421366,0.7548725115157435,0.0,-0.0001407801721951,-1.0,0.0,-4.4219148181870025e-05,-1.0,0.5321291103976128,-0.0004781452796863,0.0,0.0,0.0,0.0
0.0001499797098747,-1.0,1.101740989465493,0.0,0.0,0.0,0.0002015734819129,0.7726615173696744,0.0,0.0,-1.0,-0.0002618403380933,0.0,0.0
0.0001499797098747,-1.0,1.101740989465493,0.0,0.0,0.0,-0.0002637492135306,-1.0,0.529217004494169,0.0,0.0,0.0,1.585820301121056e-07,0.0
0.0001052634421366,0.7548725115157435,0.0,-0.0001407801721951,-1.0,0.0,8.901618971768431e-05,0.3567320669960193,0.0,-0.0002515799052281,0.0,0.0,0.0,-1.0
0.0001499797098747,-1.0,1.101740989465493,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7860044687404833e-05,0.7551052882365686,0.0,0.0,-1.0,-8.880204432222854e-05,0.0002015734819129,0.7726615173696744,0.0,0.0,-1.0,-0.0002618403380933,0.0,0.0
0.0001143673404733,0.0,0.8441888027973219,0.0,-1.0,0.0,5.7982721362261626e-05,0.7740845254530645,0.0,-0.0001652050125673,-1.0,0.0,0.0,0.0
0.00014964465062986882,-0.9952180333615356,1.101740989465493,-2.3266867940474713e-07,-0.0033223776953980296,0.0,-0.00020983767785219307,-1.0,0.5398562245868911,-1.0360220890026685e-06,-0.005259610346154794,-1.324578072843807e-06,0.0,0.0
0.00010477695692155808,0.7551052882365686,0.0,-0.00013939228666710546,-1.0,-6.767730353005758e-08,-4.437895859705674e-05,-1.0,0.5377933748197482,-0.0004762841503817717,0.0,-2.17494549817467e-06,1.0744053102969615e-10,-0.0046834116312699965
0.0001499797098747,-1.0,1.0994060406547903,0.0,0.0,-1.388204258971953e-07,0.00020064298045143533,0.7740845254530645,0.0,0.0,-1.0,-0.0002613437975550219,6.681717183534482e-11,-0.00015582940556510278
0.0001499797098747,-0.9998704547872505,1.100599553378402,0.0,0.0,0.0,-0.0002637492135306,-0.9913390847000679,0.5292725968366598,0.0,0.0,0.0,1.5850438233989308e-07,-0.00033189071013891024
