C_x,d^2x/dx0^2{power: 1.0} * x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,x{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0}_y,C_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,x{power: 1.0}_y,dx/dx0{power: 1.0}_y
-1.2775437122580905e-07,-1.0,2.2811334494046108e-10,0.7114751840114784,0.0,0.0,0.0,0.0,0.0,-5.721737326472711e-09,0.7111290931473011,3.253833198390994e-06,-1.0,0.0,0.0,0.0,0.0
-4.076966384271308e-06,0.0,7.851063364494265e-09,0.0,0.3034624762000012,-1.0,0.0,0.0,0.0,0.0,0.0,1.954801191542749e-05,0.0,-1.0,-6.614448472084416e-05,0.0,0.0
0.0001394851638718,0.0,0.0,-1.0,0.0,0.0,-0.0001974950193981,0.0,0.0,-5.721737326472711e-09,0.7111290931473011,3.253833198390994e-06,-1.0,0.0,0.0,0.0,0.0
-4.076966384271308e-06,0.0,7.851063364494265e-09,0.0,0.3034624762000012,-1.0,0.0,0.0,0.0,0.0,0.7217021635560759,5.0798298858487915e-05,-1.0,0.0,0.0,-6.93317941686562e-05,0.0
-0.0001536814724125,0.0,3.7208612513623555e-08,-1.0,0.0,0.0,0.0,0.0004752303022122,0.0,0.0,-1.0,-6.59825022122738e-05,0.0,0.0,0.0,0.0,-0.1559282183016496
0.0061347517641193,0.0,0.0,0.0,-1.0,0.0,-0.0046444881011887,-0.0097208699202762,0.0,0.0,-1.0,-7.297638478242936e-05,1.3842387727533425,0.0,0.0,9.965895199297965e-05,0.0
-0.000280489650924,0.0,5.604065743394754e-07,0.0,-1.0,0.0,0.0,0.0,-0.9913344027051316,-4.8181402577467626e-08,0.0,-0.0018567060927374,-1.0,0.0,0.0,0.0025979216533797,0.0
2.2937931274712288e-05,-1.0,0.0,0.7012427637452177,0.00971423174834398,-0.004354396325747668,0.0,-1.541411465679788e-05,-0.005822346379674849,-5.4631946945317975e-09,0.7071278015275504,-1.4133615727950779e-06,-1.0,-0.00015653767807665935,-7.482420043695288e-08,3.284224570662939e-08,0.0
-6.225914938358836e-06,-0.007341867841332504,9.070613701550547e-09,0.0011575752726056643,0.3034624762000012,-1.0,0.0,-2.6502230637316152e-05,-0.002859834153839726,-2.508416032692983e-10,-0.012430744524866652,1.6423582691846703e-05,0.0021623504162921383,-1.0,-6.614448472084416e-05,3.6628030203897273e-06,-8.472877240097717e-05
0.0001761491667631775,0.0,9.649000515304606e-10,-0.9940507831806462,-0.00725421045552599,0.0,-0.00016507505918891813,3.15701119246131e-05,-0.0020538091015824328,-5.927324176004959e-09,0.7217021635560759,-1.2754484169762874e-05,-1.0,0.0,-3.7682310610725605e-09,1.0689904929168851e-05,-3.641685334570831e-05
-1.895178357604675e-05,0.0,1.0243381467659376e-08,7.624986686893267e-05,0.29663443934046907,-0.9990542225636587,-5.109407576146067e-06,-4.739983917338221e-07,0.0,-2.1287886549622832e-10,0.7147205745135817,5.0798298858487915e-05,-0.9961858657416433,-0.00204538053793865,0.0,-6.650364060749087e-05,-0.0011718150925309192
-0.0001556443349375363,0.0,3.9272574849506476e-08,-1.0,0.0004382583471577764,-0.0026463396740566006,0.0,0.0004552829915094544,-0.0035032230566824723,-1.717690769640652e-10,-1.0,-7.806726929353522e-05,0.015209785275133853,0.0,-4.1358869316027365e-08,6.746297635413542e-06,-0.15496246333227684
