,C_x1,d^2x1/dx0^2{power: 1.0}_x1,y1{power: 1.0} * x2{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",d^2x1/dx0^2{power: 1.0} * y4{power: 1.0}_x1,y1{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,x1{power: 1.0}_x1,x3{power: 1.0}_x1,x2{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0} * x3{power: 1.0}_x1,y3{power: 1.0}_x1,x4{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0} * x2{power: 1.0}_x1,C_y1,d^2y1/dx0^2{power: 1.0}_y1,x4{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,y3{power: 1.0} * x1{power: 1.0}_y1,x3{power: 1.0}_y1,y2{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",d^2y1/dx0^2{power: 1.0} * d^2y4/dx0^2{power: 1.0}_y1,dx4/dx0{power: 1.0}_y1,y4{power: 1.0}_y1,y1{power: 1.0}_x2,C_x2,dx2/dx0{power: 1.0}_x2,y2{power: 1.0}_x2,x1{power: 1.0}_x2,y3{power: 1.0}_x2,d^2x2/dx0^2{power: 1.0} * y2{power: 1.0}_x2,x4{power: 1.0}_x2,d^2x2/dx0^2{power: 1.0}_x2,C_y2,d^2y2/dx0^2{power: 1.0}_y2,x1{power: 1.0}_y2,dy2/dx0{power: 1.0}_y2,x4{power: 1.0}_y2,dx2/dx0{power: 1.0}_y2,y1{power: 1.0}_y2,C_x3,d^2x3/dx0^2{power: 1.0}_x3,y3{power: 1.0}_x3,x3{power: 1.0}_x3,x4{power: 1.0}_x3,dx3/dx0{power: 1.0}_x3,y2{power: 1.0}_x3,x2{power: 1.0}_x3,C_y3,dy3/dx0{power: 1.0}_y3,dy2/dx0{power: 1.0}_y3,d^2y3/dx0^2{power: 1.0}_y3,x2{power: 1.0}_y3,y4{power: 1.0}_y3,y2{power: 1.0}_y3,y1{power: 1.0}_y3,y3{power: 1.0} * dy3/dx0{power: 1.0}_y3,dx1/dx0{power: 1.0}_y3,"t{power: 1.0, dim: 0.0}_y3",x1{power: 1.0} * dx4/dx0{power: 1.0}_y3,y3{power: 1.0}_x4,C_x4,d^2x4/dx0^2{power: 1.0}_x4,y1{power: 1.0}_x4,dx4/dx0{power: 1.0}_x4,x1{power: 1.0} * dx4/dx0{power: 1.0}_x4,"t{power: 1.0, dim: 0.0} * x2{power: 1.0}_x4","t{power: 1.0, dim: 0.0}_x4",C_y4,d^2y4/dx0^2{power: 1.0}_y4,x1{power: 1.0}_y4,dy4/dx0{power: 1.0}_y4,y3{power: 1.0}_y4,x4{power: 1.0} * dy4/dx0{power: 1.0}_y4,y4{power: 1.0}_y4
0,0.001369721397522259,-1.0,-0.005259705767524093,-6.308938070286716e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019063844931344504,-1.0,0.0003988778173186107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01160970673300011,0.005027012366513934,-1.0,0.05188696973492837,-0.022691424498884855,0.0,0.0,0.0,0.0,0.0005675826249079382,-1.0,-0.0008019004338508863,0.0,0.0,0.0,0.0,0.0019701176955254536,-1.0,-0.005884905481060258,-0.0011939325311779165,0.0,0.0,0.0,0.0,4.0289935587473054e-05,-1.0,-0.20559109191986308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005159977206397743,-0.0015545750004749585,-1.0,0.0,0.0,0.0,0.0,0.0,0.0017351826499419857,-1.0,-0.0024820106559014284,0.0,0.0,0.0,0.0
1,6.291541646793916e-05,0.0,0.0,0.0,-1.0,-0.00026589587561177345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020500965623831257,0.0,0.0,-1.0,0.058307076514525144,-0.12891106497997662,0.09530424215332792,0.0,0.0,0.0,0.0,0.011168153113798544,0.005027012366513865,-1.0,0.052083322909583396,-0.022561150710011954,0.0,0.0,0.0,0.0,0.0005675826249079382,-1.0,-0.0008019004338508863,0.0,0.0,0.0,0.0,0.0019701176955254536,-1.0,-0.005884905481060258,-0.0011939325311779165,0.0,0.0,0.0,0.0,0.00020363559405387323,0.0,0.0,-1.0,-0.00030317625171357235,-0.0040606340938901175,0.005556050307192774,0.0,0.0,0.0,0.0,0.0,0.0,0.0009122372848792501,0.0,-0.0030108460876949223,0.7571845638330787,-1.0,0.0,0.0,-0.001118857324573403,0.0,0.0,0.6031010858588441,0.0033504251490394333,-1.0,0.0
2,0.000630626238466957,-1.0,0.0,0.0,0.0,-0.0024780498942587924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011751515006289997,0.0,0.0,-1.0,0.0,-0.05722377088369415,0.0,-2.5669043006953163e-05,0.0,0.0,0.0,0.01116815311379695,0.0050270123665138704,-1.0,0.052083322909584846,-0.022561150710011604,0.0,0.0,0.0,0.0,0.0037047875408434206,0.0,0.0,-1.0,-0.008513281706108326,0.0,0.0,0.011189054315806008,0.0,0.0,0.0,-0.017949672947763493,-1.0,-0.023552663333877535,0.0,-0.0004177444758123348,0.0,0.0,-1.0,0.0,0.0,0.0,0.001670144106367582,0.0,0.0,0.0,0.0,0.0,0.0009122372848792501,0.0,-0.0030108460876949223,0.7571845638330787,-1.0,0.0,0.0,0.0017351826499419857,-1.0,-0.0024820106559014284,0.0,0.0,0.0,0.0
3,0.00036601449179215025,0.0,0.0,0.0,0.0,0.0,-1.0,0.015413252025995151,-0.07088648215742369,0.0,0.0,0.0,0.0,0.0,-1.2415634408690983e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.944139962280755e-06,0.0,0.01116815311379695,0.0050270123665138704,-1.0,0.052083322909584846,-0.022561150710011604,0.0,0.0,0.0,0.0,0.0037047875408434206,0.0,0.0,-1.0,-0.008513281706108326,0.0,0.0,0.0038049927335705833,0.0,0.0,0.0,-0.009174244443418812,-1.0,0.0,0.0,-0.0005323767278657866,0.0,0.0,-1.0,0.0,-0.0009720024610968109,0.0022088047367373213,0.0017195127862831958,0.0,0.0,0.0,0.0,0.0,0.0009122372848792501,0.0,-0.0030108460876949223,0.7571845638330787,-1.0,0.0,0.0,-0.001118857324573403,0.0,0.0,0.6031010858588441,0.0033504251490394333,-1.0,0.0
4,0.00036601449179215025,0.0,0.0,0.0,0.0,0.0,-1.0,0.015413252025995151,-0.07088648215742369,0.0,0.0,0.0,0.0,0.0,0.0067462565335248935,0.0,0.0,-1.0,0.0,0.0,-0.06392826700308013,0.0,0.0,0.0,0.0,0.01116815311379695,0.0050270123665138704,-1.0,0.052083322909584846,-0.022561150710011604,0.0,0.0,0.0,0.0,0.0037047875408434206,0.0,0.0,-1.0,-0.008513281706108326,0.0,0.0,0.0019701176955252094,-1.0,-0.005884905481059826,-0.0011939325311772664,0.0,0.0,0.0,0.0,-0.00013952982799836285,0.0,0.0,-1.0,0.0,-0.0026731749375977915,0.005046494009919246,0.0,0.0,0.0,0.0,0.0,0.005159977206397743,-0.0015545750004749585,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0019700813890890572,-1.0,0.003857440869138421,0.0,0.0,0.0,-0.004998862808873103
5,0.000630626238466957,-1.0,0.0,0.0,0.0,-0.0024780498942587924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011751515006289997,0.0,0.0,-1.0,0.0,-0.05722377088369415,0.0,-2.5669043006953163e-05,0.0,0.0,0.0,0.0,-0.00021475822093149668,0.0,0.0,0.0,0.0007085460178878737,-1.0,0.0,0.0,0.0037047875408434206,0.0,0.0,-1.0,-0.008513281706108326,0.0,0.0,0.011189054315806008,0.0,0.0,0.0,-0.017949672947763493,-1.0,-0.023552663333877535,0.0,1.179770125053098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.024316927099536114,0.0,0.0,0.0,0.0009122372848792501,0.0,-0.0030108460876949223,0.7571845638330787,-1.0,0.0,0.0,0.0017351826499419857,-1.0,-0.0024820106559014284,0.0,0.0,0.0,0.0
6,0.000630626238466957,-1.0,0.0,0.0,0.0,-0.0024780498942587924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009018228498221327,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06059430443941202,0.011609706732999757,0.005027012366513822,-1.0,0.051886969734929296,-0.022691424498884713,0.0,0.0,0.0,0.0,0.0037047875408434206,0.0,0.0,-1.0,-0.008513281706108326,0.0,0.0,0.0038049927335705833,0.0,0.0,0.0,-0.009174244443418812,-1.0,0.0,0.0,-0.0004177444758123348,0.0,0.0,-1.0,0.0,0.0,0.0,0.001670144106367582,0.0,0.0,0.0,0.0,0.005159977206397743,-0.0015545750004749585,-1.0,0.0,0.0,0.0,0.0,0.0,0.0017351826499419857,-1.0,-0.0024820106559014284,0.0,0.0,0.0,0.0
7,0.000630626238466957,-1.0,0.0,0.0,0.0,-0.0024780498942587924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011751515006289997,0.0,0.0,-1.0,0.0,-0.05722377088369415,0.0,-2.5669043006953163e-05,0.0,0.0,0.0,0.01116815311379784,0.005027012366513822,-1.0,0.05208332290958323,-0.022561150710011604,0.0,0.0,0.0,0.0,0.0037047875408434206,0.0,0.0,-1.0,-0.008513281706108326,0.0,0.0,0.0019701176955254536,-1.0,-0.005884905481060258,-0.0011939325311779165,0.0,0.0,0.0,0.0,-0.0004177444758123348,0.0,0.0,-1.0,0.0,0.0,0.0,0.001670144106367582,0.0,0.0,0.0,0.0,0.0,0.0009122372848792501,0.0,-0.0030108460876949223,0.7571845638330787,-1.0,0.0,0.0,0.0017351826499419857,-1.0,-0.0024820106559014284,0.0,0.0,0.0,0.0
8,0.0005551002140630357,0.1192200548567108,0.0,-2.12764594833964e-06,0.0,0.0,0.0,0.0,0.0,-0.000635644089075084,-1.0,0.0,0.0,0.0,0.011751515006289997,0.0,0.0,-1.0,0.0,-0.05722377088369415,0.0,-2.5669043006953163e-05,0.0,0.0,0.0,0.01116815311379695,0.0050270123665138704,-1.0,0.052083322909584846,-0.022561150710011604,0.0,0.0,0.0,0.0,0.0005675826249079382,-1.0,-0.0008019004338508863,0.0,0.0,0.0,0.0,0.0019701176955252094,-1.0,-0.005884905481059826,-0.0011939325311772664,0.0,0.0,0.0,0.0,-0.0004177444758123348,0.0,0.0,-1.0,0.0,0.0,0.0,0.001670144106367582,0.0,0.0,0.0,0.0,0.0,0.0009122372848792501,0.0,-0.0030108460876949223,0.7571845638330787,-1.0,0.0,0.0,0.0017351826499419857,-1.0,-0.0024820106559014284,0.0,0.0,0.0,0.0
9,6.291541646793916e-05,0.0,0.0,0.0,-1.0,-0.00026589587561177345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011751515006289993,0.0,0.0,-1.0,0.0,-0.05722377088369427,0.0,-2.5669043006952987e-05,0.0,0.0,0.0,0.01116815311379695,0.0050270123665138704,-1.0,0.052083322909584846,-0.022561150710011604,0.0,0.0,0.0,0.0,0.0005675826249079382,-1.0,-0.0008019004338508863,0.0,0.0,0.0,0.0,0.0038049927335705833,0.0,0.0,0.0,-0.009174244443418812,-1.0,0.0,0.0,-0.0004177444758123348,0.0,0.0,-1.0,0.0,0.0,0.0,0.001670144106367582,0.0,0.0,0.0,0.0,0.003413538638352168,-0.0012206298275386604,-1.0,0.0,0.0,0.0,4.087801319173307e-06,0.0,0.0022986682282970976,0.0,0.0,-1.0,0.0,0.0,-0.013973203364897192
