C_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x","t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0}_y
-0.08678758937220495,0.7071067811865475,-0.44722217463612635,1.3550189142852624,-2.2360679774997894,-2.2360679774997894,0.32419964430798914,0.4472135954999579,-0.4351658116865483,-0.6353002121569646,-0.7071067811865476,-0.9953719908130246,-0.5480110369488497,0.7031969964350949,0.7071067811865475,-0.7071067811865477
-0.07649191893560014,0.7069316945237124,-0.44722217463612635,1.3524136891884275,-2.2360679774997894,-2.2236791212572724,0.3265727600280573,0.4472135954999579,-0.445472871565388,-0.6427471858619141,-0.7071067811865476,-1.0,-0.5496772390405813,0.7035259798989487,0.6993023660187294,-0.7071067811865477
-0.08699076933241504,0.7071067811865475,-0.44722217463612635,1.3554324329020409,-2.2222496421793916,-2.2360679774997894,0.33689387236367824,0.4407552653197255,-0.44721359549995787,-0.6406334590349642,-0.7071067811865476,-0.9978780787896516,-0.5384430293790132,0.701316945956358,0.7071067811865475,-0.6984309895913271
-0.09254470359588023,0.7045603725486719,-0.4442466555372005,1.35372562745565,-2.2360679774997894,-2.2360679774997894,0.3193562653567298,0.4472135954999579,-0.4418544230410176,-0.6449470658434866,-0.7071067811865476,-0.9998740643001788,-0.5519208062219703,0.7071067811865475,0.7071067811865475,-0.7071067811865477
-0.15330418635379633,-1.4128323542074517,-0.44700378129196056,0.44218443411621394,0.44721359549995787,0.4441558137635927,0.35366783336024527,0.4472135954999579,-0.4412223993928968,-0.6382583751266164,-0.7022968744250616,-1.0,-0.5538933113563542,0.7048042780736784,0.7071067811865475,-0.7071067811865477
-0.10057317262497623,0.7013401977238367,-0.44722217463612635,1.3470043923492105,-2.2360679774997894,-2.2360679774997894,0.34410368909885136,0.4472135954999579,-0.44721359549995787,-0.6423305494231195,-0.7071067811865476,-1.0,-0.5501233642006184,0.7060030340202532,0.7071067811865475,-0.7071067811865477
-0.08756592904256923,0.7071067811865475,-0.43637517553042615,1.3554324329020409,-2.2360679774997894,-2.233087748559549,0.32302308475603203,0.4472135954999579,-0.44009925627982555,-0.6522908363136096,-0.7071067811865476,-1.0,-0.531515625847298,0.7016633837566129,0.7071067811865475,-0.7071067811865477
-0.10026167132172067,0.7071067811865475,-0.44722217463612635,1.3554324329020409,-2.2360679774997894,-2.231165392040249,0.34016093007223586,0.4472135954999579,-0.44721359549995787,-0.6453905257482108,-0.6942492812586089,-0.9812806660351223,-0.5337869299103749,0.7056050227778294,0.6976737073333118,-0.7047963206229477
-0.1464317239637434,-1.40210880268915,-0.4393542435902079,0.44422309598916265,0.44721359549995787,0.44721359549995787,0.32756167232772865,0.4472135954999579,-0.4442527420633165,-0.6405360001695583,-0.6997454474443896,-1.0,-0.5469123304792023,0.7071067811865475,0.7071067811865475,-0.7071067811865477
-0.0851614589740314,0.7069949788857537,-0.44722217463612635,1.3554324329020409,-2.235955557123614,-2.2360679774997894,0.3371942380510663,0.4438366758436675,-0.44721359549995787,-0.6477303567393562,-0.7071067811865476,-1.0,-0.53741646626648,0.7061605548755614,0.7071067811865475,-0.7071067811865477
