d^2x/dx0^2{power: 1.0}_x,C_x,x{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0}_x,"d^2x/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y","dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y"
1.4119406682776856,-0.9956911806960023,-2.2360679774997894,-0.42587773358096426,0.83385413839743,1.0,0.44721359549995787,-0.44721359549995804,0.44767902740872134,-1.3008031456546918,-0.4477035364913754,1.3087073642215046,0.44721359549995787,0.44721359549995787
1.4123316232968106,-1.0006215590702277,-2.2301413816183424,-0.42523724754853276,0.8385580784146479,1.0,0.43497824125241474,-0.44721359549995804,0.4472728567579188,-1.2972926572691807,-0.4450647968114946,1.3087073642215046,0.44721359549995787,0.44721359549995787
0.13591101467936012,0.8967028965389384,0.44721359549995787,-0.4392577697234895,-0.29410918579932765,-1.0,0.44721359549995787,-0.44721359549995804,0.43265720544425346,-1.3092214746784137,-0.4477035364913754,1.3087073642215046,0.4371430846275945,0.44721359549995787
0.1460874492776787,0.8792667809069665,0.44721359549995787,-0.44173242667970686,-0.30028089230153193,-1.0,0.43948796484440966,-0.44721359549995804,0.44767902740872134,-1.3092214746784137,-0.4477035364913754,1.3087073642215046,0.4462836393440661,0.4397725217803749
1.4123316232968106,-1.0036503317861065,-2.2360679774997894,-0.4304511088173292,0.8385580784146479,0.9943238137004715,0.44721359549995787,-0.44721359549995804,0.4464443405182685,-1.3092214746784137,-0.4477035364913754,1.3087073642215046,0.44721359549995787,0.44721359549995787
1.4123316232968106,-1.0005885439616498,-2.2360679774997894,-0.42117539018125394,0.8385580784146479,0.989906949410658,0.4442974069636267,-0.44721359549995804,0.44767902740872134,-1.3092214746784137,-0.4477035364913754,1.3087073642215046,0.44721359549995787,0.439948086645452
1.4123316232968106,-1.0081714724761508,-2.2360679774997894,-0.44355539673624206,0.8189316531025648,1.0,0.44721359549995787,-0.44721359549995804,0.44767902740872134,-1.3092214746784137,-0.4408319413495976,1.2978899779026536,0.44721359549995787,0.44526724104188903
0.13728556660187993,0.8896488591778282,0.44721359549995787,-0.43830999873201026,-0.2864651092618344,-1.0,0.44721359549995787,-0.44721359549995804,0.44767902740872134,-1.3050357011616982,-0.4477035364913754,1.3087073642215046,0.4431704484996144,0.4433888022411042
1.4123316232968106,-1.011529905685159,-2.2198848391049215,-0.4414073533441488,0.829659220692312,0.9834451191138389,0.44721359549995787,-0.4417505170195352,0.44665340791956604,-1.3092214746784137,-0.44609394262118457,1.3050389055076423,0.44721359549995787,0.4428080580052871
1.4123316232968106,-1.0006013968974912,-2.2360679774997894,-0.43177420583323656,0.8385580784146479,0.990080902349639,0.4461874644459547,-0.44721359549995804,0.4376419922659926,-1.3037497315288418,-0.43924629099960477,1.3087073642215046,0.44549796121019863,0.4384020027265883
