C_x,dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * PWM{power: 1.0}_x,"x{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0}_y,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0} * dx/dx0{power: 1.0}_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y"
-0.04814486663610217,-0.5670320924068224,0.9949870142219697,-0.447213595499958,-0.19389618748443052,0.7071067811865475,-0.7071067791284205,0.4472135954999579,-0.6974565713544558,1.000747845178141,-0.7071067811865476,2.23606797749979,0.7071067811865475
1.2511859652245463,-0.5670320924068224,-0.999982630335864,2.23606797749979,-1.2408789479832913,0.7071067811865475,-0.7028387652861343,0.4472135954999579,-0.7071089703470026,-1.0000426816581034,1.408146034660331,-0.44510218463590134,-1.4041502224278226
1.2589554884706364,-0.559812035831691,-0.999982630335864,2.233146893399168,-1.2389053906250291,0.7071067811865475,-0.7071067791284205,0.4472135954999579,-0.7071089703470026,-0.9983032819464459,1.414213562373095,-0.447213595499958,-1.4122041859294148
1.2569619713077915,-0.5670320924068224,-0.999982630335864,2.23606797749979,-1.2427464661357654,0.7071067811865475,-0.6964272665180912,0.4472135954999579,-0.7025432321932743,-1.0000426816581034,1.4072777150492277,-0.43348745542228373,-1.4142135623730951
-0.03667579748719535,-0.5619092608524809,1.0044501996777804,-0.447213595499958,-0.21131016005717854,0.7071067811865475,-0.7071067791284205,0.44682885919250737,-0.7071089703470026,1.000747845178141,-0.7071067811865476,2.23606797749979,0.7071067811865475
1.2553560654076792,-0.5657094682242797,-0.992549986305997,2.23606797749979,-1.2427464661357654,0.7071067811865475,-0.7071067791284205,0.4472135954999579,-0.7071089703470026,-0.9968169118704412,1.4060028447315442,-0.447213595499958,-1.4142135623730951
1.2589554884706364,-0.5670320924068224,-0.995796531952042,2.23606797749979,-1.2427464661357654,0.7044338062441937,-0.7058768799104893,0.4472135954999579,-0.6925477692722882,-1.0000426816581034,1.4026330666461087,-0.447213595499958,-1.4095104830953376
-0.05192157178547545,-0.5670320924068224,1.0058766125691836,-0.447213595499958,-0.21729435638227865,0.7067495436247179,-0.7015677474479742,0.4323240332498184,-0.7063478552393172,0.9925854053755312,-0.7071067811865476,2.23606797749979,0.7071067811865475
1.2589554884706364,-0.5601688112114874,-0.999982630335864,2.234514213509826,-1.238149131459364,0.7071067811865475,-0.7061778625082027,0.4472135954999579,-0.7042483735394707,-0.9998813192318387,1.414213562373095,-0.447213595499958,-1.4142135623730951
-0.046774098906429154,-0.5653786338843093,1.0058766125691836,-0.447213595499958,-0.20186584559875953,0.705448117551786,-0.7006753062110533,0.4472135954999579,-0.7071089703470026,1.000747845178141,-0.7071067811865476,2.23606797749979,0.7060572436756442
