dx/dx0{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,d^2y/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",y{power: 1.0}_y,dx/dx0{power: 1.0}_y,x{power: 1.0}_y
-2.141424734627666,-1.053196219161625,0.7071067811865475,0.49692797605385364,1.9643102671823809,2.2360679774997902,0.4534293374634878,-0.4464998692629143,0.869774121066265,0.9897297007981299,0.44721359549995787,-0.32803428406016766,-0.4410693703596482,-0.7047490486842121
0.805247539858324,-0.19355123502513702,-1.4142135623730951,0.3576595248892198,-0.13487785865110824,-0.447213595499958,0.4608374883308576,-0.44721359549995787,1.0990817072728107,1.000205770647482,-2.231617283469878,-0.5263241092171822,-0.4354267268074913,-0.7060833115719013
-2.141373202096913,-1.053196219161625,0.7049702605015026,0.5017549301936792,1.9643102671823809,2.2360679774997902,0.4523976790978928,-0.4420031913588485,0.8731312536931918,1.000205770647482,0.4396675671423211,-0.3297103266480817,-0.44721359549995804,-0.7071067811865476
-2.1422979312224286,-1.053196219161625,0.7028178175549843,0.49059120822528995,1.9643102671823809,2.2299362065945485,0.463001811153191,-0.44300628423317256,0.8849458221186604,1.000205770647482,0.4405727435614225,-0.31796589087370375,-0.439305233147399,-0.6927028686581933
0.7946085427358862,-0.18361104411771906,-1.4142135623730951,0.3569285970693812,-0.13837515685894744,-0.4463394954374885,0.4669726140563824,-0.44721359549995787,1.0990817072728107,0.9900643095192354,-2.2360679774997894,-0.5263241092171822,-0.44526167254077004,-0.6992792900076581
0.8020196663591974,-0.17610746706284058,-1.4142135623730951,0.35046293381856714,-0.13531996055293724,-0.44560373630072075,0.4647397550339353,-0.44721359549995787,1.0935951931420471,0.9900867377998975,-2.2319618811329276,-0.5263241092171822,-0.4427028027387604,-0.7071067811865476
-2.1443263034441578,-1.053196219161625,0.7071067811865475,0.4987312659801899,1.9643102671823809,2.2360679774997902,0.45792578285358904,-0.44526123857391187,0.8657561911732987,1.000205770647482,0.44697541079904946,-0.3285193671608224,-0.44721359549995804,-0.698637072290606
-2.1492874033446134,-1.053196219161625,0.7071067811865475,0.5015682408415045,1.9643102671823809,2.232124434474737,0.4643844616316055,-0.44721359549995787,0.8830946341203594,1.000205770647482,0.44048937996999504,-0.3151697217966397,-0.44288762464765186,-0.7071067811865476
-2.1492874033446134,-1.0486863454804538,0.703610215890493,0.4966941957815025,1.9575415019391469,2.2335560414189457,0.45553412646819796,-0.4405062291215322,0.8706165456444209,1.000205770647482,0.4420489289654278,-0.3248765999339868,-0.44721359549995804,-0.7071067811865476
-2.147728749444415,-1.038417926205215,0.7021455838436877,0.5017549301936792,1.9597222561276186,2.2339684244029674,0.4434162890497168,-0.4447679861256171,0.8694790687089466,1.000205770647482,0.44721359549995787,-0.32147741504080746,-0.4365261565836796,-0.7052727708927039
