dx/dx0{power: 1.0}_x,C_x,x{power: 1.0} * dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,d^2y/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y"
1.1175489557056577,0.8350711919995609,-1.0,1.4062446065173444,-0.9612761603618127,-0.4472135954999579,0.4449219022454147,-0.7170750281721112,0.8904364226419933,-0.7142584783937475,-0.9966156865529391,0.44692280088479913
1.1175489557056577,0.8386495513983124,-0.9831642236015815,1.414213562381608,-0.9612761603618127,-0.4472135954999579,0.4431742696398827,1.414071013793238,-1.3455440771947702,1.4138712925093662,0.9905137340693767,0.4472135954999579
1.1175489557056577,0.8306539917373114,-1.0,1.4061642226795483,-0.9612761603618127,-0.44187092069028017,0.44401976370448115,1.414071013793238,-1.3455440771947702,1.4048207779219006,1.0,0.44536069322258653
1.117236684389111,0.8327177004966672,-0.9982880717391713,1.4130563318349854,-0.9612761603618127,-0.439856031934149,0.4301769147331579,-0.7170750281721112,0.8842012605035786,-0.7142584783937475,-1.0,0.4472135954999579
1.1175489557056577,0.8380623280936177,-0.9972168978341125,1.414213562381608,-0.9594578489412534,-0.4424468610765395,0.4472135954999579,-0.714227005253831,0.8904364226419933,-0.7046967549880144,-0.9949220060070366,0.4472135954999579
1.1175489557056577,0.8283438768990167,-0.9931683365103331,1.4136706094736247,-0.9612761603618127,-0.4472135954999579,0.4472135954999579,-0.7170750281721112,0.8875189607659693,-0.7113325437286969,-0.9920846489356265,0.4472135954999579
1.1175489557056577,0.8497256520964179,-0.9998684311767776,1.414213562381608,-0.9612761603618127,-0.44276376283994706,0.4472135954999579,-0.7105927180302422,0.8904364226419933,-0.7142584783937475,-0.9888173661589784,0.44669612471133574
1.1175489557056577,0.8450177164581129,-1.0,1.414213562381608,-0.9612761603618127,-0.4472135954999579,0.44698778690857893,1.4102186859723407,-1.3455440771947702,1.4141404870513845,0.9883384745981558,0.4472135954999579
1.1175489557056577,0.8388640040568203,-1.0,1.4104624569372082,-0.9483779312949109,-0.4472135954999579,0.4472135954999579,-0.7120695854610257,0.8904364226419933,-0.7137359720649775,-0.9872225970590287,0.4472135954999579
1.1125867150196145,0.8307350659409375,-1.0,1.414213562381608,-0.9612761603618127,-0.4362499171641221,0.4472135954999579,-0.7170750281721112,0.8893381517932988,-0.7142584783937475,-1.0,0.4472135954999579
