C_x,x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,x{power: 1.0} * d^2x/dx0^2{power: 1.0}_y
-0.7023877090325266,0.7071067811865469,-0.6982630746937255,-1.8029783602254434,0.6992257678097135,1.7660299386424088,-1.3302575056980124,2.23606797749979,0.7071067811865475,0.698788851423969
-0.7071067811865487,0.7071067811865469,-0.6965471963220216,-1.7952781640764799,0.7071067811865475,1.771876497016221,-1.3321896563059654,2.235555364188924,0.7033783071718206,0.7071067811865475
1.4142135623730938,-1.4142135623730956,1.4093348524750904,1.1541551611116079,-1.4142135623730951,-1.1702462861930316,0.2572019667647128,-0.44721359549995787,0.7071067811865475,0.7059325198315943
-0.7071067811865487,0.7071067811865469,-0.7071067811865477,-1.801051506542297,0.7071067811865475,1.7669883660861012,-1.3321896563059654,2.234441105141473,0.7071067811865475,0.700682463189926
-0.7053438130106838,0.7071067811865469,-0.7040368124624969,-1.7893029114996923,0.7071067811865475,1.771876497016221,-1.3321896563059654,2.227591087214244,0.7071067811865475,0.7071067811865475
1.4142135623730938,-1.4142135623730956,1.4142135623730951,1.1541551611116079,-1.4142135623730951,-1.1690919278186955,0.24750925271408683,-0.44721359549995787,0.7071067811865475,0.7071067811865475
-0.7067612785473001,0.7071067811865469,-0.6959401440977127,-1.8029783602254434,0.7071067811865475,1.771876497016221,-1.3321896563059654,2.23606797749979,0.7071067811865475,0.7022190925248012
1.4142135623730938,-1.4142135623730956,1.4142135623730951,1.1541551611116079,-1.4117989249872498,-1.1727659912831976,0.25956578616788556,-0.44721359549995787,0.6968734806591865,0.7071067811865475
-0.7067597346819432,0.7071067811865469,-0.7002373103893516,-1.8029783602254434,0.7071067811865475,1.7617917881502165,-1.3307440136468796,2.23606797749979,0.7071067811865475,0.7071067811865475
1.4091906687213118,-1.4128693461809942,1.413893060284819,1.1541551611116079,-1.4142135623730951,-1.1727659912831976,0.25815870696657184,-0.44721359549995787,0.7071067811865475,0.7071067811865475
