d^2x/dx0^2{power: 1.0}_x,C_x,y{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,dy/dx0{power: 1.0}_x,dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",x{power: 1.0}_x,dy/dx0{power: 1.0} * dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0} * dx/dx0{power: 1.0}_x",PWM{power: 1.0}_y,x{power: 1.0}_y,C_y,dy/dx0{power: 1.0} * dx/dx0{power: 1.0}_y,y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y
2.2273888475772976,0.447635545239802,-2.2360679774997894,-2.23606797749979,-0.7071032406902852,-0.43654517880095445,-0.4458629336541503,-0.4397993905603854,0.7008763154810865,0.4472135954999579,-0.44721359549995804,-0.7071340035217467,-0.46614853454989613,-0.4472135954999578,0.46778190152026594,-0.44721359549995787,-0.44721359549995787,0.44721359549995787
-0.447213595499958,0.441718119276802,0.44023479166566604,0.44721359549995787,1.4161336689277173,-0.43938031188149296,2.23606797749979,-0.4476246077106914,0.7071067811865475,0.4472135954999579,2.23606797749979,-0.7071340035217467,-0.46008384836561,-0.4472135954999578,0.4717264005203638,-0.4309267534691109,-0.4433234414266028,0.44721359549995787
2.23606797749979,0.447635545239802,-2.2360679774997894,-2.2269555668183596,-0.7071032406902852,-0.44509074141812466,-0.43447735538281235,-0.44310042592793536,0.6998666952161069,0.4472135954999579,-0.4431343464315284,-0.7071340035217467,-0.46614853454989613,-0.4472135954999578,0.4717264005203638,-0.44721359549995787,-0.4370893135480546,0.44721359549995787
2.2245478111038013,0.44643798216536223,-2.2235708340511384,-2.230162658343218,-0.6939234732095731,-0.44702372885382835,-0.4472135954999579,-0.4433738167391811,0.7071067811865475,0.4472135954999579,-0.44721359549995804,-0.7071340035217467,-0.46614853454989613,-0.4431660766746079,0.4717264005203638,-0.44721359549995787,-0.44721359549995787,0.44334897620863
-0.44508616461895834,0.447635545239802,0.4434325126453156,0.44721359549995787,1.4196875425716107,-0.4416189594674035,2.23606797749979,-0.44351896334031404,0.6957047660750254,0.4472135954999579,2.23606797749979,-0.7071340035217467,-0.46614853454989613,-0.4472135954999578,0.4717264005203638,-0.44035518307414234,-0.44721359549995787,0.4390674435031751
-0.43314511015042345,0.44170699558897253,0.44721359549995787,0.44721359549995787,1.4174035654375585,-0.44929597359818463,2.231547874783736,-0.4476246077106914,0.7071067811865475,0.4351144567714301,2.23606797749979,-0.7071340035217467,-0.4619405686145719,-0.4472135954999578,0.4717264005203638,-0.4457647402793799,-0.44721359549995787,0.442415316394155
2.23606797749979,0.44680913188926635,-2.2360679774997894,-2.23606797749979,-0.6940785308672351,-0.4429751979255139,-0.4472135954999579,-0.4476246077106914,0.7071067811865475,0.4472135954999579,-0.44477909630309126,-0.7071340035217467,-0.46614853454989613,-0.4428467694779137,0.4699910852821051,-0.44721359549995787,-0.44107816467832617,0.438419640454048
2.23606797749979,0.447635545239802,-2.2360679774997894,-2.23606797749979,-0.7050338400597438,-0.44713764367685654,-0.4428222116029456,-0.4476246077106914,0.7071067811865475,0.43991744500957747,-0.44721359549995804,-0.7061208486280399,-0.46453689716886415,-0.4472135954999578,0.4711994242741429,-0.44721359549995787,-0.44146855841546456,0.4285763842403863
2.23606797749979,0.447635545239802,-2.2360679774997894,-2.23606797749979,-0.7071032406902852,-0.44929597359818463,-0.4450745942390396,-0.44142850791210814,0.7055686080086049,0.4472135954999579,-0.4400032083921365,-0.700768765001219,-0.46614853454989613,-0.4472135954999578,0.46488748520623574,-0.44721359549995787,-0.44721359549995787,0.4368570585111917
2.23606797749979,0.447635545239802,-2.2360679774997894,-2.2313051462713824,-0.7071032406902852,-0.43922131848889046,-0.4450504349294058,-0.4418201723761189,0.7071067811865475,0.4472135954999579,-0.44721359549995804,-0.7071340035217467,-0.4576573087004304,-0.4472135954999578,0.4642771906071333,-0.44721359549995787,-0.4422894825782065,0.4434815586463501
