C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,x{power: 1.0}_x,y{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,dy/dx0{power: 1.0}_y,C_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y,"dy/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y","t{power: 1.0, dim: 0.0} * d^2y/dx0^2{power: 1.0}_y",x{power: 1.0} * y{power: 1.0}_y
2.2139265741658996,-0.6680124419556565,-2.22038066363192,-0.5626927645204156,2.2232403455905105,0.4409905799092925,-0.4447910516334851,0.4449640117628968,0.4453572246821376,0.7071067811865475,-0.4472346252463176,-1.4142135623730951,0.44721359549995787,-0.44721359549995787
-0.49559482480595757,-0.6651556705322804,0.4946053077066564,0.9393879499218271,-0.43779504907324834,0.4463398842984828,-0.4472135954999579,0.4472135954999579,0.4472637784949353,-1.4109305658000784,-0.44536091091297736,0.6951147032712384,0.44721359549995787,-0.44269291868967353
-0.5030524953947283,-0.6715378341330124,0.4905201582371263,0.9400740063764441,-0.4472135954999579,0.44695709697422104,-0.43887821039590896,0.4472135954999579,0.4472637784949353,-1.4142135623730951,-0.4472346252463176,0.7071067811865475,0.4380156893814126,-0.44721359549995787
-0.5003330766907133,-0.6695255833716042,0.5091144658744561,0.9400740063764441,-0.43668890043997555,0.4472135954999579,-0.4472135954999579,0.4393577765871781,0.4472637784949353,-1.4111426456817624,-0.4472346252463176,0.7064226312415477,0.44007810895823946,-0.44721359549995787
-0.4883862621038528,-0.6643902770183466,0.5044413092796628,0.9400740063764441,-0.4472135954999579,0.4472135954999579,-0.4472135954999579,0.44200916547721647,0.4472637784949353,-1.4142135623730951,-0.44661861065760383,0.6946940558468775,0.44721359549995787,-0.44721359549995787
2.217736482648373,-0.6728945978880999,-2.22038066363192,-0.5809382050251073,2.2356994877590126,0.4381465615873978,-0.44700627349855065,0.44392477624629434,0.4472637784949353,0.6990472075650396,-0.4461311091122869,-1.4074845641411622,0.44721359549995787,-0.44721359549995787
2.2198965429942534,-0.6728945978880999,-2.2156708330557926,-0.583203140010197,2.2360679774997894,0.4472135954999579,-0.4472135954999579,0.4448717486762863,0.4420488649175037,0.7071067811865475,-0.4472346252463176,-1.4133880770953653,0.44721359549995787,-0.44721359549995787
-0.4990022079589739,-0.6728945978880999,0.48000930320580487,0.9400740063764441,-0.4472135954999579,0.4456789664306754,-0.43751500052188735,0.440323276851359,0.4472637784949353,-1.3991473127978473,-0.4472346252463176,0.7071067811865475,0.44721359549995787,-0.44071838637730054
-0.49647220148418997,-0.6696760208291475,0.4925755644692409,0.9400740063764441,-0.4472135954999579,0.43313312866451864,-0.44350871393915614,0.4472135954999579,0.4462503370493391,-1.411555054602843,-0.4434876631412563,0.7071067811865475,0.4381530580352182,-0.44721359549995787
-0.4920723719176402,-0.6728945978880999,0.4934478614704288,0.9331174289413946,-0.44678528933543044,0.44095567073627695,-0.44243730539308285,0.4472135954999579,0.4472637784949353,-1.4142135623730951,-0.4472346252463176,0.6847623643607332,0.44362307335223916,-0.44721359549995787
