x{power: 1.0}_x,C_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",y{power: 1.0}_x,dx/dx0{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,y{power: 1.0}_y,C_y,dy/dx0{power: 1.0} * dx/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y
-1.0785072708503916,0.9927497411544727,-1.0,-1.0031529552457272,0.9971975795325166,-1.0,-1.4142135623730951,0.2672911855428463,-1.4103608724320689,0.7077637710055936,0.44721359549995787,-0.4472135954999579,0.9979425195509097,-0.447213595499958
0.9953712520737799,-0.9922583703496236,1.0,0.9947604255540916,-1.0,1.0000000000000007,0.6983162119590952,0.26307561790337,0.698156659496732,0.7077637710055936,-2.2355354933321467,2.2360679774997894,0.9997857201201447,-0.447213595499958
0.9953712520737799,-0.9999989276064605,1.0,0.9999987563779144,-0.9953431445970949,0.9936295253161824,0.7003832262000933,0.2663872548511802,0.7044677998294582,0.6967353877078916,-2.2271555330938972,2.2360679774997894,1.0,-0.447213595499958
0.9934835562459247,-0.9999989276064605,1.0,0.9999987563779144,-0.9981395460799479,1.0000000000000007,0.7071067811865475,0.26068944848547587,0.7051117414238226,0.6990721816249702,-2.2296970734335733,2.2360679774997894,1.0,-0.4468557697455482
0.9953712520737799,-0.9999989276064605,0.9948879373926282,0.9997513456053168,-1.0,0.9969942954808625,0.7071067811865475,0.2685084604496978,0.7071067811865475,0.7077637710055936,-2.2360679774997894,2.2360679774997894,0.99843648315675,-0.447213595499958
0.9953712520737799,-0.9894800425186904,1.0,0.9999987563779144,-1.0,1.0000000000000007,0.7071067811865475,0.2574305959801599,0.7038467258544153,0.7077637710055936,-2.2304607427832654,2.2360679774997894,0.9962513577502646,-0.447213595499958
0.9942015764532605,-0.9887906171984134,1.0,0.9901023623800752,-1.0,1.0000000000000007,0.7071067811865475,0.25195085554802077,0.7047157308389098,0.7077637710055936,-2.2360679774997894,2.2298259894993073,1.0,-0.44686267309907396
-1.091475729311189,0.9969158459879301,-1.0,-1.0031529552457272,1.0,-0.9990846125185293,-1.4142135623730951,0.2604919909735971,-1.4142135623730951,0.7077637710055936,0.4374218432655607,-0.4472135954999579,1.0,-0.447213595499958
0.9953712520737799,-0.9999989276064605,1.0,0.9971064429183065,-1.0,0.9939187831066737,0.7071067811865475,0.27029397197028215,0.7071067811865475,0.7077637710055936,-2.224181038720764,2.2360679774997894,1.0,-0.4346254223705792
0.9953712520737799,-0.9955025546895,0.9868476957615099,0.9999987563779144,-0.999756288625508,1.0000000000000007,0.7071067811865475,0.26679025632351144,0.7071067811865475,0.7077637710055936,-2.2360679774997894,2.2360679774997894,0.9956986874891167,-0.447213595499958
