y{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_y,C_y,dy/dx0{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,x{power: 1.0} * d^2y/dx0^2{power: 1.0}_y
-2.208208019433977,2.2022709223611288,0.4432912777309385,2.235971532676669,-1.8627978899174655,0.7071067811865475,0.7071067811865475,0.6959257328416645,0.4453402480042877,0.28955755186829185,-0.4472135954999578,-1.414213562373095,0.44721359549995787,-0.4472135954999579
0.08987002302525471,-0.08908399230868783,-2.2360679774997894,-0.44721359549995787,-0.11512906528147095,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.4453040653798977,-0.8300092106815252,-0.44537695354975815,0.704645425112405,0.4379780715948392,-0.43500160270641586
-2.1877235062015132,2.2076029477408095,0.44721359549995787,2.231391291790171,-1.8628728528130007,0.7071067811865475,0.7010720895728056,0.7059265785876537,0.44811930734039085,0.2943006826923256,-0.4472135954999578,-1.4099039085674279,0.44721359549995787,-0.4472135954999579
-2.208208019433977,2.200086127413365,0.4471031705849332,2.2360679774997894,-1.8628728528130007,0.7023178050097709,0.7071067811865475,0.7071067811865475,0.44811930734039085,0.2915733149634639,-0.43881256877312,-1.4109855661826995,0.44199353985642,-0.4430630232770837
0.09478729511161486,-0.09440844531238275,-2.221820397741664,-0.44154115045365905,-0.12474267712884557,0.6950892180965889,0.705189556327794,0.7015234186890248,0.44811930734039085,-0.8353408893940308,-0.4472135954999578,0.7071067811865475,0.44721359549995787,-0.4409331757943973
-2.208208019433977,2.207571137841132,0.44566232267810774,2.231827165941121,-1.8628728528130007,0.7071067811865475,0.7071067811865475,0.7027950323711973,0.439250089060677,0.30479537760184533,-0.4472135954999578,-1.4140402584186007,0.4379652565434921,-0.4472135954999579
-2.2038025526967573,2.2076029477408095,0.44343294907221625,2.2360679774997894,-1.8628728528130007,0.7059920454483002,0.7071067811865475,0.7058631538855669,0.43974431130489583,0.29572121760540443,-0.44415364061628104,-1.4078829971823954,0.42996064890371477,-0.4467205749787829
0.08728035104481552,-0.09890866952075195,-2.2308388232595386,-0.44721359549995787,-0.13396150389108277,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.44811930734039085,-0.8395202444531973,-0.4472135954999578,0.7071067811865475,0.4467137638552958,-0.44088990569238135
0.09636431419584747,-0.09850252125500249,-2.2360679774997894,-0.44721359549995787,-0.12022920470625184,0.6983649532184132,0.7071067811865475,0.6911330702582016,0.44811930734039085,-0.8360987083528317,-0.4472135954999578,0.7071067811865475,0.44721359549995787,-0.44174720108482035
0.10014977794418276,-0.09960083080234809,-2.2360679774997894,-0.4442231847752803,-0.1206310433427382,0.70347126035902,0.7071067811865475,0.7071067811865475,0.44811930734039085,-0.8395202444531973,-0.4472135954999578,0.7071067811865475,0.44721359549995787,-0.4457729461061394
