dx/dx0{power: 1.0}_x,x{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x","d^2x/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_x","t{power: 1.0, dim: 0.0}_x",C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0} * PWM{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y"
-0.9339754716108071,-0.4510879576062358,-0.27870267028060164,1.2686746062634116,0.25670130559739707,-0.43850638942028786,0.4472135954999579,0.4404710380044339,0.44468690099561275,0.9980339984471887,1.406169036128445,-0.9945747819869822,-2.2360679774997894,0.4440684625505564
1.6476772553265453,2.2360117098348113,-0.4962999342550203,-1.5211572179125286,0.49019905648362166,-0.447213595499958,0.4452824748818347,0.44721359549995787,0.44202436774318205,-1.0,-0.705466589506416,1.0,0.4465857778330751,0.43784790912752936
1.6449874183901005,2.2305765516425655,-0.4965899293961649,-1.5211572179125286,0.4927672841120251,-0.4413208734749885,0.4472135954999579,0.44721359549995787,0.43404153366450327,-1.0,-0.7071067811865476,1.0,0.44721359549995787,0.44721359549995787
-0.9319628980642235,-0.44930617039191223,-0.2730179870813193,1.2831731977808878,0.2540425753596612,-0.44592260628950914,0.4430893342602723,0.4417871358502203,0.44721359549995804,1.0,1.414213562373095,-1.0000000000000002,-2.22631683208595,0.44721359549995787
1.6392547365769194,2.227612320257805,-0.4965899293961649,-1.5123878992074333,0.4927672841120251,-0.447213595499958,0.44094731324991543,0.44424306746484415,0.44721359549995804,-1.0,-0.7071067811865476,1.0,0.44721359549995787,0.44721359549995787
1.6486497146876655,2.2360117098348113,-0.4965899293961649,-1.5211572179125286,0.4927672841120251,-0.4400545562058557,0.4472135954999579,0.4391432421464042,0.4453378168443915,-0.9933275199820295,-0.6996907697257866,1.0,0.4450355977904897,0.4442280708585819
1.6486497146876655,2.2352660958162125,-0.4965899293961649,-1.520909099442379,0.4927672841120251,-0.447213595499958,0.4459360755692712,0.4457114944744173,0.44721359549995804,-0.9967853266614075,-0.7071067811865476,0.9974963017667929,0.44721359549995787,0.44721359549995787
1.642487677251183,2.2358428544285287,-0.4965899293961649,-1.5211572179125286,0.4783115608531442,-0.4450018513400983,0.44531841898033925,0.44721359549995787,0.44721359549995804,-0.9989150180814814,-0.7020520348836103,1.0,0.434282665609468,0.44721359549995787
1.6441360289348754,2.2338908911371824,-0.4965899293961649,-1.520255917749445,0.4927672841120251,-0.44593482208272817,0.4472135954999579,0.44721359549995787,0.4456517849985847,-0.9858970133855682,-0.7071067811865476,0.9929198380973019,0.4462674360156967,0.44429906262186747
1.6486497146876655,2.2355547866820453,-0.4962646268992984,-1.5186398559947891,0.4927672841120251,-0.4379342804149424,0.4472135954999579,0.44721359549995787,0.44721359549995804,-1.0,-0.6986621877261342,0.9867376109037992,0.44721359549995787,0.4402855107618966
