x{power: 1.0}_x,C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,y{power: 1.0} * x{power: 1.0}_x,C_y,x{power: 1.0} * dy/dx0{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,y{power: 1.0}_y
0.9119204735125717,-1.2275313060203097,-0.4472135954999581,1.11414383940396,0.438258242486453,-0.08459707327708504,-0.44451294511204464,-0.6624547523023289,-0.9966248284929261,0.7069256960930369,0.5148196991252931,0.44565186696926967,0.447213595499958
0.9119204735125717,-1.2275313060203097,-0.4472135954999581,1.1186766304741915,0.4374084008067469,-0.09557896254596843,-0.4472135954999579,-0.6568577447048292,-0.9974205684644737,0.7077315033386575,0.5249140064015699,0.4468168049450011,0.447213595499958
0.9100841305203782,-1.2245419496946366,-0.4405827283610695,1.1197524552267601,0.4448547082065701,-0.09462709658693161,-0.4377438727081836,-0.663612429522984,-1.0,0.7077315033386575,0.5303985264387961,0.4472135954999579,0.4349535509176829
0.9033293327709753,-1.2275313060203097,-0.44352365424738943,1.1197524552267601,0.447213595499958,-0.0853292466622341,-0.4441711768673998,-0.6626637200769472,-0.9971201229337087,0.7077315033386575,0.5286964392598447,0.43218054553243973,0.447213595499958
0.9119204735125717,-1.2135234930738539,-0.4472135954999581,1.1197524552267601,0.447213595499958,-0.09226676836584533,-0.44487043809348403,-0.6638548211712559,-1.0,0.7069693902422561,0.5285093759842833,0.44182447102967015,0.447213595499958
0.9067518926375674,-1.2180874928886052,-0.4460923572420611,1.116246960629566,0.44418425309744475,-0.09688127310357174,-0.44471610478311124,0.7073413401412585,1.0,-1.26561897776729,-1.361794666977394,0.4472135954999579,0.447213595499958
0.9044837911015748,-1.2243235792600833,-0.4371318769737745,1.1197524552267601,0.447213595499958,-0.09114282646709156,-0.4472135954999579,0.7185705690022954,1.0,-1.2524191969273752,-1.3755166025822243,0.4472135954999579,0.43754160230970224
0.9079703293198947,-1.2275313060203097,-0.4472135954999581,1.1170279327186194,0.447213595499958,-0.09140343368123215,-0.4472135954999579,-0.6638548211712559,-0.9966696230977281,0.7036312782714884,0.52342446058974,0.4472135954999579,0.447213595499958
0.9119204735125717,-1.2230382310828711,-0.4472135954999581,1.1197524552267601,0.44628413739066725,-0.09757016565449095,-0.4472135954999579,-0.6544341615565739,-0.9982685248431798,0.7077315033386575,0.5270318404040795,0.4472135954999579,0.44161683211710845
0.9010848487087367,-1.2275313060203097,-0.4385132721737378,1.1197524552267601,0.447213595499958,-0.07429032936062234,-0.4472135954999579,-0.6636949210284768,-1.0,0.7077315033386575,0.5230029823332312,0.4472135954999579,0.447213595499958
