C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,"y{power: 1.0} * t{power: 1.0, dim: 0.0}_x",y{power: 1.0} * dy/dx0{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,x{power: 1.0} * dx/dx0{power: 1.0}_x,C_y,y{power: 1.0}_y,x{power: 1.0}_y
1.780314706631975,-1.0,-1.7968832875874219,2.1697896666003404,0.44365937975335223,0.7064993827057058,0.4472135954999579,0.44721359549995787,-0.8970823866876583,0.4457492413752246,0.6955506836010581
-0.8243971535177148,-1.0,0.8193396021375192,-0.5663239718755189,0.44721359549995787,0.7071067811865475,0.4472135954999579,0.44721359549995787,-0.8983018676907527,0.447213595499958,0.707559888640419
1.7724916368883668,-1.0,-1.7968832875874219,2.1697896666003404,0.4466948583146107,0.7062341739610618,0.4450150212927677,0.44721359549995787,-0.8983018676907527,0.4396798792535658,0.7054007953999614
1.780314706631975,-1.0,-1.7950794445123437,2.1697896666003404,0.44721359549995787,0.7071067811865475,0.4472135954999579,0.44721359549995787,-0.8977967188875827,0.447213595499958,0.707559888640419
-0.8260303993685072,-1.0,0.8193396021375192,-0.5622332306239599,0.44721359549995787,0.702436429078563,0.4472135954999579,0.44721359549995787,-0.8983018676907527,0.447213595499958,0.707559888640419
-0.8260303993685072,-1.0,0.8193396021375192,-0.5663239718755189,0.44721359549995787,0.7071067811865475,0.44536081686166656,0.44721359549995787,-0.8983018676907527,0.447213595499958,0.707559888640419
1.7799664834843636,-0.9976438796254055,-1.7905444321338186,2.1677828178147927,0.44721359549995787,0.7071067811865475,0.4349649440285762,0.44721359549995787,-0.8954337307030871,0.4334513491800032,0.7014541140660673
-0.8245400954232239,-0.9959178340562087,0.8117258438445046,-0.5610777491158547,0.44721359549995787,0.6989003542067949,0.4450214657072568,0.44703364935831774,-0.8957975261564409,0.447213595499958,0.707559888640419
-0.8260303993685072,-1.0,0.8193396021375192,-0.5663239718755189,0.44721359549995787,0.7071067811865475,0.44565712122261275,0.44721359549995787,-0.8983018676907527,0.43837040585677167,0.707559888640419
-0.8260303993685072,-1.0,0.8193396021375192,-0.5663239718755189,0.4470896833320612,0.7071067811865475,0.4472135954999579,0.44721359549995787,-0.8983018676907527,0.447213595499958,0.707559888640419
