x{power: 1.0}_x,y{power: 1.0}_x,C_x,dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,y{power: 1.0}_y,C_y,d^2y/dx0^2{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,"dy/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y"
2.2354628090691846,2.235809064224387,-2.235899591126381,-0.9342378845134356,-0.1343635342891012,0.44721359549995787,0.6565572112310393,-0.6900998934487721,-1.4084485497254395,0.7087866092428861,0.3527830540643037,0.4449788176062158,0.44721359549995787
2.2321217067108203,2.235809064224387,-2.235899591126381,-0.9384946950406099,-0.12683430568980325,0.44721359549995787,0.6677170076033635,-0.6967366032834457,-1.4142135623730951,0.7105695623074187,0.34311058164431,0.44721359549995787,0.44721359549995787
-0.42634266259304765,-0.4173916380498691,0.4188043708485728,-0.9500258094111359,1.281598338649749,0.44721359549995787,0.6572336058345924,-0.6740231663381231,-1.4090212887763756,0.7055974151676095,0.35187972871509887,0.4372018685077622,0.44721359549995787
-0.4375103593051739,-0.41997320383319925,0.4207681780916461,-0.9392946159838216,1.2880680145261842,0.44050672705709154,0.6516937325455836,-0.6921002104245333,-1.4142135623730951,0.7105695623074187,0.33978824413279934,0.44721359549995787,0.44152717333299274
2.229674021453691,2.235809064224387,-2.235899591126381,-0.9500258094111359,-0.13524992026341076,0.44721359549995787,0.6558789245385656,-0.6911043502713252,-1.4142135623730951,0.7105695623074187,0.3349148646585293,0.44093345762643293,0.44721359549995787
2.2354628090691846,2.2272860612405725,-2.235899591126381,-0.9500258094111359,-0.1324715893959331,0.43895365877364323,0.6423884465755394,-0.6772708675891891,-1.396224614997157,0.705845767938659,0.34340484176510006,0.44721359549995787,0.44721359549995787
2.2354628090691846,2.235809064224387,-2.235899591126381,-0.9500258094111359,-0.13139192375933983,0.4429308153740089,0.6462692940542226,-0.675408681203801,-1.4142135623730951,0.7047409599147494,0.34743593083870494,0.4448714942442959,0.437033448135067
2.2292577198458154,2.235809064224387,-2.2249344947143554,-0.9424639413612651,-0.10736630020998887,0.44721359549995787,0.6493227903539418,-0.6984497021079652,-1.4142135623730951,0.7105695623074187,0.33883461955175237,0.44721359549995787,0.44721359549995787
2.2354628090691846,2.235809064224387,-2.235899591126381,-0.9500258094111359,-0.13585788586547926,0.44721359549995787,0.647013381642716,-0.6847201311617692,-1.4142135623730951,0.6980379030068817,0.34624767581983396,0.44192129167330824,0.4467565926784187
-0.4307345741887305,-0.42905109273075415,0.43013611163489734,-0.9500258094111359,1.273397658406528,0.44721359549995787,0.6506695595342766,-0.6886950097139123,-1.4075210756765222,0.7105695623074187,0.34761991158509054,0.4452208863838934,0.44663213545156966
