robot_id,omega_z_1,omega_z_2,omega_z_3,omega_z_4,amp_z_1,std_x,std_y,cluster
2,-0.0314159265358979,-0.0628318530717958,0.0314159265358979,0.0628318530717958,104.25526214445463,69.34151528921674,23.15402319303563,4
5,-0.0628318530717958,0.0628318530717958,-0.0942477796076937,0.0942477796076937,47.02394129361424,31.49880916365135,20.297437322388927,0
7,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,0.0628318530717958,128.2697632419621,18.33739141774814,38.95768378475039,2
12,0.0314159265358979,-0.0628318530717958,0.0628318530717958,-0.1884955592153875,25.35550229480863,18.18533070818095,8.09231287254254,3
13,0.0314159265358979,-0.0314159265358979,-0.0628318530717958,0.0628318530717958,35.80064546824352,36.07913616004207,32.39969492572418,1
20,0.0314159265358979,0.0628318530717958,0.0942477796076937,-0.0628318530717958,147.7786979277187,84.79225515701842,32.97295680937022,4
25,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,0.0628318530717958,183.5040035838022,23.99284711758791,89.92472369295055,2
26,-0.0314159265358979,-0.0628318530717958,0.0314159265358979,-0.0942477796076937,123.1233272104683,70.93739022879315,37.481175569099136,4
28,-0.0314159265358979,-0.0628318530717958,0.0314159265358979,-0.0942477796076937,39.93259275037933,18.690449428999628,31.35012318611497,3
32,-0.0314159265358979,-0.0628318530717958,0.0628318530717958,-0.0942477796076937,30.859037474416898,25.57947318979373,9.801124425247146,3
33,-0.0314159265358979,-0.0628318530717958,0.0942477796076937,0.0628318530717958,30.584869221730756,18.95771115178735,19.7159958954702,3
39,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,0.0628318530717958,114.71938003591544,46.29717266776716,12.548010902058882,0
41,0.0314159265358979,-0.0314159265358979,-0.0628318530717958,0.0628318530717958,72.84410260488187,13.916321962488752,29.91570814854743,1
50,0.0314159265358979,-0.0314159265358979,0.1256637061435917,-0.0628318530717958,46.82220658003634,14.732406361694556,46.67695398588062,3
51,-0.0314159265358979,-0.0628318530717958,0.0314159265358979,0.0628318530717958,110.19685917738686,62.484676384198025,12.580815730454644,4
55,-0.0628318530717958,-0.0942477796076937,0.0314159265358979,0.1256637061435917,19.618815343013615,20.10702620389566,32.9248941119763,3
57,0.0314159265358979,-0.0628318530717958,-0.0314159265358979,0.0628318530717958,22.871518277362924,10.835965769655443,7.398233432445523,1
60,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,-0.0942477796076937,92.617777695432,27.61409784149231,55.44615700532079,2
62,0.0314159265358979,-0.0314159265358979,0.0942477796076937,0.0628318530717958,62.274892786903145,20.429598722251313,22.873906305334867,3
65,0.1256637061435917,0.1570796326794896,0.0942477796076937,0.2199114857512855,10.851599492405564,13.936970991857384,14.757461053286486,3
66,0.0314159265358979,-0.0314159265358979,-0.0628318530717958,-0.0942477796076937,52.5056028295996,28.17945822014746,18.454842047803567,1
68,-0.0628318530717958,-0.0314159265358979,0.0628318530717958,0.0314159265358979,29.84787503414659,10.96099337225793,28.28843164029023,3
69,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,-0.1570796326794896,24.78396637138218,17.230830297788696,8.198254657229647,0
71,-0.0314159265358979,-0.0628318530717958,0.0314159265358979,-0.0942477796076937,169.89921459070217,21.198082093050324,14.962563809434952,2
72,-0.0314159265358979,-0.0628318530717958,0.0314159265358979,0.0628318530717958,34.08721952612268,15.102211259727484,7.416485088242225,3
73,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,0.0628318530717958,103.69203571406214,35.21638834664754,16.066376746892022,0
75,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,0.0628318530717958,181.75074085480236,27.894824913924577,53.11647204310019,2
76,0.0314159265358979,-0.0628318530717958,-0.0314159265358979,0.0628318530717958,25.370631907528917,25.198386726859525,8.717917084582474,1
77,0.0314159265358979,-0.0314159265358979,-0.0628318530717958,0.0628318530717958,61.55170567749117,14.147732672278464,32.391702680268956,1
80,-0.0314159265358979,-0.0628318530717958,0.0314159265358979,0.0628318530717958,30.053768390250244,21.54380839771867,17.97784482502311,3
