dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",C_x,"dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0} * y{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",C_y,d^2y/dx0^2{power: 1.0}_y,dy/dx0{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * d^2x/dx0^2{power: 1.0}_y,y{power: 1.0} * x{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y"
868.3291790605809,-8.540523545892779e-05,0.0617363470279938,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999533886777138e-06,-1.0,0.0,-2.001525569756309e-05,0.0,0.0,0.0
-1.0,0.0,-0.0003185371449945,0.0,2.627926308419978,0.000391825247639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0.0,0.0,3.91376903280966e-07,0.0,0.0,0.0,-1.0,2.6751539834803855,-9.020116989074272e-07,0.0,7.999533886777138e-06,-1.0,0.0,-2.001525569756309e-05,0.0,0.0,0.0
0.0,0.0,1.0175479146496367e-06,0.0,0.0,0.0,-1.0,0.0,-2.9036669632679995e-06,0.0,-0.0004610069745771,0.0,-1.0,0.0,0.0,0.000929552170501,0.0
0.0,0.0,4.8382489862729774e-08,0.0,0.0,-5.915320629452034e-08,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
-1.0,0.0,-9.694992437235166e-05,0.0,2.62534114168366,0.0,0.0,0.0,0.0002362926840532,0.0,2.9361587317440503e-05,-1.0,0.0,-5.8339867120293176e-05,0.0,0.0,-8.810465718958335e-09
868.3291790605809,-8.535491291323257e-05,0.0617363470279938,-0.9978072355836786,0.0036755572264360777,1.2784346762528608e-06,0.0,0.0,6.322705895170987e-07,-0.003362800983515458,5.717461734477295e-06,-1.0,-0.000839042759499365,-2.0253844306470614e-05,0.0,0.0,-2.0371538152328605e-11
-0.664610379934225,-7.79400044726838e-07,-0.00031700094157250476,-0.004411376342245637,2.6262494984305333,0.00039155499934345826,0.0,0.01184066881243835,-5.142171470176215e-07,-0.00029934314833408296,3.09623624221746e-07,0.0,-0.0036038339447726723,-3.175943034924066e-07,-1.0,4.586150311222868e-06,-9.730139710051713e-12
-1.0,0.0,-2.2587079752651622e-05,-0.00041008008681339805,0.044278064885942235,3.440345681907871e-08,-0.9962440389515085,2.6691432190203774,-1.004980613909256e-07,-0.004829046910238647,8.856414858944182e-06,-1.0,-0.006577822792785308,-2.0686878626497687e-05,-0.011009146929811581,3.893625878154552e-06,0.0
0.9070262968868623,0.0,-3.5130771387022906e-05,-0.0025698916039425734,0.0,-5.915320629452034e-08,-1.0,0.006725943089316332,-2.633867272963379e-06,0.0,-0.0004610069745771,0.0,-1.0,0.0,0.0,0.000929552170501,0.0
2.5604023489843017,0.0,0.0002311634696807324,-0.0001905349116827597,0.01462990632820102,-5.915320629452034e-08,0.0,0.0,1.1555544823540406e-06,-0.9994486838390787,-1.6818979983157022e-06,0.0,-0.006784410590795433,0.0,-1.0,0.0,0.0
-1.0,0.0,-0.0002748287469819911,-0.0016633979456941873,2.627926308419978,8.23623690727261e-07,0.0,0.0,0.00023563002394374604,0.0,2.860967453715609e-05,-0.991871409762662,-0.004935346062522262,-5.8288917693683836e-05,-0.00660877950873179,8.517870416171149e-08,-8.793960055886102e-09
