"t{power: 1.0, dim: 0.0}_x",C_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",dy/dx0{power: 1.0}_x,"dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_y",C_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,y{power: 1.0}_y
0.0,5.596421915570136e-10,-1.0,3.4926137482003404e-06,0.0,0.0,0.0,0.0,-1.7848511929502216e-11,1.379521274483128e-08,-1.0,0.0,0.0,0.0
0.0,0.0199255655964371,0.0,711.3225439249173,-1.0,0.0,0.0,0.0,1.045782499926209e-09,-2.1672974241225815e-08,0.0,0.6923586445744365,-1.0,0.0
0.0,2.5902271227098303e-05,0.0,0.0,0.0,0.6945914871609302,-1.0,-3.765226261505757e-05,1.045782499926209e-09,-2.1672974241225815e-08,0.0,0.6923586445744365,-1.0,0.0
1.657179144309534e-09,-1.4602691956873374e-06,0.0,0.0,0.0,0.6945651850055313,-1.0,0.0,0.0,5.913316944207901e-06,0.0,0.6924551691704321,-1.0,-1.8641284980782225e-05
0.0,2.0865565586503034e-05,-1.0,0.0,0.0,0.0,0.0,-1.7671135969063502e-07,-1.6102181445078594e-11,3.176929700830168e-08,-1.0,0.0036146636862242226,-0.0030827124178422465,0.0
1.924401232860068e-12,0.019871747209106262,-0.007272212057992964,708.4728522284025,-0.9988245561300362,0.0,-0.002862126468205788,-1.8824610205088858e-07,1.045782499926209e-09,-2.1672974241225815e-08,-0.006078535190061465,0.6893115818066274,-0.9998212104599021,0.0
0.0,-1.4602691956873374e-06,0.0,0.0,-0.0011096193445663074,0.6933082336509853,-0.9980018609721708,-3.750030553249615e-05,1.0396649855964143e-09,-2.1672974241225815e-08,0.0,0.6924551691704321,-0.9997431554453113,-1.5312272488104976e-07
1.6465655612714011e-09,-1.4602691956873374e-06,-0.0010909272789325236,0.48661087350732607,0.0,0.6945914871609302,-0.9962274153503242,-5.050328589798298e-07,-2.0816533309198073e-12,5.8818575865501424e-06,-0.0006416705853339358,0.6924551691704321,-0.9964901188825099,-1.8641284980782225e-05
6.130684601103306e-12,-1.4602691956873374e-06,-0.9822307169712075,7.044090811367353,0.0,0.0,0.0,0.0,-1.1619310044409521e-11,-2.1672974241225815e-08,-1.0,0.0016464741799446475,-0.004368933700233122,0.0
1.3643791441770912e-11,0.019920806102254076,0.0,709.9783909101587,-0.9989173092693164,0.009416010113839406,0.0,-4.780081674659812e-07,1.0412908589924394e-09,1.5001104149187076e-08,0.0,0.6882187358903348,-0.9973439936477515,0.0
0.0,0.00020611215119766137,0.0,0.0,0.0,0.6945914871609302,-1.0,-3.765226261505757e-05,1.045782499926209e-09,-1.3826777649192243e-08,-0.00029124038838126764,0.6924551691704321,-0.9917832087749321,0.0
1.6225559612499543e-09,-1.4602691956873374e-06,-0.000715236778949841,0.0,-0.010401139057989147,0.6847344563082625,-0.995676493605712,-1.7603202095343746e-07,-1.7848511929502216e-11,5.822107523416537e-06,-0.005283502606470642,0.6900147434360319,-1.0,-1.8641284980782225e-05
