,x3{power: 1.0}_x1,C_x1,dx1/dx0{power: 1.0} * y3{power: 1.0}_x1,d^2x1/dx0^2{power: 1.0}_x1,y4{power: 1.0}_x1,x1{power: 1.0}_x1,dx1/dx0{power: 1.0}_x1,x4{power: 1.0}_x1,y3{power: 1.0}_x1,y2{power: 1.0}_x1,y1{power: 1.0} * y4{power: 1.0}_x1,"t{power: 1.0, dim: 0.0}_x1",C_y1,d^2y1/dx0^2{power: 1.0}_y1,x3{power: 1.0}_y1,y5{power: 1.0}_y1,dy1/dx0{power: 1.0}_y1,d^2y1/dx0^2{power: 1.0} * y5{power: 1.0}_y1,"x5{power: 1.0} * sin{power: 1.0, dim: 0.0}_y1",dy2/dx0{power: 1.0}_y1,dy6/dx0{power: 1.0} * dy1/dx0{power: 1.0}_y1,dx6/dx0{power: 1.0}_y1,"t{power: 1.0, dim: 0.0}_y1",d^2y1/dx0^2{power: 1.0} * y6{power: 1.0}_y1,y3{power: 1.0}_y1,dx3/dx0{power: 1.0}_x2,C_x2,dx2/dx0{power: 1.0}_x2,d^2x2/dx0^2{power: 1.0}_x2,x3{power: 1.0}_x2,y4{power: 1.0}_x2,y4{power: 1.0} * y5{power: 1.0}_x2,x2{power: 1.0}_x2,x4{power: 1.0}_x2,y3{power: 1.0}_x2,x6{power: 1.0}_x2,dx1/dx0{power: 1.0}_y2,C_y2,d^2y2/dx0^2{power: 1.0}_y2,x5{power: 1.0}_y2,"t{power: 1.0, dim: 0.0}_y2",x1{power: 1.0}_y2,dy2/dx0{power: 1.0}_y2,y3{power: 1.0}_y2,x3{power: 1.0}_y2,x2{power: 1.0} * d^2y2/dx0^2{power: 1.0}_y2,dy6/dx0{power: 1.0}_y2,d^2y2/dx0^2{power: 1.0} * d^2x2/dx0^2{power: 1.0}_y2,x4{power: 1.0}_y2,d^2y2/dx0^2{power: 1.0} * dx4/dx0{power: 1.0}_y2,C_x3,d^2x3/dx0^2{power: 1.0}_x3,x3{power: 1.0}_x3,y1{power: 1.0}_x3,x2{power: 1.0} * d^2x3/dx0^2{power: 1.0}_x3,dx3/dx0{power: 1.0}_x3,dx3/dx0{power: 1.0} * x1{power: 1.0}_x3,"y3{power: 1.0} * cos{power: 1.0, dim: 0.0}_x3",y4{power: 1.0}_x3,"t{power: 1.0, dim: 0.0}_x3",C_y3,d^2y3/dx0^2{power: 1.0}_y3,x3{power: 1.0}_y3,y3{power: 1.0}_y3,dy3/dx0{power: 1.0}_y3,y5{power: 1.0} * d^2y3/dx0^2{power: 1.0}_y3,x5{power: 1.0}_y3,y6{power: 1.0} * d^2y3/dx0^2{power: 1.0}_y3,y4{power: 1.0}_y3,y2{power: 1.0} * d^2x3/dx0^2{power: 1.0}_y3,d^2y3/dx0^2{power: 1.0} * x6{power: 1.0}_y3,C_x4,dx4/dx0{power: 1.0}_x4,x3{power: 1.0}_x4,d^2x4/dx0^2{power: 1.0}_x4,y2{power: 1.0}_x4,y1{power: 1.0}_x4,d^2x4/dx0^2{power: 1.0} * x4{power: 1.0}_x4,x6{power: 1.0}_x4,dy2/dx0{power: 1.0} * d^2x4/dx0^2{power: 1.0}_x4,x1{power: 1.0}_x4,d^2x3/dx0^2{power: 1.0}_x4,dx5/dx0{power: 1.0}_x4,dx4/dx0{power: 1.0} * d^2y4/dx0^2{power: 1.0}_x4,dx3/dx0{power: 1.0}_x4,y2{power: 1.0}_y4,C_y4,dy4/dx0{power: 1.0}_y4,x1{power: 1.0}_y4,dx6/dx0{power: 1.0}_y4,d^2y4/dx0^2{power: 1.0}_y4,y1{power: 1.0}_y4,y3{power: 1.0} * x5{power: 1.0}_y4,d^2y4/dx0^2{power: 1.0} * d^2x4/dx0^2{power: 1.0}_y4,d^2y1/dx0^2{power: 1.0}_y4,x2{power: 1.0}_y4,x6{power: 1.0} * dy4/dx0{power: 1.0}_y4,dy1/dx0{power: 1.0}_x5,C_x5,d^2x5/dx0^2{power: 1.0}_x5,x3{power: 1.0}_x5,dx5/dx0{power: 1.0}_x5,x5{power: 1.0}_x5,dx5/dx0{power: 1.0} * d^2y1/dx0^2{power: 1.0}_x5,y5{power: 1.0}_x5,y4{power: 1.0}_x5,y2{power: 1.0}_x5,y3{power: 1.0}_x5,x6{power: 1.0}_x5,x1{power: 1.0} * dx5/dx0{power: 1.0}_x5,C_y5,d^2y5/dx0^2{power: 1.0}_y5,y3{power: 1.0}_y5,d^2y5/dx0^2{power: 1.0} * x4{power: 1.0}_y5,y4{power: 1.0}_y5,dy5/dx0{power: 1.0}_y5,x3{power: 1.0}_y5,d^2y2/dx0^2{power: 1.0}_y5,d^2y5/dx0^2{power: 1.0} * dy6/dx0{power: 1.0}_y5,d^2y4/dx0^2{power: 1.0}_y5,C_x6,d^2x6/dx0^2{power: 1.0}_x6,x6{power: 1.0}_x6,d^2x6/dx0^2{power: 1.0} * x2{power: 1.0}_x6,y1{power: 1.0} * y4{power: 1.0}_x6,dy2/dx0{power: 1.0}_x6,dx6/dx0{power: 1.0}_x6,x1{power: 1.0}_x6,y1{power: 1.0}_x6,y5{power: 1.0}_x6,d^2x3/dx0^2{power: 1.0} * d^2x6/dx0^2{power: 1.0}_x6,d^2y1/dx0^2{power: 1.0}_x6,d^2y3/dx0^2{power: 1.0}_x6,C_y6,dy6/dx0{power: 1.0}_y6,y3{power: 1.0}_y6,x2{power: 1.0}_y6,dy6/dx0{power: 1.0} * x3{power: 1.0}_y6,d^2y6/dx0^2{power: 1.0}_y6,d^2y1/dx0^2{power: 1.0}_y6,x3{power: 1.0}_y6,y1{power: 1.0}_y6,dy6/dx0{power: 1.0} * dx4/dx0{power: 1.0}_y6,"dy5/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y6"
0,0.03242677190507701,-0.023203173858915273,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006018795777588566,-1.0,-0.008118636758300393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1969731959733563,0.0004692922805418674,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058846347712699476,2.921155716578584e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016846125688310128,-1.0,-0.02256299121586711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005763989505031958,-1.0,-0.007661779011198043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872749761949346,-1.0,-0.11714040062457248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028667812210775877,0.023611902323321728,-1.0,-0.043757077849436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01026087173096339,1.2717400250756907e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014561835682329522,-1.0,0.00020901042018548778,1.4142243330315503,0.0,0.0,0.0,0.0,0.0,0.0,0.005265279585848271,-1.0,-0.006599607436112867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03404058442400693,-1.0,0.047483551328816785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0017158034710994922,0.0,-1.0,-0.0038170820032628373,-0.0034525076644190207,0.0,0.0,0.0,0.0,0.0,0.0,0.006238833661375647,0.0,0.0,-0.0237952478463568,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033373454562827705,0.0,-1.0,0.004400305029324255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009937074908636797,-1.0,-0.005963711788263688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016310277234838795,0.0,0.0,-0.00019680252816441028,-1.0,0.0,0.0,0.0,0.0,0.0,0.005763989505031958,-1.0,-0.007661779011198043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007517988492869716,0.0,0.0,-1.0,0.0005598949073003195,0.008775874518965488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299936153528303e-05,0.0,0.0,-0.03749410093811027,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014197537641398536,-1.0,-0.0018271562267629998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002898007749047158,0.0,0.0,0.0,0.011254340575870572,-1.0,0.0,0.0,0.0,0.0,-8.084860669471279e-06,0.0,0.0,-1.0,4.616502108192364e-05,0.00027784684069247803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003952169133566846,0.0,0.0,0.042501066359893105,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-0.013039621192100134,0.0,0.0,0.0,0.0,-1.0,-0.003489656019317041,0.02464717999894788,0.0,0.0,0.0,-3.806077471878953e-05,0.0,0.0,0.0,0.0,-1.0,8.108151085526783e-05,-0.009546625139467165,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011038500648617067,0.0,-1.0,0.002427296099626128,0.018965129885708754,-0.10553172947969516,-0.006159239781858742,0.0,0.0,0.0,0.0,0.0017843091600019086,-1.0,-0.009000511836484294,-2.2659858840993244e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016310277234838795,0.0,0.0,-0.00019680252816441028,-1.0,0.0,0.0,0.0,0.0,0.0,0.005763989505031958,-1.0,-0.007661779011198043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872749761949346,-1.0,-0.11714040062457248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02467285497895174,-1.0,0.0,0.0,0.0,0.02807138898029603,0.0,0.0,0.0,0.0,0.0,0.0,0.003597192255978787,0.0,0.0,-1.0,-0.025402204501076543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015749593568069126,0.0,0.0,0.0,0.0,-1.0,0.020727790638751215,0.0,0.0,0.0,-0.009139509970468952,0.0,0.0,0.0,0.0,0.0,-1.0,0.033135686675481356,0.0,0.0,0.0,0.0,0.0,-0.03404058442400693,-1.0,0.047483551328816785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.001990577964272539,0.0,-1.0,0.0,-0.004219735861264533,0.0,0.0,0.0,-0.0021357164864415803,0.0,0.0,-2.2020257142939265e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0006315748676136326,0.0,0.0,0.0,0.0,-0.005605650057968058,-1.0,0.0,0.0,0.0,0.0,0.0,0.008465652009840624,0.0,0.0,0.0,0.0015201047510103123,0.0,0.0,0.0,-0.012063659049027857,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012686943714810982,0.0,-0.0015709763784638798,0.0,0.0,-1.0,3.7367033391109246,0.0,0.0,0.0,0.007857046117932299,0.0,0.0,-0.011308383663128847,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007517988492869716,0.0,0.0,-1.0,0.0005598949073003195,0.008775874518965488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028667812210775877,0.023611902323321728,-1.0,-0.043757077849436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3299276818826555e-06,0.0,0.0,0.0,0.0,-1.0,2.3138706720539706e-05,0.0,0.0,0.0,0.0,0.0,5.3887273669287586e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0001751175434690339,-1.0,-0.0001641709499661178,0.005265279585848271,-1.0,-0.006599607436112867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3425869294684744e-05,0.0,0.0,0.0,0.0,-1.0,0.025745483201028273,0.0,0.0,0.0,0.0
4,0.021420983743065766,-0.019615312077837503,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026332066944474944,0.0,0.006018795777588566,-1.0,-0.008118636758300393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00486953225340294,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00767437126124386,0.0,0.0,0.0017843091600019086,-1.0,-0.009000511836484294,-2.2659858840993244e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016313589821721994,0.0,0.0,0.0,0.0,-1.0,0.0,0.00019037384333085792,0.0,0.0,0.0005198147938037227,0.0,0.0,-0.0007641573895997826,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0016025023063360301,0.0,0.0,0.0,0.0,0.001883049812880288,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028667812210775877,0.023611902323321728,-1.0,-0.043757077849436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038013395077765777,0.0,0.0,-1.0,0.0,0.0,0.0,-0.0223455563200851,0.0,0.0,0.0,0.0,-0.015749593568069126,0.0,0.0,0.0,0.0,-1.0,0.020727790638751215,0.0,0.0,0.0,0.009044159727299618,0.0,0.0,0.0,0.0,0.0,-1.0,0.01721029037802228,-0.0159179644726613,0.0,0.0,0.0,0.0,-0.03404058442400693,-1.0,0.047483551328816785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0017158034710994922,0.0,-1.0,-0.0038170820032628373,-0.0034525076644190207,0.0,0.0,0.0,0.0,0.0,0.0,0.006018795777588566,-1.0,-0.008118636758300393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033373454562827705,0.0,-1.0,0.004400305029324255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611616806425575,0.0,0.0,0.0,0.0,-1.0,0.021480754035904628,0.0,0.0,0.0,0.0,0.0,0.0,0.004283608765749765,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.017200011535274874,0.0,0.005763989505031958,-1.0,-0.007661779011198043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872749761949346,-1.0,-0.11714040062457248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028667812210775877,0.023611902323321728,-1.0,-0.043757077849436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012038779380146634,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.0058433606928013125,-0.015251301645464769,0.0,0.0,-0.00014561835682329522,-1.0,0.00020901042018548778,1.4142243330315503,0.0,0.0,0.0,0.0,0.0,0.0,0.005265279585848271,-1.0,-0.006599607436112867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03404058442400693,-1.0,0.047483551328816785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-0.013039621192100347,0.0,0.0,0.0,0.0,-1.0,-0.0034896560193172573,0.024647179998948415,0.0,0.0,0.0,0.006018795777588566,-1.0,-0.008118636758300393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005605650057968058,-1.0,0.0,0.0,0.0,0.0,0.0,0.008465652009840624,0.0,0.0,0.0,-0.00018335417021663822,0.0,0.0,0.0,0.0,0.0,0.0,0.0002397911939425778,-1.0,-0.00020036095733084953,0.0,0.0,0.0,0.016846125688310128,-1.0,-0.02256299121586711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033146573306808033,0.0,0.0,0.0,0.0,0.0,-0.0018753756239374968,-1.0,0.0,0.0,0.0,0.08872749761949346,-1.0,-0.11714040062457248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028667812210775877,0.023611902323321728,-1.0,-0.043757077849436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014197537641398536,-1.0,-0.0018271562267629998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014561835682329522,-1.0,0.00020901042018548778,1.4142243330315503,0.0,0.0,0.0,0.0,0.0,0.0,0.005265279585848271,-1.0,-0.006599607436112867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021143219854843675,0.0,0.0,0.0,0.0,-1.0,0.0,-0.002806304461087422,0.0,0.0,0.0
7,0.0,0.0019905779642725918,0.0,-1.0,0.0,-0.004219735861264647,0.0,0.0,0.0,-0.002135716486441634,0.0,0.0,0.0019453930407846251,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.1793958442675789e-05,0.0,0.0,0.0,-0.0011946863569110234,0.0,-1.0,0.0,0.0,0.0,-0.0026312038457503924,0.0,0.0019197399832215146,0.0,-0.039180927229134174,-5.219786671165736e-05,-1.0,0.0,5.461895883415387e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016846125688310128,-1.0,-0.02256299121586711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005763989505031958,-1.0,-0.007661779011198043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007517988492869222,0.0,0.0,-1.0,0.0005598949073005346,0.008775874518964784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028667812210775877,0.023611902323321728,-1.0,-0.043757077849436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003162513312590165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003820891588036883,-1.0,-0.015749593568069126,0.0,0.0,0.0,0.0,-1.0,0.020727790638751215,0.0,0.0,0.0,-0.007585539574191797,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.03490717834056142,0.0,0.0,0.0,-0.03404058442400693,-1.0,0.047483551328816785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.003096483043235151,0.0,-1.0,0.0,-0.008881363017425726,0.0,-0.002651044426962323,0.0,0.0,0.0,1.1234919732685334e-05,0.006238833661375647,0.0,0.0,-0.0237952478463568,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005605650057968058,-1.0,0.0,0.0,0.0,0.0,0.0,0.008465652009840624,0.0,0.0,0.0,4.1536942678546533e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.554814830399271e-07,0.0,0.0011868832507228532,0.0,-0.0012882861215451154,0.0,0.0,-1.0,3.7242953069467357,0.0,0.0,-1.2611633614607123e-06,0.008755675358235723,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.03923247336248902,0.0,0.0,-1.2910286639066522e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9749803646984365e-05,-1.0,-1.0695812536588623e-05,0.0,0.0,0.0,0.0,-0.01238371785709787,0.007894841750464338,-1.0,-0.04393589944354682,0.0,0.0,0.010201856553888076,0.0,0.0,0.0,0.0,0.0,0.0,0.012038779380146634,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.005876491021042686,-0.01523126710825795,0.0,0.0,-0.00014561835682329522,-1.0,0.00020901042018548778,1.4142243330315503,0.0,0.0,0.0,0.0,0.0,0.0,2.5017398347887743e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.92852461578363e-05,-0.00010750515937030026,-0.03404058442400693,-1.0,0.047483551328816785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,-0.013039621192100134,0.0,0.0,0.0,0.0,-1.0,-0.003489656019317041,0.02464717999894788,0.0,0.0,0.0,-3.7792202087048315e-05,0.0,0.0,0.0,0.0,-1.0,0.0,-0.009378732944878834,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033373454562827705,0.0,-1.0,0.004400305029324255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017843091600019086,-1.0,-0.009000511836484294,-2.2659858840993244e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012686943714810982,0.0,-0.0015709763784638798,0.0,0.0,-1.0,3.7367033391109246,0.0,0.0,0.0,0.008755675358235723,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.03923247336248902,0.0,0.0,1.6353240713158284e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.146304035490299e-05,0.00024193030651301688,-1.0,0.0,0.0,-3.199121490153603e-07,0.0,0.0,0.0,0.0,0.0,3.2374358679728054e-06,-1.0,2.043067129791893e-05,0.0,0.0,0.0,-4.3299276818826555e-06,0.0,0.0,0.0,0.0,-1.0,2.3138706720539706e-05,0.0,0.0,0.0,0.0,0.0,-0.00014561835682329522,-1.0,0.00020901042018548778,1.4142243330315503,0.0,0.0,0.0,0.0,0.0,0.0,0.005265279585848271,-1.0,-0.006599607436112867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017212772072598603,0.0,0.0,0.0,0.0,-1.0,0.0,-0.003873001461066624,0.0014444823589546418,0.0,0.0
