C_x,dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dy/dx0{power: 1.0}_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",C_y,dy/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0}_y,y{power: 1.0}_y,y{power: 1.0} * dy/dx0{power: 1.0}_y,d^2x/dx0^2{power: 1.0}_y,x{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * y{power: 1.0}_y
-0.36412317902000824,-0.4472135954999578,0.4211102152581221,-0.7052922739858694,0.4462232136934551,-0.6415018382503205,1.4737860597798724,0.447213595499958,-0.44262152104679126,2.223361619316659,-1.4142135623730951,0.4469204984761039,0.44721359549995787,0.12201844866935274,0.4472135954999579
-0.3431588513927738,-0.4472135954999578,0.43367709585475445,-0.7071067811865476,0.4418710652508475,-0.6415018382503205,1.4737860597798724,0.447213595499958,-0.44721359549995787,2.2271548879694145,-1.4076580735870847,0.447213595499958,0.44721359549995787,0.12490143566033102,0.4472135954999579
-0.3538100662321037,-0.4472135954999578,0.43172841435718423,-0.7071067811865476,0.44579376265810206,0.3712631954270966,-1.3037486261907374,-2.222266792589589,2.23606797749979,-0.4106320793485143,0.7025286148255996,0.447213595499958,0.4427617898178925,0.13479294401637512,0.4468898741205453
-0.33536788531763817,-0.44629538917201833,0.4119592312909443,-0.7071067811865476,0.43824201441911415,-0.6374987333551755,1.4737860597798724,0.447213595499958,-0.44721359549995787,2.233079209389117,-1.4050182852170234,0.447213595499958,0.44721359549995787,0.12027115367011663,0.4472135954999579
-0.3433565281530297,-0.4472135954999578,0.42014821690171567,-0.7071067811865476,0.44721359549995787,-0.6415018382503205,1.4737860597798724,0.447213595499958,-0.442447726457078,2.233079209389117,-1.4142135623730951,0.447213595499958,0.44721359549995787,0.10378937070214474,0.4472135954999579
-0.3410729436449803,-0.4465760906607296,0.4338083426418931,-0.7056568534400414,0.44627422850557635,-0.6415018382503205,1.4737860597798724,0.44439855072334833,-0.443603544472967,2.2213989229769293,-1.4142135623730951,0.447213595499958,0.44721359549995787,0.13034674234691293,0.4472135954999579
-0.34642971217712365,-0.4472135954999578,0.4148383799643648,-0.7071067811865476,0.44721359549995787,-0.6373332209215381,1.4737860597798724,0.4415846882811223,-0.4448858633666171,2.2324546872352147,-1.4125140175982365,0.44624626313253823,0.4461736736825464,0.13040194912187322,0.4446934995281925
-0.35709483264759395,-0.4416326547180132,0.4159232646581381,-0.7071067811865476,0.44714164339204243,0.3777388127935605,-1.3037486261907374,-2.23606797749979,2.2312586146933135,-0.4027293765930206,0.7071067811865475,0.447213595499958,0.4460335514106089,0.1260419257467542,0.44427008931972806
-0.3378215343054613,-0.43886750140847364,0.4227966488648577,-0.7071067811865476,0.44207904404365983,-0.6415018382503205,1.4737860597798724,0.4415975727326362,-0.4435052859843951,2.233079209389117,-1.4124485109537142,0.447213595499958,0.44721359549995787,0.12667169998356648,0.4472135954999579
-0.3413904614302212,-0.4400383558822118,0.42075749531134243,-0.7049866674669422,0.445208172712076,-0.6241748277323024,1.4737860597798724,0.447213595499958,-0.4422824155961444,2.233079209389117,-1.4142135623730951,0.447213595499958,0.44721359549995787,0.11616648401615914,0.4472135954999579
