RMSE_x,RMSE_y,CRPS_x,CRPS_y
0.03157026759550279,0.045414013855049735,0.02574934130733772,0.0340636949482933
0.0378745130278118,0.1017894940776336,0.029294594822591676,0.06215912784659531
0.03594345137195449,0.042742360711986144,0.028040578939040973,0.030249332054674716
0.03188975802840404,0.03165121726617053,0.02601638248703151,0.02471317198272526
0.03652212378606706,0.10038193710033702,0.02808847559798553,0.05889408057743346
0.04169730413200729,0.10631059840055009,0.030905546412201137,0.0643572462283343
0.0401811075428423,0.10818861425028399,0.029402179044634453,0.0627769914998753
0.03702740927044752,0.042008060016009485,0.029173280574202366,0.031245404627400237
0.032578546891278,0.07816272570486751,0.02584010631590424,0.049493858094614776
0.02942464499205676,0.03009397640656155,0.024337670098412745,0.02403702361483345
