C_x,dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dy/dx0{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,y{power: 1.0}_x,"t{power: 1.0, dim: 0.0} * dx/dx0{power: 1.0}_x",C_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,dy/dx0{power: 1.0}_y,y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0}_y,"dy/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y
-0.45215907749137035,-0.45002570758104177,0.728247672038362,0.4620605135208548,0.44721359549995787,-0.43697241474031384,0.44721359549995787,-0.46447885469446903,-1.0,0.8267382749200399,1.0000000000042077,0.43995867144804324,-0.447213595499958,0.7071067811865475,0.7071067811865475
-0.45292778474182327,-0.45002570758104177,0.6927199811952649,0.4407691363583844,0.4465961298851438,-0.4472135954999579,0.44721359549995787,-0.4840422956684547,-0.9984579268422076,0.8267789895459634,1.0000000000042077,0.44133564160682276,-0.447213595499958,0.7022834698340825,0.7071067811865475
-0.45525052855647724,-0.43206403521314746,0.7306513915779084,0.4620605135208548,0.44721359549995787,-0.4472135954999579,0.4453362352616738,-0.47365475161085124,-1.0,0.8219543804465484,1.0000000000042077,0.4458202100284185,-0.447213595499958,0.7048515004587221,0.7071067811865475
-0.45525052855647724,-0.44017241379549293,0.7284043402044141,0.4533499771096691,0.44721359549995787,-0.4472135954999579,0.44721359549995787,-0.48243927178779805,-1.0,0.8222203660166658,1.0000000000042077,0.4415993935765589,-0.43672795173386225,0.704311474899935,0.7018844092849216
-0.4489498028503023,-0.44476719472256265,0.7290764653763107,0.4620605135208548,0.4420658128988822,-0.4443053725233404,0.44721359549995787,-0.4840422956684547,-0.9956378293864606,0.8281504995668246,1.0000000000042077,0.447213595499958,-0.443105529365715,0.7071067811865475,0.7071067811865475
-0.45525052855647724,-0.45002570758104177,0.7319235217155767,0.4540142425918852,0.4440794168239937,-0.4472135954999579,0.44721359549995787,-0.4840422956684547,-0.9975359320408699,0.8281504995668246,0.9957957436863977,0.447213595499958,-0.4372964634555122,0.7071067811865475,0.7051757239205215
-0.4463085461527488,-0.45002570758104177,0.6925497896140476,0.4498778426628012,0.44721359549995787,-0.4472135954999579,0.44721359549995787,-0.47993032512955397,-0.9984259879260275,0.8281504995668246,1.0000000000042077,0.447213595499958,-0.44386247608937895,0.7020314904118328,0.7071067811865475
-0.4527079849720075,-0.4409280523507468,0.6838611254217201,0.445975334516353,0.44721359549995787,-0.4472135954999579,0.44721359549995787,-0.4840422956684547,-0.9948391584555837,0.8281504995668246,1.0000000000042077,0.4450647199637034,-0.4455206837457078,0.7033465317363816,0.6972742849255996
-0.45525052855647724,-0.4471407878642148,0.7319235217155767,0.4620605135208548,0.4295457516110087,-0.4472135954999579,0.44721359549995787,-0.4840422956684547,-1.0,0.8281504995668246,1.0000000000042077,0.447213595499958,-0.44474360835452675,0.7071067811865475,0.7056642346480536
-0.45525052855647724,-0.45002570758104177,0.7291561392877208,0.4620605135208548,0.44251064848438465,-0.4472135954999579,0.44400411800651707,-0.4840422956684547,-1.0,0.8228205570366864,1.0000000000042077,0.447213595499958,-0.44507499031903863,0.7071067811865475,0.7071067811865475
