C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0} * x{power: 1.0}_x,C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y
-0.37230427177430425,-0.44206093958108333,0.3867738392113966,0.7015001560336256,-0.44373404732213756,0.44721359549995787,0.07143081128620217,-0.4472135954999581,-0.11074473951350629,0.9909185024476131,0.4472135954999579
-0.3802192527922712,-0.44721359549995787,0.37783220623556685,0.7023164287094578,-0.44076722571713606,0.44248701506305094,0.6669408087977493,-0.4426036423842898,-0.6450005404355758,-0.9913053551202257,0.4472135954999579
-0.3804746104351291,-0.44721359549995787,0.38779408464357035,0.7071067811865477,-0.4472135954999579,0.44525665373129986,0.6719759400202363,-0.4472135954999581,-0.6482674726206974,-1.0000000000000002,0.4472135954999579
-0.37595573381631975,-0.44721359549995787,0.3916792203761589,0.7071067811865477,-0.4472135954999579,0.44721359549995787,0.6650287924260084,-0.44229665712116584,-0.6482674726206974,-1.0000000000000002,0.4472135954999579
-0.3727075656171581,-0.4390842657829289,0.3993825922412365,0.7071067811865477,-0.4472135954999579,0.44721359549995787,0.6709475797786583,-0.4472135954999581,-0.6482674726206974,-0.996195199743985,0.4410087473985099
-0.38521083389449284,-0.44721359549995787,0.38037011951796496,0.706577546590364,-0.44299935441628685,0.44286088586377564,0.6719759400202363,-0.4472135954999581,-0.6458853942205297,-1.0000000000000002,0.4472135954999579
-0.3765293909581361,-0.44721359549995787,0.3895752451951444,0.7071067811865477,-0.44438329422068623,0.4307179959122713,0.07103877364396959,-0.4472135954999581,-0.11270390029195876,1.0,0.4472135954999579
-0.37195066796869564,-0.44721359549995787,0.38174322521728055,0.702184139288063,-0.4472135954999579,0.44721359549995787,0.6700276236350475,-0.4458454533078577,-0.6482674726206974,-0.9940845397298137,0.4472135954999579
-0.39631958936331935,-0.44721359549995787,0.38090054871813894,0.7071067811865477,-0.4472135954999579,0.44672200494309966,0.051686254783184185,-0.4425177594588776,-0.1133817850992995,1.0,0.4425737131280068
-0.37722632354444596,-0.4368375779047243,0.38797881341877266,0.7067378496465568,-0.4472135954999579,0.4436571393880871,0.6719759400202363,-0.4472135954999581,-0.6482674726206974,-0.9970551100674606,0.43622228989989936
