C_x,dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dy/dx0{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_y",y{power: 1.0}_y,C_y,d^2y/dx0^2{power: 1.0}_y,x{power: 1.0}_y,"t{power: 1.0, dim: 0.0} * dy/dx0{power: 1.0}_y",PWM{power: 1.0}_y,y{power: 1.0} * dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0}_y
2.07404531372728,-1.3461376478428109,0.19632948611827372,-2.228964603720495,2.23606797749979,0.4472135954999579,0.4413123323925491,-2.230253402765426,0.33287937869709633,-2.236065849829842,0.9912371524130639,2.2312252005508135,-2.232622041860429,0.4472135954999579,-0.447213595499958,0.7071067811865475
-0.5224566606053317,-1.356381084612706,1.9984028572257735,0.32561753673549737,-0.44566188424179115,0.4472135954999579,0.4428184723733344,0.44722056175923985,-1.3302707336098936,0.4394897145211527,-1.0,-0.4369038537150459,0.44721359549995787,0.44553140816029796,-0.447213595499958,0.7071067811865475
-0.5172418286881205,-1.3496511368777566,1.9984028572257735,0.34384065980225237,-0.447213595499958,0.4472135954999579,0.4375644440644182,0.4470743086070329,-1.327689142060675,0.4481014128943769,-1.0,-0.4478847752693787,0.44721359549995787,0.44479197521792346,-0.44331710679379305,0.7059229161117757
-0.5068426648100484,-1.3539965011470474,1.995741787166727,0.32598799939511036,-0.447213595499958,0.44089262968936865,0.4455200685433885,0.4414401404632142,-1.3337363660022807,0.4481014128943769,-0.9885152078800875,-0.4478847752693787,0.44721359549995787,0.4472135954999579,-0.4399250235002069,0.7071067811865475
-0.4997946595481978,-1.355882709055686,1.9984028572257735,0.3484895868501579,-0.447213595499958,0.4440509579863037,0.4423427028001105,0.4464507949323456,-1.332035676073913,0.4481014128943769,-1.0,-0.4478847752693787,0.4428062142322658,0.43736424698413445,-0.447213595499958,0.7071067811865475
-0.5082119011788739,-1.356381084612706,1.9984028572257735,0.3305221399203983,-0.447213595499958,0.4472135954999579,0.44118107411685364,0.43847182352593117,-1.3337363660022807,0.4481014128943769,-1.0,-0.4318473570568468,0.4427022944709768,0.4472135954999579,-0.447213595499958,0.7047468421399091
-0.5037476645184175,-1.356381084612706,1.9940659904889553,0.33226014054916503,-0.4471363461953736,0.4472135954999579,0.4460883706778383,0.4457916217814694,-1.3337363660022807,0.4481014128943769,-1.0,-0.4478847752693787,0.44721359549995787,0.43666661105897137,-0.447213595499958,0.6934796712529322
-0.5136998999036708,-1.356381084612706,1.9984028572257735,0.33814333075264286,-0.447213595499958,0.4455203239449386,0.4472135954999579,0.43596607908187085,-1.3337363660022807,0.43869940900905174,-1.0,-0.44012501857285746,0.4429839604409509,0.44715047939642016,-0.447213595499958,0.7071067811865475
2.07404531372728,-1.354933960481546,0.20150162927685195,-2.232392215318486,2.23606797749979,0.4472135954999579,0.4472135954999579,-2.236067977318932,0.3240281621488857,-2.2296955570509365,1.0,2.2360662969689606,-2.2360679774997894,0.4435906100562682,-0.447213595499958,0.7071067811865475
-0.5064236349717061,-1.3513579449628865,1.9984028572257735,0.3270643019931175,-0.4343559755902366,0.4415162226863469,0.4472135954999579,0.44722056175923985,-1.3238345254247699,0.4450014853226129,-1.0,-0.4470407280213021,0.44721359549995787,0.43329323471834136,-0.447213595499958,0.7021757581686912
