dx/dx0{power: 1.0}_x,C_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0}_x,x{power: 1.0}_x,y{power: 1.0}_x,x{power: 1.0} * y{power: 1.0}_x,dy/dx0{power: 1.0}_y,C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,d^2x/dx0^2{power: 1.0}_y,dx/dx0{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y
0.9996781713411701,-0.4429523237961642,-0.8808286782456612,1.0,0.4463271874557905,0.44601930729003453,0.44178439582325574,-0.44721359549995787,0.15910379336210653,0.782071761208483,-1.0,-0.8190206437520328,0.44404503684945845,0.44721359549995787,-0.4472135954999579,0.4472135954999579
0.9992334422549294,-0.4446560350952895,-0.8666109416151858,1.0,0.447213595499958,0.447213595499958,0.4389588058068017,-0.44721359549995787,0.15778438780966214,0.7749989527019985,-1.0,-0.839602507735432,0.44721359549995787,0.44721359549995787,-0.4472135954999579,0.4472135954999579
-0.9941320544862406,-0.43922634575158187,1.3545275739985503,-0.9892207771735224,-2.2332159992999046,0.43335840802996517,0.4345714683546366,-0.44721359549995787,1.3515731594737643,-0.8558399567983246,1.0,1.3308422939381124,-2.2325959194362275,-2.2360679774997894,-0.4472135954999579,0.4443293476798873
-1.0,-0.43258955723335146,1.3545275739985503,-0.9981662888338578,-2.2352389260826757,0.44449175403736413,0.4472135954999579,-0.44721359549995787,1.3515731594737643,-0.8457474925248569,0.9968618373784845,1.3216447626788683,-2.2344254473372462,-2.2360679774997894,-0.44385533939291616,0.4432147337723336
1.0000000000000002,-0.44265801133725924,-0.8808286782456612,1.0,0.44575149687447796,0.447213595499958,0.4377762728784095,-0.4450839501553397,0.17417724915042168,0.7817336188806614,-0.997397707573278,-0.8292063304258535,0.44565882357780956,0.44721359549995787,-0.4472135954999579,0.4472135954999579
-0.9996103043540283,-0.4424200121967927,1.3484881060945464,-1.0,-2.23606797749979,0.447213595499958,0.4472135954999579,-0.44721359549995787,1.3487943093072075,-0.8362674832333109,1.0,1.3308422939381124,-2.228229267389531,-2.2285455173706668,-0.43232105544631416,0.4472135954999579
0.9980058451309411,-0.4414851533708791,-0.8756750423431062,0.9975137713205119,0.447213595499958,0.447213595499958,0.445753432697035,-0.44721359549995787,0.1693015784661368,0.7825393222472166,-1.0,-0.8333606253299194,0.44721359549995787,0.4416905984623402,-0.4472135954999579,0.438864073521627
-1.0,-0.4384331635102213,1.3545275739985503,-1.0,-2.2329582172919666,0.447213595499958,0.4472135954999579,-0.44721359549995787,1.3515731594737643,-0.8353296340751957,0.9938990497581165,1.3305191190651668,-2.2321212214886197,-2.2360679774997894,-0.4355699956809302,0.44485190408232816
1.0000000000000002,-0.44111901013465693,-0.8724253192822764,1.0,0.447213595499958,0.447213595499958,0.4472135954999579,-0.44721359549995787,0.16552986593070143,0.7729615184174002,-1.0,-0.8239697073582346,0.44683991421713,0.44392944605571744,-0.4472135954999579,0.4472135954999579
-1.0,-0.43715758585806574,1.3454719752073117,-0.9949385538306487,-2.23606797749979,0.447213595499958,0.43260801461870374,-0.44721359549995787,1.3515731594737643,-0.8507949375646702,1.0,1.3254221832649051,-2.2360679774997894,-2.2360679774997894,-0.4472135954999579,0.4454906507318245
