C_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0}_x,x{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,dy/dx0{power: 1.0}_y,y{power: 1.0} * dy/dx0{power: 1.0}_y,x{power: 1.0} * PWM{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y"
0.5664898912108195,0.44721359549995787,-0.6648554173052407,0.438668338951583,-2.2288999221678925,-0.4347117248870325,0.998554783199558,-0.4309018086363481,0.4366084539033042,0.472154284370114,0.8865902928219739,-1.0,-0.44391273569567075,-0.4472135954999579
0.5622397477432488,0.44721359549995787,-0.66809237383381,0.4371502708667332,-2.2360679774997894,-0.447213595499958,0.9902078129063768,-0.4259414770950165,0.44721359549995787,0.475495488869708,0.889224896686417,-0.9970981315226588,-0.447213595499958,-0.4472135954999579
0.4087355120229968,-2.2360679774997894,0.5367430890041687,0.44721359549995787,0.44588109939894793,-0.447213595499958,1.0,-0.24452348380783584,-2.2360679774997894,0.28864890943915,0.031454929171106434,1.0,-0.447213595499958,-0.4429184157200546
0.4219545071372362,-2.2360679774997894,0.5486806798256209,0.4429994451528846,0.44721359549995787,-0.447213595499958,1.0,-0.2465412661885996,-2.2360679774997894,0.2969365501823918,0.03178547048600419,1.0,-0.43634301374052986,-0.4472135954999579
0.4323658247344187,-2.2360679774997894,0.529198798407701,0.4422412273490968,0.44721359549995787,-0.44076815602001684,1.0,-0.23999183108895683,-2.228744564320411,0.2925087820074536,0.027991411626656432,0.9859513778789495,-0.447213595499958,-0.4424639658279594
0.576717050786193,0.44524036632584213,-0.674633763454954,0.44721359549995787,-2.2360679774997894,-0.447213595499958,1.0,-0.4284191117659705,0.43951351678007283,0.47820499289535046,0.8830331142663943,-0.9867034727689031,-0.447213595499958,-0.4472135954999579
0.4141899692056243,-2.2360679774997894,0.5419900167142699,0.44721359549995787,0.44353726312667496,-0.4367892166543981,1.0,-0.2543796358255048,-2.2281909328190648,0.3020847811542811,0.03282968987321709,0.9924098347081306,-0.447213595499958,-0.4472135954999579
0.4238187493986199,-2.2360679774997894,0.5375472967115237,0.44721359549995787,0.44721359549995787,-0.447213595499958,1.0,-0.2505960967764461,-2.2360679774997894,0.2848534619655381,0.034923794415562676,1.0,-0.43373243920218413,-0.4472135954999579
0.5681798060809009,0.4401633550518143,-0.6695481771933744,0.44721359549995787,-2.233486286617836,-0.447213595499958,0.9992750968887328,-0.4152858264652436,0.44721359549995787,0.474712764444458,0.8833139605960556,-1.0,-0.44324454216287656,-0.44066091887005954
0.4213036177330584,-2.226173979062324,0.5415359034985099,0.4427194890816205,0.44721359549995787,-0.447213595499958,1.0,-0.24804019128785657,-2.2360679774997894,0.28407058208486197,0.03808611054064067,0.984593271828227,-0.447213595499958,-0.4472135954999579
