,d^2x/dx0^2{power: 1.0}_x,C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x","d^2x/dx0^2{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0} * y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,PWM{power: 1.0}_y,dx/dx0{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y"
0,0.0,-0.004231338640227473,-1.0,0.007182188756406037,0.0,0.0,0.0,0.0,0.007551578729229128,-1.0,-0.016948489545055245,2.4691548798726213e-06,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-0.004496289507768842,-1.0,0.00759437141186157,-0.22285470983558564,0.0,0.0,0.0,3.778986528925934e-05,-1.0,-7.883871143031691e-05,0.0,1.6325455191225238,0.0,0.0,0.0,0.0,0.0
2,0.0,-0.004231338640227473,-1.0,0.007182188756406037,0.0,0.0,0.0,0.0,0.00012434154160360336,0.0,0.0,0.0,0.0,-1.0,-0.00020458132743157498,5.212678946094232e-08,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0020283344327020397,-1.0,-0.004190185561970886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-1.0,-1.7955765763442897e-07,0.0,0.0,0.0048261944146430116,0.0,0.0,-0.3092731212988195,0.0020283344327020397,-1.0,-0.004190185561970886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,-0.004231338640227473,-1.0,0.007182188756406037,0.0,0.0,0.0,0.0,-0.0020158462474939086,385.4655682298255,0.0,0.0,0.0,0.0,0.0,0.0,-30.740253608409784,-1.0
