C_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,dx/dx0{power: 1.0}_x,x{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * dy/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_y,dy/dx0{power: 1.0}_y,C_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,"t{power: 1.0, dim: 0.0} * dy/dx0{power: 1.0}_y",dy/dx0{power: 1.0} * dx/dx0{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0} * d^2x/dx0^2{power: 1.0}_y
-0.5717512891121661,0.44721359549995787,0.6747287632831709,-1.4142135623730951,1.0722674012100597,0.44707892652400355,0.44721359549995787,0.447213595499958,0.44721359549995787,0.6463354480189069,2.2360633046735545,2.2357395985925788,0.7026620464206546,-2.236039323516737,-2.2291531259761337,0.44721359549995787,-0.4517756305621464,0.44721359549995787
-0.5743738398522222,0.44721359549995787,0.6684730635851908,-1.4142135623730951,1.0734311214585244,0.4472135954999579,0.44719990488169103,0.4419747709754446,0.44721359549995787,0.6463354480189069,2.2268707920188597,2.2357395985925788,0.7071067811865475,-2.2327787555941807,-2.225764925979261,0.44721359549995787,-0.43475126977691564,0.44721359549995787
-0.14842578093058809,-2.2360679774997894,-1.8576222090961065,0.7030642239073714,-0.07682525391332541,0.4472135954999579,0.44721359549995787,0.427858111858733,0.44721359549995787,0.11927546888760121,-0.44904121194052177,-0.4610438049661744,-1.4092526868236739,0.4499807010145957,0.4471068405071402,0.44721359549995787,-0.44557525115439456,0.44343762795615066
-0.1378279728632747,-2.2360679774997894,-1.8672587525406996,0.7071067811865475,-0.08376567669776071,0.44504763263853325,0.44721359549995787,0.447213595499958,0.4383252847251067,0.12521072083873555,-0.4455983983560316,-0.44357473777520146,-1.413095569693473,0.4499807010145957,0.4423633162850044,0.44358624873809827,-0.44914803394608305,0.44721359549995787
-0.5699389702772015,0.43715282162562014,0.6747287632831709,-1.4135197619771047,1.0753448020156455,0.4437779958121481,0.442137101107797,0.447213595499958,0.44721359549995787,0.6425343666297147,2.2360633046735545,2.2357395985925788,0.7071067811865475,-2.236039323516737,-2.2360679774997894,0.44721359549995787,-0.4564235667909388,0.43529036847389474
-0.1415223265994218,-2.2360679774997894,-1.8675758296498908,0.7021936303327703,-0.08470407002337947,0.4334451716854136,0.44721359549995787,0.44047450232395424,0.44721359549995787,0.11531398920026449,-0.4455792889388398,-0.45910385516124025,-1.4142135623730951,0.4499807010145957,0.44721359549995787,0.4426447586530457,-0.44294864710709714,0.44721359549995787
-0.15479777583123647,-2.2360679774997894,-1.8675758296498908,0.7071067811865475,-0.07706818737095512,0.4472135954999579,0.44721359549995787,0.447213595499958,0.44721359549995787,0.11451207868759306,-0.44904121194052177,-0.4499654710364753,-1.4142135623730951,0.44971525552104086,0.4406480941830188,0.4336734164597709,-0.4385353121760132,0.44721359549995787
-0.5759894822001879,0.44332246176246515,0.6747287632831709,-1.4142135623730951,1.0657746005342583,0.4472135954999579,0.44252178924908875,0.447213595499958,0.44721359549995787,0.6463354480189069,2.2360633046735545,2.2357395985925788,0.6968506975906309,-2.236039323516737,-2.2253060450817648,0.44721359549995787,-0.43680769546280535,0.44721359549995787
-0.5695679820971997,0.44721359549995787,0.6740602504454362,-1.4142135623730951,1.0753448020156455,0.4472135954999579,0.44533609403430513,0.44371083378614185,0.44721359549995787,0.6463354480189069,2.231826132972587,2.23143993304097,0.7071067811865475,-2.2199736674683432,-2.2311636512731443,0.44721359549995787,-0.4543427025047514,0.44721359549995787
-0.5726837639383386,0.44721359549995787,0.6699578333084582,-1.4142135623730951,1.0691645514330972,0.43872001156942664,0.4446381650087071,0.447213595499958,0.44721359549995787,0.6298036396532688,2.2360633046735545,2.2357395985925788,0.7071067811865475,-2.236039323516737,-2.2360679774997894,0.43615268419684566,-0.4480656505532748,0.44721359549995787
