,"y{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0}_x,C_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0}_y,C_y,y{power: 1.0} * d^2y/dx0^2{power: 1.0}_y,x{power: 1.0}_y,y{power: 1.0}_y,"d^2y/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0}_y,dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0} * dy/dx0{power: 1.0}_y
0,2.6611508336201525e-05,0.0,-2.206670098942532e-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213161131800794,-4.070030750715611e-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,-9.026720691438718e-05,0.0,0.6238543494960999,0.00014450129007620362,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.00018626985287678425,0.0,0.0,-0.0003000672970279015,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,-9.026720691438718e-05,0.0,0.6238543494960999,0.00014450129007620362,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10596634273975554,0.0,0.0,-0.17072218794303762,-1.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-6.588959319475313e-09,-1.0,0.0,0.0,0.0,1.2331319445599952e-11,0.0,0.0,0.0,0.0,-1.0,0.00019884590082637986,0.0,0.0,-0.0003199682497930906,0.0,-0.0057349307080641525,0.0,0.0,0.0,0.0
4,0.0,0.0,-3.060591623209595e-05,0.0,0.4624795729278154,0.0,0.0,0.0,0.0,6.701156277916039e-05,-1.0,0.0,0.0,3.8729589370156056e-07,0.0,0.0,-3.801930875465658e-07,0.0,0.0,0.6198806279192403,-1.0,0.0,0.0
5,0.0,0.0,-5.756358453286193e-07,0.0,0.6231777907529642,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048361995529742775,0.0,0.0,-0.067230008159694,0.0,0.0,556.6283316497203,0.0,-1.0,0.0
6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242643591666764e-11,0.0,0.0,0.0,0.0,-8.176558113650527e-08,0.0,0.0,0.0,-1.0
7,0.0,0.0,0.0011958895045771302,0.0,-1.0,-0.0020528875456171463,0.0,2.5700724492756323e-07,0.0,0.0,0.0,0.0,0.0,0.10596634273975554,0.0,0.0,-0.17072218794303762,-1.0,0.0,0.0,0.0,0.0,0.0
