x{power: 1.0}_x,dx/dx0{power: 1.0}_x,C_x,x{power: 1.0} * dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,x{power: 1.0} * y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,d^2x/dx0^2{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0} * x{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y
-0.0001415620268946,0.7302783980490755,0.000101824546488,-1.0,0.0,0.0,0.0,1.726276047962318e-05,-1.0,0.6360457220986828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0001415620268946,0.7302783980490755,0.000101824546488,-1.0,0.0,0.0,0.0,-8.838936391710939e-08,0.0,0.0,0.0,-1.0,0.6662551722842072,0.0,0.0,0.0,0.0
0.0,-1.0,-2.18277099617011e-05,0.0,0.8443228341565692,-8.31498663272342e-08,0.0,1.726276047962318e-05,-1.0,0.6360457220986828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.0,-2.182770996174899e-05,0.0,0.8443228341565812,-8.314986632724148e-08,0.0,-7.553928592845767e-06,0.7293901874493667,0.0,0.0,0.0,0.0,1.6144720830733052e-08,-1.0,0.0,0.0
-0.0001415620268946,0.7302783980490755,0.000101824546488,-1.0,0.0,0.0,0.0,3.253674407184974e-05,0.0,0.0,0.0,-1.0,0.5599594479851783,0.0,0.0,-0.0001088380792863,0.0
-0.0004853100788558,0.0,0.0003710490770658,0.0,0.0,-4.335791538318542e-08,-1.0,3.253674407184974e-05,0.0,0.0,0.0,-1.0,0.5599594479851783,0.0,0.0,-0.0001088380792863,0.0
-0.0001415620268946,0.7302783980490755,0.000101824546488,-1.0,0.0,0.0,0.0,1.5583446698785413e-05,0.0,0.0,-7.248148083526406e-05,0.0,0.3997949092409285,0.0,0.0,0.0,-1.0
-0.00014235293586663782,0.7302783980490755,0.00010112159842240318,-0.9984725300378052,0.0,-2.836969885883901e-10,-0.0014264446355031083,1.7304438882643558e-05,-1.0,0.6312017459192043,0.0,0.0,0.0,4.7415585498007054e-11,-0.002662673112757442,0.0,0.0
-0.000140645487700095,0.7302783980490755,0.00010231043953646963,-1.0,0.0,0.0,-0.0012264016469967338,-2.419212047875239e-07,0.00885989118619864,0.0,-6.031755893974672e-08,-1.0,0.664014589913952,0.0,0.0,0.0,0.0
0.0,-1.0,-2.182770996174899e-05,-0.0033484408515122867,0.8367862526101614,-8.314986632724148e-08,-0.0025849781804512073,1.7347199199196836e-05,-0.9984967502862505,0.6354887609341996,0.0,0.0,1.560137095548685e-05,5.075501009456892e-11,-0.0055242684676075045,0.0,-0.0001252191462112863
0.0,-0.9884282523420542,-2.0723476316824356e-05,-0.005415251468209547,0.8433903916442065,-8.314986632724148e-08,-0.0031417463595697025,-7.553928592845767e-06,0.727165132300231,0.0,0.0,-0.006180081978046155,0.005496486084103194,1.6144720830733052e-08,-1.0,-5.533284712376406e-07,-0.0006847352952719484
-0.00014129354751054343,0.7291759687397676,0.00010405915896775881,-1.0,0.0008401267280199933,0.0,0.0,3.253674407184974e-05,-0.0013678778305660385,0.0,0.0,-1.0,0.5559030222327815,5.568920003815461e-11,-0.0002611446635876098,-0.0001088380792863,-0.011609459887200232
