x{power: 1.0}_x,C_x,"dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,y{power: 1.0} * x{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * d^2y/dx0^2{power: 1.0}_x,C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0} * y{power: 1.0}_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * d^2x/dx0^2{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y","d^2y/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_y"
0.7131199728605143,-0.6195010940961272,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.572985225647483e-05,-1.0,-0.0001061346783121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.5131461085012766e-05,3.7287721910993235e-05,0.0,0.8247641673539078,-1.0,0.0,0.0,0.0,0.0,4.572985225647483e-05,-1.0,-0.0001061346783121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.5131461085012766e-05,3.7287721910993235e-05,0.0,0.8247641673539078,-1.0,0.0,0.0,0.0,0.0,-1.947434596909957e-07,0.4214297774309046,0.0,1.5016987057419807e-10,-1.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1763337353528983,-1.0,0.0,0.0,0.4196312019547433,0.0,0.0,0.0,4.572985225647483e-05,-1.0,-0.0001061346783121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-5.817229790167636e-10,0.0,0.0,0.0,0.0,0.0,6.976325136783476e-10,-1.0,0.0,0.0
-4.5131461085012766e-05,3.7287721910993235e-05,0.0,0.8247641673539078,-1.0,0.0,0.0,0.0,0.0,0.1766669924948328,0.0,0.0,-0.0003205026675134,0.0,425.3523171071286,0.0,0.0,-1.0,0.0
-0.0001396535632598,0.0001157891760753,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.1483566824257136e-08,0.0,2.8719561862157168e-08,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0004386401418398,0.0,0.0,7.809374260245418e-07,0.0,-1.0,0.0,0.0,0.0,0.0
0.7131199728605143,-0.6155793366703864,-0.9899605237174206,0.0,-0.0015469826869768265,0.0,-0.002883523238241753,-0.0010042699311195076,0.0,0.0005375183193189539,-0.9998900431091239,-0.00010536080484992616,-6.658284672094621e-07,-0.00037495129137911083,0.34373809884232176,5.568324224934561e-12,-0.00031287006264551354,-0.00040817387216285096,-0.00474723455485455
0.003632327803552348,-0.001566237408779422,0.0,0.8247641673539078,-0.9897698478830241,0.0,0.0,0.0,0.0,-4.009486391172945e-06,-0.9982275607022655,-0.00010593940767214478,4.356241451874405e-07,-0.001641511087747316,-1.0,2.4164098703827927e-12,-0.0023313533029624507,-0.0026898424135751277,-0.0006610345601048388
0.0015461792750763362,-0.0008680715782274277,-0.000622530509745623,0.8247641673539078,-1.0,0.0,-0.00040718308574457613,-0.00021104927525264475,-0.0015251067480572492,-0.00034901013958321344,0.4214297774309046,2.8719561862157168e-08,-6.59594946652672e-07,-0.9991203629522716,0.30281573535384365,0.0,0.0,-0.006040475336921986,0.0
-0.0001396535632598,-0.17447414046633658,-0.9995474610607441,0.002904368254212621,0.0,0.41764954034496987,0.0,0.0,-0.001696014081936954,0.0009304545191375895,-0.9934365099658764,-0.00010518549986589476,2.6895416420318753e-07,-0.0005656486402648335,0.39032810697856835,3.786315515254248e-12,-0.005528651708047551,0.0,-0.001945231576300403
