C_x,dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,x{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,x{power: 1.0} * dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * y{power: 1.0}_y
0.0044945258513586,-1.0,2.0731321500504056,-0.006477968306456,0.0,0.0,0.0,0.0,0.0,-3.380645445044808e-05,-1.0,4.77572512333276e-05,1.4519889282222749,0.0,0.0,0.0
-1.5503309251532254e-06,0.2675349443059913,0.0,0.0,-1.0,1.5219204924891035e-09,0.0,0.0,0.0,-3.380645445044808e-05,-1.0,4.77572512333276e-05,1.4519889282222749,0.0,0.0,0.0
-1.1358685761529031e-08,2.6132154743544347e-05,0.0,0.0,0.0,0.0,0.2673688138348583,-1.0,0.0,-0.0021437129717761,-1.0,0.0030884508466976,0.0,0.4448301838601681,0.0,0.0
0.0012020107587393,0.0,0.5564963455227497,-0.0017336407512206,-1.0,0.0,0.0,0.0,0.0,-0.0021437129717784,-1.0,0.003088450846701,0.0,0.4448301838601676,0.0,0.0
0.0044945258513583,-1.0,2.0731321500504043,-0.0064779683064563,0.0,0.0,0.0,0.0,0.0,-0.0021437129717784,-1.0,0.003088450846701,0.0,0.4448301838601676,0.0,0.0
0.0030627449098238,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0114397220000766,-0.0021437129717784,-1.0,0.003088450846701,0.0,0.4448301838601676,0.0,0.0
-3.232371630387811e-05,-1.0,1.5485496088017712,0.0,0.0,8.808829439258666e-08,0.0,0.0,0.0,-0.0021437129717761,-1.0,0.0030884508466976,0.0,0.4448301838601681,0.0,0.0
0.0030627449098238,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0114397220000766,8.08917106655595e-06,0.0,0.0,0.0001130532975233,0.0,-3.006126687511011e-05,-1.0
0.0044945258513586,-0.9978030071165969,2.0731321500504056,-0.006451619981891991,-0.003759749855368157,0.0,0.0,-0.0032982777864278374,0.0,-2.8706440513622225e-05,-0.9991313272688505,3.547837405176122e-05,1.4519889282222749,0.0020624013823929356,-1.4360639801406544e-07,-0.005003310939183672
1.1851611757886699e-05,0.2617934341305017,0.007644693506344581,-2.019018452320402e-05,-1.0,1.5097974109053415e-09,0.0,0.0,-0.00011316102795868955,-3.127685338724303e-05,-0.9973545085859001,3.798661550227443e-05,1.4365679571040018,0.0,-6.238330313170579e-08,0.0
-9.699117156833071e-06,-0.018228812906872824,0.007759604788590764,-1.2341162242688554e-06,-0.007310960495776771,0.0,0.2673688138348583,-0.9951790747425701,-3.545591539684913e-05,-0.0021437129717784,-1.0,0.0030881699581758707,0.008251770532718349,0.44469587491492235,-6.209549639059543e-08,-0.0005972274989866358
0.0012155458846247497,-0.015434973964226672,0.5742722746223957,-0.0017332622888632683,-1.0,2.1872005593914722e-10,0.0,0.0,-3.1314679463977736e-05,-0.0021364628827922434,-0.9987426908029465,0.0030817107790441795,0.0,0.4425505836757994,0.0,-0.003012195016935399
