C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,x{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y","y{power: 1.0} * t{power: 1.0, dim: 0.0}_y",y{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y"
-0.6907353929450359,-0.44589255192757865,0.4472135954999579,-0.7071067811865476,0.4472135954999579,0.44740651603626125,-0.4472135954999578,-2.23606797749979,-0.4476622474083763,0.7068160077939131,0.44721359549995804,-0.447214867323742,-0.4339760833837569,0.44721359549995787
-0.6982502430564287,-0.44487500687615583,0.4374599845508326,-0.7007624407571074,0.4431081486102582,0.44740651603626125,-0.4472135954999578,0.447213595499958,-0.447323880187667,-1.4632987726558053,0.4436145226106505,-0.447214867323742,-0.4428662569811494,0.44721359549995787
-0.6918520544689428,-0.43616360273827876,0.4471424469659046,-0.7071067811865476,0.4472135954999579,0.44740651603626125,-0.4472135954999578,-2.23606797749979,-0.4377635293154731,0.7068160077939131,0.44678079285290423,-0.447214867323742,-0.4469494082723225,0.4467954803771151
-0.6949599044871573,-0.44721359549995787,0.4419930806095387,-0.7065718823852403,0.43555909366279133,0.44740651603626125,-0.4472135954999578,0.447213595499958,-0.4476622474083763,-1.4632987726558053,0.44721359549995804,-0.439270572183784,-0.4472135954999579,0.44721359549995787
-0.6937094597260897,-0.4406281241113328,0.4472135954999579,-0.7071067811865476,0.4472135954999579,0.4437107775812236,-0.43785518948650987,0.4349437405288538,-0.44574456383604977,-1.4632987726558053,0.44721359549995804,-0.447214867323742,-0.4472135954999579,0.44721359549995787
-0.6982502430564287,-0.44721359549995787,0.4472135954999579,-0.7071067811865476,0.4472135954999579,0.44740651603626125,-0.4472135954999578,-2.2250269612791724,-0.44456899431998326,0.702549550092616,0.44721359549995804,-0.43194294482336365,-0.4445911030542626,0.44721359549995787
-0.6982502430564287,-0.43788900284155524,0.4472135954999579,-0.7022162183817104,0.4472135954999579,0.44740651603626125,-0.4472135954999578,0.43736349769304567,-0.4468998141147523,-1.462451290512733,0.44721359549995804,-0.447214867323742,-0.4472135954999579,0.44721359549995787
-0.6911657395547273,-0.43704364463965784,0.4392527789277605,-0.7071067811865476,0.4425975215867416,0.44740651603626125,-0.4462511171572988,0.447213595499958,-0.4476622474083763,-1.4564342942132062,0.44721359549995804,-0.44614939537356246,-0.4427116326381677,0.44553417688085606
-0.6982502430564287,-0.44536879978393173,0.4472135954999579,-0.699370306787648,0.4472135954999579,0.44740651603626125,-0.4461641601831729,-2.234160907780008,-0.43924492656137704,0.7036003160617644,0.44721359549995804,-0.447214867323742,-0.43822531562133327,0.44721359549995787
-0.696640705867986,-0.4385306051147256,0.4472135954999579,-0.7071067811865476,0.4472135954999579,0.4420116942207503,-0.4442241685125347,-2.222698360004964,-0.4476622474083763,0.7068160077939131,0.44721359549995804,-0.447214867323742,-0.4472135954999579,0.44721359549995787
