C_x,dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",y{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,"d^2x/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_x",y{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y
-1.2731359987947692,-2.2360679774997894,-2.218137059070549,2.2360679774997894,0.7107134825400206,0.42140077795404207,0.7071067811865475,0.44721359549995787,0.9790440672818267,-1.0,2.23606797749979,-0.9833188259198642,0.9968796307065335
1.346000712662448,0.44721359549995787,0.4472135954999579,-0.4472135954999578,-1.4142072674273474,0.4287215830123564,-1.4142135623730951,0.439996261653777,1.0077208500781791,-0.9942162619537934,-0.4399366299752496,-1.0076349774957984,1.0
-1.2731359987947692,-2.2360679774997894,-2.2242184756273913,2.2360679774997894,0.7108006350273751,0.42488895552990275,0.7071067811865475,0.4410863710723136,0.9817708405642476,-0.9962831676008095,2.23606797749979,-0.9768722459400926,0.9881607594076377
1.3575672643559067,0.44721359549995787,0.4396579912415325,-0.44585872886666617,-1.4066179598926492,0.421191706718304,-1.4116873166906072,0.44721359549995787,1.0077208500781791,-1.0,-0.447213595499958,-1.0076349774957984,1.0
1.350880852533705,0.44532310996668556,0.4472135954999579,-0.4472135954999578,-1.4142072674273474,0.4336609098640418,-1.405227394442463,0.44721359549995787,1.0077208500781791,-1.0,-0.447213595499958,-1.0076349774957984,0.9964265167903763
-1.2731359987947692,-2.2305108925448054,-2.23606797749979,2.2359782402704567,0.7108006350273751,0.4231870913615912,0.7069116601229662,0.4346980779575572,0.9888961207899521,-1.0,2.23606797749979,-0.9859428136580841,0.993575768999307
-1.2731359987947692,-2.2360679774997894,-2.2236410314188286,2.231832912126525,0.7108006350273751,0.4374169093793571,0.69894188183421,0.446686909029473,0.9895194863301318,-1.0,2.23606797749979,-0.9860556690168261,0.9872159347954741
1.3575672643559067,0.44644681566656547,0.4472135954999579,-0.4472135954999578,-1.4142072674273474,0.41951587726867484,-1.4142135623730951,0.44721359549995787,1.0045247948606844,-1.0,-0.447213595499958,-0.9956258758468346,1.0
-1.2731359987947692,-2.2360679774997894,-2.232795319245733,2.235467322982589,0.7108006350273751,0.4119875836736195,0.7071067811865475,0.43778805692621037,0.9700714905239312,-1.0,2.23606797749979,-0.9804992561874103,1.0
-1.2650787755452269,-2.234885453868438,-2.23606797749979,2.2360679774997894,0.7108006350273751,0.42040436632118416,0.7071067811865475,0.4376401319887533,0.9858270365032729,-1.0,2.2252874414508153,-0.9972999921571418,0.9996689791257324
