C_x,dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_x,"dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x","t{power: 1.0, dim: 0.0}_y",C_y,"t{power: 1.0, dim: 0.0} * y{power: 1.0}_y",dx/dx0{power: 1.0}_y
-0.44128361356957985,-0.6835567164911568,-1.0003356042599174,0.44522338866136835,-0.447213595499958,0.44512084805928287,0.44097333029517266,0.44721359549995787,-0.9137547389961841,0.399553424390599,0.701529272002352,0.4447391648618764
-0.4477726336942118,-0.6835567164911568,-0.9968579139047709,0.44720673860716303,-0.4456805166231729,0.44721359549995787,0.44749633017887497,0.44721359549995787,-0.9137547389961841,0.3979357369464836,0.7071067811865475,0.44416896298045944
-0.4477726336942118,-0.6802773991946057,-1.0003356042599174,0.4450540240175656,-0.4464516618201296,0.44721359549995787,0.44749633017887497,0.44721359549995787,-0.9137547389961841,0.3840490744218955,0.7071067811865475,0.4394032721222972
-0.43982794169569,-0.6833375688290092,-0.9936865953260277,0.447213595499958,-0.447213595499958,0.44721359549995787,0.4329303152023271,0.44721359549995787,-0.9137547389961841,0.39372177374502965,0.7071067811865475,0.44721359549995787
-0.4428912405098975,-0.6732131921459049,-1.0003356042599174,0.44499660511669087,-0.447213595499958,0.44721359549995787,0.4458264430284888,0.43879167657335955,-0.9137547389961841,0.38926401182380094,0.7001986185855998,0.44721359549995787
-0.4477726336942118,-0.677274454100497,-0.9984423448817746,0.447213595499958,-0.43639554871842684,0.44721359549995787,0.4407347169066613,0.4369852678869853,-0.9137547389961841,0.38334057634640256,0.7048688937970065,0.44721359549995787
-0.4477726336942118,-0.6753926008358176,-0.9968440301184348,0.447213595499958,-0.4352136906503181,0.44384208429414906,0.4425676892167066,0.44721359549995787,1.3200210026238883,0.5358712675757485,-1.4142135623730947,0.4459243133383938
-0.4477726336942118,-0.6832143287602586,-1.0003356042599174,0.4439271277820273,-0.43581453307688545,0.43080103274726295,0.44749633017887497,0.44034298799078214,1.3200210026238883,0.5358712675757485,-1.4142135623730947,0.44721359549995787
-0.4477726336942118,-0.6835567164911568,-1.0003356042599174,0.4441083119207304,-0.447213595499958,0.4450911732675936,0.44749633017887497,0.44721359549995787,1.3106500648484094,0.5341800537992323,-1.4142135623730947,0.4411832708467918
-0.4477726336942118,-0.6835567164911568,-1.0003356042599174,0.447213595499958,-0.4450360160922461,0.44721359549995787,0.43884793736199657,0.43770661332081545,-0.9137547389961841,0.399123725605281,0.6975343450326361,0.44721359549995787
