C_x,dx/dx0{power: 1.0}_x,x{power: 1.0}_x,dy/dx0{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,x{power: 1.0} * d^2y/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,dx/dx0{power: 1.0}_y,y{power: 1.0} * dy/dx0{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y
-1.3671322992907866,-0.4414826481332169,1.4142135623730954,1.0801118176048496,-0.7071067811865476,-0.7071067811865475,-0.447213595499958,0.43682793454912905,0.9988916927721113,-0.6776389250607804,-1.0000000000000853,0.7797277774592827,0.44721359549995787,0.4433228122714681,0.44721359549995787
-1.3617053767275265,-0.4472135954999578,1.408283734536553,1.079894986704519,-0.7071067811865476,-0.703624407520287,-0.447213595499958,0.44721359549995787,0.9891628513952699,-0.6841182880468133,-1.0000000000000853,0.7830840035804395,0.44721359549995787,0.4472135954999579,0.43852157140857306
-1.3671322992907866,-0.4472135954999578,1.4142135623730954,1.0806378976219166,-0.7071067811865476,-0.7030112559577005,-0.447213595499958,0.44721359549995787,0.9988916927721113,-0.6841182880468133,-1.0000000000000853,0.7640483019698687,0.44721359549995787,0.4470251462367529,0.44721359549995787
0.7992694433467523,-0.4427164774127679,-0.7071067811865475,0.8315606318721743,-0.7052343065490367,-0.7071067811865475,-0.447213595499958,0.44721359549995787,0.9988916927721113,-0.6841182880468133,-0.9966797856800037,0.7830840035804395,0.4413845242445522,0.4472135954999579,0.44721359549995787
0.7958857861382123,-0.4472135954999578,-0.6977237506435903,0.83325949642919,-0.6927764022566363,-0.7071067811865475,-0.43911935659560397,0.44721359549995787,0.9928089148216791,-0.6841182880468133,-1.0000000000000853,0.7830840035804395,0.44721359549995787,0.4427985290620791,0.44721359549995787
-1.3615473427813505,-0.4472135954999578,1.4142135623730954,1.0806378976219166,-0.7071067811865476,-0.7071067811865475,-0.447213595499958,0.44721359549995787,0.9988916927721113,-0.6841182880468133,-0.9951348372755601,0.7830840035804395,0.4404429632305107,0.4472135954999579,0.4393320267717827
-1.3671322992907866,-0.44038297782617036,1.4108615101853075,1.0759767453514908,-0.7071067811865476,-0.7035738339718605,-0.447213595499958,0.44721359549995787,0.9940905237908746,-0.6841182880468133,-1.0000000000000853,0.7830840035804395,0.44721359549995787,0.4472135954999579,0.44658181319425716
-1.3671322992907866,-0.4472135954999578,1.4142135623730954,1.0806378976219166,-0.7071067811865476,-0.7071067811865475,-0.447213595499958,0.44721359549995787,0.9988916927721113,-0.673084228057138,-0.9985751211338147,0.7830840035804395,0.44721359549995787,0.4472135954999579,0.4408959332981598
-1.3671322992907866,-0.4472135954999578,1.4142135623730954,1.0773717700986403,-0.7039582811692826,-0.7071067811865475,-0.4324670937370824,0.44721359549995787,0.9988916927721113,-0.6841182880468133,-0.9875121842453459,0.7830840035804395,0.44721359549995787,0.4472135954999579,0.44721359549995787
0.803342819409882,-0.44149005647697004,-0.7071067811865475,0.8234620272088511,-0.7071067811865476,-0.7071067811865475,-0.447213595499958,0.44721359549995787,0.9829392336544942,-0.6781023963405817,-1.0000000000000853,0.7830840035804395,0.43350606092049904,0.4472135954999579,0.4458351518149379
