C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,dy/dx0{power: 1.0}_x,x{power: 1.0}_x,"t{power: 1.0, dim: 0.0} * cos{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0} * dy/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0}_y,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,x{power: 1.0} * dy/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0} * y{power: 1.0}_y
0.44216454344679507,-0.4472135954999578,0.9950547823335651,1.000000000000021,-0.447213595499958,-0.6673414654039949,-0.447213595499958,0.44040557324655705,-0.447213595499958,0.44721359549995787,1.1956420638630887,2.231339540225587,-0.7054624923300483,-2.23606797749979,0.6984867755243347,0.4472135954999579,-0.44721359549995804
0.4389291317238552,-0.44705858087965883,1.0000000000039173,0.9983858204839494,-0.447213595499958,-0.6674924771279979,-0.447213595499958,0.4409633617172981,-0.447213595499958,0.44721359549995787,0.8899024566522252,-0.35621626820922087,-0.6973106696470303,0.4415260833486043,0.7071067811865475,0.43569855371140664,-0.44721359549995804
0.43257171651608445,-0.4472135954999578,0.9972306506761817,0.9922425412838654,-0.447213595499958,-0.6731934684148184,-0.447213595499958,0.44333451870745494,-0.447213595499958,0.44721359549995787,0.8821720798344208,-0.3670714162380961,-0.7070882375907536,0.44564566106371406,0.706851218783859,0.44458697945584025,-0.44721359549995804
0.4351371016469601,-0.4472135954999578,0.9969959674378306,1.000000000000021,-0.44294120378328083,-0.6711697249335128,-0.4348200941777081,0.4472135954999579,-0.44690154429210804,0.44721359549995787,1.2096590147662272,2.2177965132622486,-0.7039420273788474,-2.2327846611345086,0.7071067811865475,0.44601689178350895,-0.44721359549995804
0.4328822517870708,-0.4472135954999578,0.9977316175095093,0.9946985954557234,-0.447213595499958,-0.6570461337324628,-0.44530502404927175,0.4472135954999579,-0.447213595499958,0.4454218475074914,1.1984817627679418,2.231339540225587,-0.7026332279218893,-2.23606797749979,0.7071067811865475,0.4449479846378297,-0.44721359549995804
0.4260952854991811,-0.43445659118900554,0.9937118553799531,1.000000000000021,-0.447213595499958,-0.6731934684148184,-0.44573353729609927,0.4472135954999579,-0.44424158387509305,0.4354598373233353,0.89176613249719,-0.3617294886059645,-0.7070882375907536,0.4472135954999579,0.7071067811865475,0.4472135954999579,-0.44721359549995804
0.42598333578757275,-0.4472135954999578,1.0000000000039173,1.000000000000021,-0.447213595499958,-0.6731934684148184,-0.447213595499958,0.4472135954999579,-0.447213595499958,0.44184921386018766,1.2096590147662272,2.223857542286325,-0.7070882375907536,-2.2215719399643397,0.7043347964796313,0.4472135954999579,-0.44721359549995804
0.43196280095760814,-0.4472135954999578,1.0000000000039173,0.9936601044134403,-0.447213595499958,-0.6731934684148184,-0.4463351960514843,0.43547459051375964,-0.447213595499958,0.43703884223923817,0.8940009125439654,-0.36105762207341674,-0.7070882375907536,0.43974893310833413,0.7071067811865475,0.44179509677686946,-0.44721359549995804
0.4429505336702507,-0.4472135954999578,0.99631321144608,1.000000000000021,-0.447213595499958,-0.6613525900283045,-0.43811639283133147,0.4472135954999579,-0.447213595499958,0.44721359549995787,1.2081650035455573,2.231339540225587,-0.6979328901351938,-2.232497184593815,0.7071067811865475,0.44011856385013787,-0.4428949444072178
0.43270874277270827,-0.44300621023201986,1.0000000000039173,0.9813081561310658,-0.447213595499958,-0.6731934684148184,-0.447213595499958,0.4428310879808573,-0.447213595499958,0.44721359549995787,1.2096590147662272,2.2222682095305286,-0.7070882375907536,-2.23606797749979,0.7071067811865475,0.4472135954999579,-0.44721359549995804
