C_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,y{power: 1.0}_y,dx/dx0{power: 1.0}_y,y{power: 1.0} * dy/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0}_y,x{power: 1.0} * dy/dx0{power: 1.0}_y
-0.4651876617458604,0.4655219345074861,-0.4472135954999579,0.6270052692234994,-0.6876313083966763,-0.6627368866789755,-0.44978952776790193,2.235183037602436,0.44721359549995787,-0.44721359549995787,0.4472135954999579,-0.44454475546233313
-0.4651876617458604,0.4655219345074861,-0.4394629324839553,-2.2207284758276185,-0.6876313083966763,-1.2883793702262416,2.226765672914794,-0.4233810646694035,0.44721359549995787,-0.44721359549995787,0.4472135954999579,-0.44721359549995804
-0.4651876617458604,0.4655219345074861,-0.4384214342777829,0.6251096875891398,-0.6876313083966763,-0.6659539587900659,-0.44978952776790193,2.235183037602436,0.44721359549995787,-0.44721359549995787,0.4472135954999579,-0.44721359549995804
-0.4651876617458604,0.4655219345074861,-0.4472135954999579,0.6227004946110762,-0.6876313083966763,-0.6597838919912921,-0.44978952776790193,2.2294885943068996,0.44721359549995787,-0.44721359549995787,0.4472135954999579,-0.44721359549995804
-0.46501663616863226,0.4560913948679448,-0.4470238780464905,-2.2207284758276185,-0.6876313083966763,-1.2883793702262416,2.2360431531687954,-0.42458677324266775,0.4355880604328358,-0.44687278009813547,0.4472135954999579,-0.44721359549995804
-0.4543499852640061,0.4655219345074861,-0.4388987648470685,-2.2207284758276185,-0.6853346999323866,-1.2883793702262416,2.2360431531687954,-0.4301375462800691,0.44721359549995787,-0.4354197615330896,0.4472135954999579,-0.44721359549995804
-0.4651876617458604,0.4655219345074861,-0.43539849198688085,-2.2207284758276185,-0.6876313083966763,-1.284435124350523,2.2360431531687954,-0.4243243780114439,0.44721359549995787,-0.44721359549995787,0.4472135954999579,-0.44721359549995804
-0.4651876617458604,0.4655219345074861,-0.4472135954999579,-2.21861997714817,-0.6876313083966763,-1.2883793702262416,2.2360431531687954,-0.4376277365914308,0.44721359549995787,-0.44136100349405877,0.4472135954999579,-0.44721359549995804
-0.4651876617458604,0.461345799296014,-0.4472135954999579,-2.2207284758276185,-0.6792444892431843,-1.2883793702262416,2.2360431531687954,-0.44115341738772196,0.44147607736881467,-0.4405283617929982,0.4472135954999579,-0.4452627785636759
-0.45934992677245784,0.4655219345074861,-0.4425654357698091,-2.2207284758276185,-0.6867680044079875,-1.2831808337745316,2.2360431531687954,-0.4316570903916008,0.44721359549995787,-0.44721359549995787,0.4472135954999579,-0.4370777691626412
