x{power: 1.0}_x,C_x,d^2x/dx0^2{power: 1.0}_x,y{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",y{power: 1.0}_x,dx/dx0{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,y{power: 1.0}_y,x{power: 1.0} * dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,x{power: 1.0} * y{power: 1.0}_y
0.6683631623776235,0.4392935051171537,-1.328581207480259,1.9690254252160515,0.44721359549995787,-0.4361171960899797,0.4472135954999579,1.308046452607507,-0.7071067811865477,-1.431540353824022,-0.2579944600234623,-0.19516763129102702,-0.44721359549995787,0.4472135954999579
0.665182063852595,0.4255300135251675,-1.3224445693124114,1.9623261516463109,0.4438548049203409,-0.44722096012785856,0.44052380340055347,1.3068520643136836,-0.6907954509681193,-1.4230150051466255,-0.267370165753827,-0.1904899966439954,-0.44721359549995787,0.4472135954999579
0.6680542872383736,0.4290374597710003,0.41742958244713013,0.024465732584346492,-2.2302863619165056,-0.44722096012785856,0.4472135954999579,-0.6845631259855681,1.414213562373095,0.7211902385033215,-0.4951471464047531,-0.789298707114138,-0.44721359549995787,0.4472135954999579
0.6624798848348028,0.44786723820482566,-1.328581207480259,1.9690254252160515,0.440172548509898,-0.44611822398782963,0.4472135954999579,1.3415419868201492,-0.6975127033772951,-1.431540353824022,-0.26418876471074354,-0.19303436388118766,-0.44721359549995787,0.4472135954999579
0.6611748176285926,0.4362236583645067,0.4115317199679778,0.01984992127307973,-2.231068849280566,-0.4454970324974451,0.4442586149495668,-0.6816790660642947,1.414213562373095,0.7239558597199247,-0.4827035815528759,-0.789298707114138,-0.4398231070921324,0.4472135954999579
0.6665558863251267,0.4380144136534494,-1.3208172626737822,1.9690254252160515,0.44721359549995787,-0.44722096012785856,0.4453797432195813,1.3204774766780305,-0.6995108544797569,-1.431540353824022,-0.2543149835860368,-0.19668267730471858,-0.44605510544106014,0.4472135954999579
0.6607846207248376,0.4417915756864386,-1.3120671569064488,1.9649139508424789,0.44721359549995787,-0.4440356634036164,0.4466728591946856,1.3259556933267642,-0.7004292734056952,-1.431540353824022,-0.27585841475178347,-0.19466911791402322,-0.44160319600081716,0.4472135954999579
0.6587629724953286,0.4288887168195232,-1.328581207480259,1.9690254252160515,0.44286341068267665,-0.44722096012785856,0.4472135954999579,1.3071068554295213,-0.7071067811865477,-1.4276345709208236,-0.2624227651790189,-0.18613088178502732,-0.44721359549995787,0.4472135954999579
0.655493029563441,0.424598619566091,-1.328581207480259,1.9690254252160515,0.44721359549995787,-0.44722096012785856,0.43735188852373624,1.326605915571406,-0.7071067811865477,-1.431540353824022,-0.25943600048127546,-0.21130144577090257,-0.44721359549995787,0.4472135954999579
0.6533808769820328,0.43230654903819055,-1.3177472708783764,1.9588043169367886,0.4378964339959504,-0.44722096012785856,0.4472135954999579,1.3294582317398287,-0.7070291336150181,-1.431540353824022,-0.2585574739628102,-0.19121747557703012,-0.43894063421557344,0.4472135954999579
