,"t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * x{power: 1.0}_x,x{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0} * dy/dx0{power: 1.0}_x,"d^2x/dx0^2{power: 1.0} * sin{power: 1.0, dim: 0.0}_x","dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x",dy/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_y,y{power: 1.0}_y,C_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y","dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y,dx/dx0{power: 1.0}_y
0,3.5933668582498306e-09,0.9518695629113222,-9.391761107580101e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956906358024346,2.5819700554782873e-05,-1.4021206654718454e-05,-1.0,0.0,0.0,0.0,0.0,0.0
1,3.5933668582498306e-09,0.9518695629113222,-9.391761107580101e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8088184512873886e-08,0.0,0.0,3.6476372597648564e-11,-1.0,0.0,0.0
2,0.0,0.0,5.564871053688739e-07,0.0,0.9469481648489011,-1.0,-6.211974813676272e-07,0.0,0.0,0.0,0.0,0.0,0.956906358024346,2.5819700554782873e-05,-1.4021206654718454e-05,-1.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.9519155105426637,-5.445346269263875e-05,-1.0,0.0,0.0,5.771083446822535e-05,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.72178145009941e-11,0.0,2.3807745547403792e-08,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.9557995244078528,0.0,-4.2722313890947054e-07,-1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.00020382867471975137,0.0,0.0,-2.2495157963169544e-07,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.00019350407152333898,-1.0,0.0,-2.1306750748125519e-07,0.0,0.0,0.0
7,0.0,0.0,0.000141865221843033,0.0,-1.0,0.0,-0.00014830306099990307,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.9113315117155177e-07,0.0,-3.2237456970707656e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
9,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017003802561147067,-1.0,0.0,0.0,0.0,-0.0016836844600126122,0.08353271838867436
