,dx/dx0{power: 1.0}_x,x{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,dy/dx0{power: 1.0} * dx/dx0{power: 1.0}_x,d^2y/dx0^2{power: 1.0}_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x","t{power: 1.0, dim: 0.0} * x{power: 1.0}_x",d^2x/dx0^2{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",y{power: 1.0}_x,x{power: 1.0}_y,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y,d^2x/dx0^2{power: 1.0}_y,y{power: 1.0}_y,"y{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0} * dy/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y","dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y"
0,0.958414309475042,-4.789531947302534e-05,4.570826043936871e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009440329519022588,0.008996284388149336,-1.0,0.44901717427661597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014142357364103027,0.00013580462085813972,0.4770803163175098,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,3.925129760803676e-08,0.0,-1.0,0.0,0.0,-5.889832089790754e-11,0.0,0.0,0.0,0.0,-8.003794996702065e-09,2.1385684196647735e-05,0.0,0.0,0.9658727496218624,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.958414309475042,-4.789531947302534e-05,4.570826043936871e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001414235736409825,0.00013580462085816675,0.4770803163175061,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,3.925129760803676e-08,0.0,-1.0,0.0,0.0,-5.889832089790754e-11,0.0,0.0,0.0,-0.010333666047305417,0.00984301517735617,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,-0.00013566101871735262,0.00013066372160381638,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.010333666047305417,0.00984301517735617,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-1.0,0.0,-0.00015668746770873936,0.0,0.0,0.0,0.0,2.937489247778508e-07,0.0,0.0,0.0,-0.010333666047305417,0.00984301517735617,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,-0.00015119024585500266,-1.0,0.0,0.0,0.0,0.0,0.0,2.713689284997222e-07,0.0,0.0,6.08455964347254e-05,0.4745855102552755,0.0,-1.0,0.0,0.0,0.0,-0.0001339361818808399,0.0,0.0,0.0,0.0
8,0.0,-0.00013566101871735262,0.00013066372160381638,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-6.422527016296518e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.710841973595815e-14,-1.0,0.0,0.0
9,0.9572188054466022,0.0,-1.7500905371955336e-06,-1.0,0.0,0.0,0.0,3.096646918993507e-09,0.0,0.0,0.0,0.0,1.1578986619273471e-07,0.0,0.0,0.0,0.0,0.0,0.0,-2.5761061117313484e-07,0.0,0.0,5.88049565853695e-13,-1.0
