x{power: 1.0}_x,C_x,"dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,y{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x","x{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",dy/dx0{power: 1.0}_x,y{power: 1.0}_y,dy/dx0{power: 1.0}_y,C_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,dx/dx0{power: 1.0}_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y","t{power: 1.0, dim: 0.0} * y{power: 1.0}_y"
-0.1196050152322928,0.0099069472867698,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.87075601255119e-05,0.3517579868513732,2.818423756841705e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.036841711749145e-05,4.287326488810702e-05,0.0,0.7340849334010421,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.223137051516233e-07,0.0,0.7596585349420011,-1.0,5.263612479536436e-07,0.0,0.0,0.0,0.0
-6.036841711749145e-05,4.287326488810702e-05,0.0,0.7340849334010421,-1.0,0.0,0.0,0.0,0.0,-6.349250316300426e-05,0.7705276740844433,2.122304255482316e-05,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
-0.1196050152322928,0.0099069472867698,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3683291338403608,-1.4993140111548466e-06,-1.0,0.0,0.0,0.0,0.0,-0.0280533719917228,0.0,0.0
0.0,6.512840515058033e-05,0.0,0.0,-1.0,-0.0003663766950352,0.0,0.0,0.0,0.0,0.0,5.6829168527396455e-11,0.0,0.0,0.0,0.0,0.0,-2.351717025784155e-07,-1.0,0.0
0.0,-1.3494918882384168e-10,0.0,0.0,0.0,0.0,-1.0,1.3970952853822602e-05,0.0,0.0,0.0,5.6829168527396455e-11,0.0,0.0,0.0,0.0,0.0,-2.351717025784155e-07,-1.0,0.0
0.0,-3.188514861272288e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.4676571153573399,0.0,-1.0,-5.297425283875647e-05,0.0,0.0,0.0,0.0,0.0,0.460189121172133,0.0,0.0
0.0,-3.188514861272288e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.4676571153573399,0.0,-1.0,-0.0002106611123848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.978961705209131e-07
-0.1196050152322928,0.0099069472867698,-0.9979064861300877,-0.006938033007408829,-0.004837087613337135,-6.709435482313159e-07,-0.0034178916683763974,0.0,0.0004037173164724278,-8.81847244548734e-05,0.34276137170811943,2.7360998566435847e-05,-1.0,0.0,-0.0032517587606322993,1.4636448311579227e-09,-0.003288586532901558,0.00389717588417848,-0.0022588890109974846,0.0
0.0,-1.7882298538743093e-05,-0.002529897214636869,0.7340849334010421,-0.997616827120483,0.0,-0.003297434853879813,0.0,0.0,0.0,-0.0015469285905743066,-3.4620373696864074e-07,-0.0027991144781241415,0.7559113673743794,-0.9950598074700651,5.263612479536436e-07,0.0,-7.303503983566308e-05,-0.003052404062485666,0.0
-0.0008219655141194022,0.00011213310662836299,0.0,0.7304281913663861,-0.9974743943798307,-2.6593028096062655e-06,-0.00033271710844347166,2.716234325172285e-08,0.0,-6.36741322904636e-05,0.7705276740844433,2.059697725188058e-05,0.0,0.0006633744330883858,-0.00303788417592377,0.0,-0.9958213657809579,-0.0005622259236929694,-0.006727826706242438,0.0
-0.1196050152322928,0.009878551631174227,-1.0,0.006464989796205251,0.0,-6.573624057959886e-07,-0.0035329086464171576,0.0,0.0,-1.2110892072427399e-08,0.37073477928787146,-2.6295183061935687e-07,-0.9990898423010182,0.0,0.0,0.0,0.0,-0.0280533719917228,0.0,0.0
