,C_x,dx/dx0{power: 1.0} * dy/dx0{power: 1.0}_x,x{power: 1.0}_x,dx/dx0{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,dy/dx0{power: 1.0}_x,x{power: 1.0} * dy/dx0{power: 1.0}_x,d^2y/dx0^2{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,x{power: 1.0}_y,C_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,"dy/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y","t{power: 1.0, dim: 0.0} * dy/dx0{power: 1.0}_y","x{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0}_y,d^2x/dx0^2{power: 1.0} * y{power: 1.0}_y,dx/dx0{power: 1.0}_y,dy/dx0{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y"
0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034546483151594407,0.00022563768612367832,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.828538821819933e-10,0.0,-1.0,0.0,-6.348640577188028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.828538821819933e-10,0.0,-1.0,0.0,-6.348640577188028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-3.610496217944796e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.41864966636848366,0.0,0.0,0.0,0.0,1.3061305028884435e-07,0.0,0.0,0.0,0.0,-1.0,1.4799661075564696,0.0,0.0,0.0,0.0,0.0
4,-3.833483697522784e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5122124940411492,0.0,0.0,-8.43674325893222e-05,6.327760792052495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7732731967343327,-1.0,0.0,0.0
5,4.3297032093574965e-05,0.0,-6.102018613063689e-05,0.7332677974106635,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-5.828538821819933e-10,0.0,-1.0,0.0,-6.348640577188028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4.3297032093574965e-05,0.0,-6.102018613063689e-05,0.7332677974106635,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-8.43674325893222e-05,6.327760792052495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7732731967343327,-1.0,0.0,0.0
7,4.3297032093574965e-05,0.0,-6.102018613063689e-05,0.7332677974106635,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.00014044754364223486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0006297923748688664,0.0
8,-3.833483697522784e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5122124940411492,0.0,0.0,0.0,-7.828035073035053e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.426086879551816e-08
9,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
