,y{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0} * d^2y/dx0^2{power: 1.0}_x,d^2y/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,x{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y"
0,-4.305327041315405e-05,1.1243549696417408e-05,-1.0,0.683509538446512,0.0,0.0,0.0,0.0,0.0,-0.002237097616725834,-1.0,0.41349090320427756,0.0032227176997407553,0.0,0.0,0.0,0.0
1,-0.011152347505193548,0.0030151154566035844,0.0,-1.0,1.5633260015232175,0.0,0.0,0.0,0.0,-0.002237097616725834,-1.0,0.41349090320427756,0.0032227176997407553,0.0,0.0,0.0,0.0
2,-4.305327041315405e-05,1.1243549696417408e-05,-1.0,0.683509538446512,0.0,0.0,0.0,0.0,0.0,-0.00257944554818778,-1.0,0.0,0.00907108831794884,-0.013752381899993766,0.0,0.0,0.0
3,-0.011152347505193548,0.0030151154566035844,0.0,-1.0,1.5633260015232175,0.0,0.0,0.0,0.0,-1.048711980464638e-05,-1.0,0.4007277117164018,0.0,0.0,0.0,0.0,0.0
4,0.0,0.00011862274884853318,0.0,0.0,0.0,-0.00017157461167901467,-1.0,0.0,0.0,-0.00257944554818778,-1.0,0.0,0.00907108831794884,-0.013752381899993766,0.0,0.0,0.0
5,0.0,-3.543143979029772e-07,-1.0,0.6828681984296772,0.0,0.0,0.0,0.0,0.4051493782478394,1.166091484672351e-05,0.6853322587104032,0.0,0.0,-4.049603191719128e-05,0.0,-1.0,0.0
6,0.0,1.0251612975860627e-05,-1.0,0.6843153995158244,0.0,-1.5337692226091696e-05,0.0,0.0,0.0,7.446175176078071e-07,0.6854318693284951,0.0,0.0,0.0,0.0,-1.0,0.0
7,0.0,-3.543143979029772e-07,-1.0,0.6828681984296772,0.0,0.0,0.0,0.0,0.4051493782478394,-0.0022370976167258127,-1.0,0.41349090320427456,0.003222717699740588,0.0,0.0,0.0,0.0
8,-4.305327041315405e-05,1.1243549696417408e-05,-1.0,0.683509538446512,0.0,0.0,0.0,0.0,0.0,2.70575174910798e-05,0.6879487771241252,0.0,-3.800985756347103e-05,0.0,0.0,-1.0,0.0
9,-4.3053270412246966e-05,1.1243549696463321e-05,-1.0,0.6835095384465074,0.0,0.0,0.0,0.0,0.0,1.1660914846427887e-05,0.685332258710403,0.0,0.0,-4.0496031915941617e-05,0.0,-1.0,0.0
