,dx/dx0{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0} * y{power: 1.0}_x,y{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",C_y,dy/dx0{power: 1.0}_y,y{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y","dy/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y,d^2x/dx0^2{power: 1.0}_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0}_y
0,0.7283941766242235,0.00010983166562397076,-1.0,-0.00015275106687633925,0.0,0.0,0.0,0.0,0.0,0.0,0.00047114905636999653,-1.0,-0.0017008591914484661,0.002200301051571835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.4904007767264266e-08,0.0,-1.4273605962375537e-07,-1.0,0.7312723499166082,0.0,0.0,0.0,0.0,0.00047114905636999653,-1.0,-0.0017008591914484661,0.002200301051571835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7283941766242235,0.00010983166562397076,-1.0,-0.00015275106687633925,0.0,0.0,0.0,0.0,0.0,0.0,-2.4923923106199188e-08,0.0,8.215382674158427e-08,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.7283941766242235,0.00010983166562397076,-1.0,-0.00015275106687633925,0.0,0.0,0.0,0.0,0.0,0.0,-1.3748133716629935e-07,0.0,0.0,0.0,0.0,0.0,0.7305097756984896,2.0439675121352668e-10,-1.0,0.0,0.0,0.0
4,0.7283941766242235,0.00010983166562397076,-1.0,-0.00015275106687633925,0.0,0.0,0.0,0.0,0.0,0.0,2.8055601822329515e-05,0.0,-9.373276045950054e-05,0.0,0.0,0.0,-1.0,0.0,0.0,0.5788171511966034,0.0,0.0
5,0.0,-3.307323092752543e-09,0.0,0.0,0.0,0.0,-1.0,0.0,-8.12642373141568e-09,0.0,2.2739008358317798e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2440426303882214e-06
6,0.0,3.8144953817584156e-08,0.0,0.0,0.0,0.0,-1.0,0.0,-1.349208833564221e-07,0.0,-0.9725249809326489,382.9138093530228,0.0,-1.0,0.0,1.3646904641250177,0.0,0.0,0.0,0.0,0.0,0.0
7,-1.0,0.0016294695706187026,0.0,0.0,0.0,0.0,0.0,0.0,-0.005766782778154758,0.0,7.061577500546708e-05,0.0,-0.0001443390747225586,0.0,0.0,-3.75789811995847e-05,-1.0,0.0,0.0,0.0,0.0,0.0
8,-1.0,-0.00021739827173196134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6242166617143634e-07,-2.7752623393619953e-05,0.0,0.0,0.0,0.0,3.827492817718941e-05,-1.0,0.0,0.0,0.7442549475433256,0.0,0.0
9,0.0,-8.186511710165486e-08,0.0,0.0,-1.0,0.7315404559789993,0.0,0.0,0.0,-1.4295558628015764e-11,2.8055601822329515e-05,0.0,-9.373276045950054e-05,0.0,0.0,0.0,-1.0,0.0,0.0,0.5788171511966034,0.0,0.0
