,"t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,d^2y/dx0^2{power: 1.0} * dy/dx0{power: 1.0}_x,y{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0}_y,x{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0}_y
0,8.86049401045094e-09,0.3035310620748905,-4.500454681815038e-06,-1.0,0.0,0.0,0.0,0.0,0.0,2.1417501900947894e-05,-1.0,-7.247069097702658e-05,0.0,0.0,0.0,0.0,0.0
1,8.860494010396234e-09,0.3035310620748984,-4.500454681866326e-06,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0015003125080337082,0.0,0.0,0.0,-1.0,0.002120255017092542,0.002409590014131564,0.0
2,0.0,0.0,0.00015213655343980923,0.0,-0.00021549851256518453,-1.0,0.0,0.0,0.0,2.1417501900947894e-05,-1.0,-7.247069097702658e-05,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,-3.4382224403146275e-09,0.0,0.0,0.0,0.0,2.0844622282283048e-08,-1.0,-0.0015003125080337082,0.0,0.0,0.0,-1.0,0.002120255017092542,0.002409590014131564,0.0
4,0.0,-1.0,0.0026091257247712754,0.0,0.0,0.0,0.0,-0.008869828590851345,0.0,3.605966321276953e-05,-1.0,-7.664104120131409e-05,0.0,0.0,-1.90226895757951e-05,0.0,0.0
5,0.0,0.0,0.00015213655343980923,0.0,-0.00021549851256518453,-1.0,0.0,0.0,0.0,-0.0029944548886727943,0.0,0.001048961663876933,0.0,-1.0,0.003719674378414416,0.0,0.0
