,dy/dx0{power: 1.0}_x,y{power: 1.0}_x,C_x,"d^2x/dx0^2{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0} * x{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0} * sin{power: 1.0, dim: 0.0}_x",d^2y/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,y{power: 1.0}_y,x{power: 1.0} * dy/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",d^2x/dx0^2{power: 1.0}_y,"dy/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,dy/dx0{power: 1.0} * d^2x/dx0^2{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * x{power: 1.0}_y
0,0.0,2.0954985617422283e-08,-9.237861507160828e-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.485072284536596e-05,-1.0,8.646400372114941e-05,1.1999810093041337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,3.6470354029039403e-07,0.0,-1.0,0.0,1.2147103145334286,0.0,0.0,0.0,0.0,0.0,0.0,2.9319091691360506e-05,0.8331668173061462,-7.273522814963071e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,8.137336996335231e-07,0.0,0.0,0.0,0.0,-9.516338240913325e-07,-1.0,1.2080121050141304,0.0,0.0,0.0,2.9319091691360506e-05,0.8331668173061462,-7.273522814963071e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.797774773346882e-06,0.0,-1.0,-3.1386573934551042e-09,1.2146514069165604,0.0,0.0,0.0,0.0,0.0,0.0,2.2573247137632093e-08,0.0,0.0,0.0,-7.501214921446504e-11,0.0,-1.0,0.0,0.0,0.0,0.0
4,0.0,0.0,1.797774773346882e-06,0.0,-1.0,-3.1386573934551042e-09,1.2146514069165604,0.0,0.0,0.0,0.0,0.0,0.0,2.9319091691360506e-05,0.8331668173061462,-7.273522814963071e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,-4.21459100746615e-06,1.964181967120578e-06,0.0,0.4238382052323991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-8.827317223106199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010692004977254684,-1.0,0.0,0.0
6,0.0,0.0,-5.755803227276515e-08,-1.0,0.0,0.0,0.0,6.900648745916588e-08,0.0,0.0,0.0,0.0,0.0,3.541608830653537e-05,0.0,-8.189229310405196e-05,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
7,0.0,0.0,3.510954914105745e-05,0.0,0.82323701788781,0.0,-1.0,-4.267533857151779e-05,0.0,0.0,0.0,0.0,0.0,1.4908307558595672e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.768492402505162e-06,0.8298585874108603,0.0,-1.0
8,0.0,0.0,-5.965910975061854e-05,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1511996141943057,0.0015378772749810444,-1.0,-0.003788177110487149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,-4.270910033612884e-05,0.0,-1.0,0.0,1.2144902797285035,5.189860878577184e-05,0.0,0.0,0.0,0.0,0.0,2.7341744861757353e-08,3.939606894804321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8281035377439016,0.0,-1.0
