C_x,dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,y{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,d^2x/dx0^2{power: 1.0} * y{power: 1.0}_x,x{power: 1.0}_y,C_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,y{power: 1.0} * dy/dx0{power: 1.0}_y,y{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y
0.7791149807976702,-0.7071067811865476,0.7988755407880874,-0.2516481923651475,-0.169638552665692,0.30296077850522274,-0.4469626334852916,0.44038565878557234,-0.7087789331637517,0.6878487361118781,-2.2360679774997894,1.414213562373095,-0.6994480582840761,-0.7071060018833478,0.44642718069338777,0.44090377316672197
0.7702842183726063,-0.7071067811865476,0.8021203187260768,-0.26642324680876195,-0.16993086156213869,0.2956165696862184,-0.44681080563279,0.44721359549995787,-0.7128508692109717,0.6864982946420441,-2.233490722638461,1.414213562373095,-0.7071067811865476,-0.7071060018833478,0.44721359549995787,0.44721359549995787
0.7708876429339793,-0.7071067811865476,0.802136971201063,-0.25738734764352544,-0.15605922713742593,0.31548582867761976,-0.447213595499958,0.4410610301279786,-0.7128508692109717,0.7024144017697895,-2.2360679774997894,1.414213562373095,-0.6925077990522667,-0.7064950866951893,0.44721359549995787,0.44721359549995787
0.7877342246458626,-0.7071067811865476,0.7811216866349641,-0.24329285928943287,-0.16841755789639618,0.2967753087156487,-0.447213595499958,0.44721359549995787,-0.710772315045642,0.7063970248724074,-2.2285728188847833,1.414213562373095,-0.6973041028060095,-0.7071060018833478,0.44721359549995787,0.4447346912446005
0.7803737548783101,-0.6991655833288933,0.7914640668500629,-0.26944013982398657,-0.16120384629223927,0.29429355030034415,-0.447213595499958,0.44721359549995787,-0.7084649124144559,0.7078814074259892,-2.235565499029594,1.4034313926654554,-0.7071067811865476,-0.704700709807223,0.44721359549995787,0.4447647542580067
0.7697209790051194,-0.6966710766042702,0.7833017839779387,-0.24912784018710463,-0.15704200886497843,0.2950765043357083,-0.447213595499958,0.4450372618267296,1.414166704466331,-1.4117311766712881,0.4420320921633669,-0.7071067811865476,1.4092276100466,-0.7071060018833478,0.44721359549995787,0.44721359549995787
0.768420268905533,-0.7071067811865476,0.7808125943607811,-0.26574690927534383,-0.16983240936817987,0.28289678309531185,-0.447213595499958,0.4420649382666895,1.414166704466331,-1.4139077419893373,0.44721359549995787,-0.703625221852594,1.414213562373095,-0.7071060018833478,0.44721359549995787,0.44721359549995787
0.7711018606982023,-0.7071067811865476,0.7804640313491035,-0.252926522641599,-0.15876298864083693,0.3014672552723614,-0.447213595499958,0.44721359549995787,-0.710695618141885,0.6979163384329885,-2.230706717215057,1.405437407551233,-0.7071067811865476,-0.7071060018833478,0.44721359549995787,0.44721359549995787
0.7760625062357821,-0.7071067811865476,0.7949643952493944,-0.27157239098032876,-0.17646783001986963,0.2985415433912316,-0.447213595499958,0.44598136484076006,-0.7086911656197924,0.7005321774218114,-2.2250585053641707,1.414213562373095,-0.7071067811865476,-0.7071060018833478,0.44272087522715226,0.4406715319965024
0.7852897602040657,-0.7028499119015797,0.7870180321054462,-0.2538688538461739,-0.16407489638388004,0.3019315603490731,-0.447213595499958,0.44721359549995787,1.408694080394521,-1.4136407742965027,0.44721359549995787,-0.7071067811865476,1.414213562373095,-0.7022849618579082,0.4357258356778935,0.44721359549995787
