"t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,C_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,x{power: 1.0}_x,d^2x/dx0^2{power: 1.0}_x,y{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,dy/dx0{power: 1.0}_y,x{power: 1.0}_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y"
1.4142135623796441,0.8397943271208185,-0.5098565172417018,-1.4142135623730951,0.7035487218335587,0.6973909282131515,0.44721864019283886,0.44721359549995787,0.8847062934177161,-1.0,-0.5159529589860559,1.0,-0.9159195538603664,-0.7071067811865476
1.4142135623796441,0.8397943271208185,-0.504964037531049,-1.4142135623730951,0.7071067811865476,0.7071067811865475,0.44721864019283886,0.43419851698902895,0.875783546272413,-0.9957383762734714,-0.5143513069419419,1.0,-0.9171430726830961,-0.7071067811865476
1.4142135623796441,0.8396406765469175,-0.5127225985177999,-1.4093125807570657,0.7071067811865476,0.7071067811865475,0.44721864019283886,0.43646266938396866,-0.46298101938498776,0.9989185187908302,-0.349142906207359,-1.0,0.5440202642557816,1.411153298358694
1.4115771587801724,0.8397943271208185,-0.5127225985177999,-1.4142135623730951,0.6938012108735319,0.7071067811865475,0.43950543577343,0.4461024839998433,0.9018422426294419,-0.9997895409076063,-0.506141968471812,0.9991228672333992,-0.9229183741671123,-0.7071067811865476
1.4063640031385163,0.8397943271208185,-0.5127225985177999,-1.4142135623730951,0.7071067811865476,0.7071067811865475,0.44024870147779444,0.44721359549995787,-0.45968131607795504,0.9935105363697337,-0.33504849168884776,-0.9969269050644047,0.5540677371507979,1.4142135623730954
1.4085383690005193,0.8297229898664937,-0.5127225985177999,-1.406144346560866,0.6994310943119496,0.7036435228349327,0.44721864019283886,0.44721359549995787,0.8991783696717466,-0.9999419954732321,-0.5069827833469315,1.0,-0.9314109142103473,-0.6974263755823856
1.4142135623796441,0.8397943271208185,-0.5127225985177999,-1.4142135623730951,0.7071067811865476,0.7068850820805747,0.4410681691033209,0.44236302079525075,-0.4607594032608216,1.0,-0.3511487701627787,-0.994182586089176,0.5491280539043973,1.4142135623730954
1.4142135623796441,0.8397943271208185,-0.5032639641209927,-1.4142135623730951,0.7071067811865476,0.7071067811865475,0.44721864019283886,0.44721359549995787,0.9059301906704738,-1.0,-0.504868604910409,1.0,-0.9284068272154749,-0.7071067811865476
1.4142135623796441,0.8376369094424524,-0.5113499140723334,-1.4142135623730951,0.7052609973743973,0.7067207203680793,0.44721864019283886,0.44721359549995787,-0.4732090884436774,1.0,-0.330370182678217,-1.0,0.5700729122215282,1.4142135623730954
1.4088870105121916,0.8397943271208185,-0.5127225985177999,-1.410433617625699,0.7052551948679583,0.7036620805321471,0.44721864019283886,0.44721359549995787,0.8977968209310244,-0.9883217993015385,-0.4996829133681329,1.0,-0.934063717821447,-0.7071067811865476
