x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",C_x,d^2x/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * d^2y/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0} * d^2x/dx0^2{power: 1.0}_x,"dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0} * x{power: 1.0}_x,d^2y/dx0^2{power: 1.0}_x,C_y,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0} * y{power: 1.0}_y,y{power: 1.0} * x{power: 1.0}_y,dy/dx0{power: 1.0} * x{power: 1.0}_y
-2.23271657731418,-2.2282161690571076,1.9571973272728342,-2.2360679653768876,0.3441448080348204,-0.6930368690371195,-0.4472135954999579,0.44721359549995787,0.447012855736279,0.44721359549995787,-0.447213595499958,-2.078030846155926,-2.150678982387355,2.23606797749979,1.6206917764534867,1.414213562373095,0.6864982434154593,0.44721359549995787
-2.23606797749979,-2.226050233100084,1.9480638815415823,-2.2360679653768876,0.3431082391549556,-0.7071067811865475,-0.4428685985480527,0.4413478694189151,0.43727767894464586,0.44721359549995787,-0.43993986249058065,-2.0762481340312537,-2.150678982387355,2.23606797749979,1.6265372962647278,1.414213562373095,0.6864982434154593,0.44546979496211353
0.4472135954999579,0.4461763714694221,0.26654469548878706,0.4341148036889362,-1.2781083212049953,1.4142135623730951,-0.44719000972502737,0.44721359549995787,0.4472135954999579,0.44721359549995787,-0.447213595499958,0.08570313441162652,0.2890228504790422,-0.4472135954999579,0.283684056260167,-0.697929138598128,0.6805496778562943,0.44721359549995787
-2.2297427145838262,-2.23606797749979,1.9571973272728342,-2.2360679653768876,0.33635226237299337,-0.7071067811865475,-0.4438762005261596,0.4425558472189266,0.4472135954999579,0.44721359549995787,-0.447213595499958,-2.078030846155926,-2.150678982387355,2.2315663978107017,1.6265372962647278,1.4117225458124434,0.6864982434154593,0.43563005349323325
-2.23606797749979,-2.23606797749979,1.946298029416971,-2.2360679653768876,0.33983797949892025,-0.7071067811865475,-0.4472135954999579,0.4467290103158779,0.4472135954999579,0.44721359549995787,-0.447213595499958,-2.07409474593337,-2.150678982387355,2.229345378382904,1.6265372962647278,1.4132977355022742,0.6864982434154593,0.43085545778929146
0.4472135954999579,0.447213595499958,0.2617182784899498,0.44727062741607143,-1.2757970621786108,1.4142135623730951,-0.4472135954999579,0.4440891500229762,0.4383434681953026,0.44721359549995787,-0.4471681743933498,0.09309093957287369,0.27022045348269647,-0.4472135954999579,0.2867443995976014,-0.7009145132191648,0.6811136493301704,0.43320309930102785
-2.2279324019055347,-2.227753864430737,1.9527577884890996,-2.2199965411637597,0.33114508309591323,-0.7071067811865475,-0.4472135954999579,0.4471257460427727,0.4472135954999579,0.44721359549995787,-0.447213595499958,-2.069853060193405,-2.150678982387355,2.225409179950724,1.6265372962647278,1.4059902596315892,0.6864982434154593,0.43601882915425205
-2.23606797749979,-2.233741353867963,1.9547862639652969,-2.2309965663482227,0.3385509468977102,-0.7071067811865475,-0.4411826590106386,0.44721359549995787,0.44095237111051766,0.44721359549995787,-0.44020228632317226,-2.075386301720994,-2.150678982387355,2.2243588146855706,1.6265372962647278,1.4032346413527095,0.6864982434154593,0.43871062372470343
-2.227012166276918,-2.2326823606295627,1.9571973272728342,-2.226233746688181,0.34257643928171355,-0.7066471190964478,-0.4472135954999579,0.44721359549995787,0.4472135954999579,0.44721359549995787,-0.447213595499958,-2.078030846155926,-2.150678982387355,2.2355289697784992,1.6214400642064672,1.4119788202321262,0.6864982434154593,0.4312967411002369
-2.235744898174875,-2.23606797749979,1.945810422785021,-2.2360679653768876,0.35231557868971825,-0.6946875301854786,-0.4472135954999579,0.44721359549995787,0.44703379093823953,0.44721359549995787,-0.4441825564767234,-2.069293806669907,-2.150678982387355,2.2296801709355907,1.6265372962647278,1.413261069095136,0.6834218286498461,0.44721359549995787
