RMSE_x,RMSE_y,CRPS_x,CRPS_y
0.0275042308356168,0.05653375637721277,0.02162343201500665,0.038804604196826784
0.027265016581706523,0.09439427476877266,0.021505654611820482,0.05561016315642568
0.026289831209665448,0.029272021965671427,0.020966931123535645,0.02342394793868233
0.028953855890628103,0.02987151923841363,0.023412205676038286,0.02388975171702377
0.027500003042062116,0.028877728002363986,0.02155776091672408,0.023180740804054405
0.026913102560511354,0.02823389357743673,0.02164966680375482,0.022963443643687458
0.026166298111978365,0.23705277839999175,0.020672458559658574,0.11439538066003041
0.026186849252786058,0.41761427103751286,0.020686733553259014,0.19329987711606644
0.028508602121694305,0.027900455635282446,0.023044250222883783,0.022386945235083062
0.029125315046986212,0.03921081110999449,0.02347376677197988,0.02988059857008637
