dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",C_x,y{power: 1.0} * dx/dx0{power: 1.0}_x,"dx/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_x",d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,C_y,x{power: 1.0}_y,"x{power: 1.0} * t{power: 1.0, dim: 0.0}_y","t{power: 1.0, dim: 0.0} * dy/dx0{power: 1.0}_y",y{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y"
-0.07610818919543154,-0.4396568697314959,0.4357330358467261,0.44721359549995787,-2.2360679774997894,0.7071067811865475,-0.4270418052655912,0.43854562088800625,0.632579848711329,-0.44394852372635235,-0.44721359549995787,2.2360679774997894,-0.8487487371995861,-1.0
-0.07111512121682212,-0.44721359549995804,0.41009854365913,0.44721359549995787,-2.2360679774997894,0.7071067811865475,-0.42657024770060015,0.4437512972756672,0.6381350909273436,-0.44622940056731913,-0.44721359549995787,2.2360679774997894,-0.8542113590274455,-1.0
-0.07857056327114778,-0.4437328056579169,0.42380756943819525,0.44721359549995787,-2.2360679774997894,0.7071067811865475,-0.4182227474780661,0.44721359549995787,0.6475838355861803,-0.44721359549995804,-0.44721359549995787,2.2360679774997894,-0.8508145286951567,-0.9970526037528333
0.6703845380494949,2.2355774508167348,0.420715578264934,-2.2360679774997894,0.44721359549995787,0.705969813375575,-0.40608225363369604,0.44721359549995787,-2.175922138873582,2.223312277042568,2.2360679774997894,-0.44533635320567355,0.6767398905163072,-0.9946472215970377
0.6690209612986951,2.23606797749979,0.42047471006517334,-2.2360679774997894,0.44721359549995787,0.7071067811865475,-0.4283886628260543,0.44721359549995787,-2.180009104252236,2.2360679774997902,2.230479146290954,-0.44721359549995787,0.6767398905163072,-0.9874696193893002
-0.07098928737733849,-0.4467124701743869,0.41182081347755634,0.44721359549995787,-2.231406944454268,0.7071067811865475,-0.42364561743045376,0.44721359549995787,0.6451290087469125,-0.44721359549995804,-0.4298880548411112,2.2360679774997894,-0.8493145999408265,-0.9967001990859448
-0.07567012260248679,-0.44122836691753275,0.420566648345707,0.44721359549995787,-2.2360679774997894,0.7024434767067564,-0.42076590174115636,0.4442595865604001,0.6328236150073616,-0.44465052117345777,-0.44721359549995787,2.2360679774997894,-0.8400886643948328,-1.0
-0.07621482389680911,-0.439782209681989,0.42579796345417575,0.44721359549995787,-2.2320836532818076,0.7010677072365551,-0.416868128450539,0.44721359549995787,0.6339588450408322,-0.44721359549995804,-0.4322086539851065,2.2360679774997894,-0.8539399933187608,-1.0
0.6697218501536574,2.2332197887900866,0.3988798050072935,-2.2360679774997894,0.4425629479209775,0.7071067811865475,-0.424029681642992,0.44721359549995787,-2.1824878344197023,2.234440619926223,2.2255516725910742,-0.44721359549995787,0.6744517686454062,-1.0
0.6769335521353601,2.2308699404078824,0.4138571721811473,-2.2360679774997894,0.4457394572810067,0.7071067811865475,-0.41408782603689326,0.44166971981918635,-2.1824878344197023,2.2360679774997902,2.2360679774997894,-0.44721359549995787,0.6767398905163072,-0.9916980515858358
