y{power: 1.0}_x,C_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x","t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * y{power: 1.0}_x,d^2y/dx0^2{power: 1.0}_x,dy/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_y,dx/dx0{power: 1.0}_y,C_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y","t{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y,y{power: 1.0}_y,"d^2y/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_y",dx/dx0{power: 1.0} * d^2x/dx0^2{power: 1.0}_y
0.4447370388215392,-0.45118243868752955,-0.7071067811865476,2.23606797749979,0.21281403610936858,0.44721359549995787,-0.447213595499958,0.4472135954999579,1.4225967429910071,0.44084246647425923,1.7892753163202322,-1.4142135623730951,-2.2322418809603417,-0.7071067811865477,0.4399854842294787,0.43215939734056535,-0.4455416634092125
0.45120798804499485,-0.45118243868752955,-0.7068794456207763,-0.4472135954999579,0.20263321265246426,0.44721359549995787,-0.43999082971002973,0.4472135954999579,1.41445355497469,-2.2292193000982348,0.7718936440325221,-1.409988378299208,0.40265735726569446,-0.7071067811865477,0.4380051154962793,0.44721359549995787,-0.4472135954999579
0.45120798804499485,-0.45118243868752955,-0.706989121681698,-0.4472135954999579,0.1990729064199391,0.44721359549995787,-0.447213595499958,0.4472135954999579,1.4040175885129653,-2.2314395018772677,0.7726614462414018,-1.4142135623730951,0.392809810890413,-0.7018081321516039,0.4423963472047559,0.4451956791220466,-0.4426709242601504
0.45120798804499485,-0.4341193476632422,-0.6945166438875957,-0.434842525410589,0.2027964421033627,0.44721359549995787,-0.447213595499958,0.4430476666703859,1.408353065518288,-2.2360573436215168,0.7758477736709162,-1.4060200368409648,0.4025550515422071,-0.6972777463188322,0.447213595499958,0.44721359549995787,-0.4472135954999579
0.45120798804499485,-0.45118243868752955,-0.7004797669968065,2.234379573923964,0.2070011868157465,0.44721359549995787,-0.447213595499958,0.4472135954999579,1.4225967429910071,0.44589804642823794,1.7941241545741207,-1.39450600842907,-2.2322418809603417,-0.7071067811865477,0.447213595499958,0.44721359549995787,-0.44358540320948014
0.4452939542696808,-0.45118243868752955,-0.7071067811865476,-0.4472135954999579,0.20703944469368735,0.44721359549995787,-0.447213595499958,0.43440314053714074,1.4049360937533595,-2.2360573436215168,0.7606948250368447,-1.4105482762361672,0.3920426589724474,-0.7071067811865477,0.447213595499958,0.4435286678754853,-0.4472135954999579
0.45120798804499485,-0.45118243868752955,-0.7011530766521671,-0.4411314332088908,0.2055996629454503,0.447082131344318,-0.4404344790925953,0.4472135954999579,1.419702228970022,-2.2318332228303674,0.780117940022491,-1.4142135623730951,0.3893311946406313,-0.7071067811865477,0.44052392785103134,0.44721359549995787,-0.4472135954999579
0.45120798804499485,-0.4377772204795155,-0.7030938514024621,2.229312451985949,0.21012471384801984,0.43631321301975023,-0.44303431837949425,0.4472135954999579,1.4225967429910071,0.4427059532617658,1.7870797008998285,-1.4142135623730951,-2.2322418809603417,-0.7017790037289499,0.447213595499958,0.44410532455729956,-0.4472135954999579
0.45120798804499485,-0.45118243868752955,-0.7071067811865476,2.2269829886051618,0.20447596568302517,0.4470174245741606,-0.447213595499958,0.4378785288618357,1.4225967429910071,0.45396822792043895,1.7941241545741207,-1.4142135623730951,-2.2322418809603417,-0.6871076808093753,0.43935615774818737,0.44721359549995787,-0.4472135954999579
0.440088494859162,-0.4481786938837788,-0.7069243411527174,-0.4472135954999579,0.20006664775757196,0.44721359549995787,-0.447213595499958,0.446382341466041,1.3947764081899923,-2.2302494863090816,0.7713220264518551,-1.4142135623730951,0.37923646265592187,-0.6988817705478243,0.447213595499958,0.44721359549995787,-0.4472135954999579
