dy/dx0{power: 1.0}_x,x{power: 1.0}_x,C_x,d^2x/dx0^2{power: 1.0}_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,"d^2x/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_x",y{power: 1.0}_y,dy/dx0{power: 1.0}_y,C_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y,"d^2y/dx0^2{power: 1.0} * cos{power: 1.0, dim: 0.0}_y"
-2.23606797749979,-1.570150620217222,0.9252501820463573,-0.9961716444259253,0.7071067811865475,-0.8911363011930238,0.4472135954999579,-0.6993781347987369,-0.7045248564888261,0.7077097964307253,0.697377825965199,-1.0,0.44721359549995787
-2.2341247911549904,-1.570150620217222,0.9252501820463573,-1.0,0.7071067811865475,-0.8831177451572205,0.4389712240823858,-0.7071067811865476,-0.708179911307094,0.7143094947315775,0.7071067811865475,-1.0,0.44721359549995787
0.4472135954999579,-0.6387964269469177,0.872181400744355,-1.0,0.7057033468548238,-0.8911363011930238,0.43753952766293036,1.414213562373095,1.4142119312757897,-1.4141394353145154,-1.4142135623730951,1.0,0.44721359549995787
-2.23606797749979,-1.569458104651737,0.9252501820463573,-0.996560473898098,0.7053879543722761,-0.8911363011930238,0.44065581242284835,-0.7071067811865476,-0.7071711938080306,0.7143094947315775,0.7071067811865475,-0.9965235659059177,0.44721359549995787
-2.23606797749979,-1.564585474035204,0.9252501820463573,-0.9823929769840671,0.7071067811865475,-0.8911363011930238,0.4472135954999579,-0.7071067811865476,-0.7079629367790382,0.7143094947315775,0.7071067811865475,-1.0,0.44721359549995787
-2.2250861880406108,-1.5612213422110528,0.9252501820463573,-1.0,0.7071067811865475,-0.8911363011930238,0.4472135954999579,-0.7071067811865476,-0.708179911307094,0.7143094947315775,0.7071067811865475,-1.0,0.44721359549995787
-2.23606797749979,-1.5641693601331907,0.9252501820463573,-1.0,0.7068059752081838,-0.8911363011930238,0.4472135954999579,-0.7071067811865476,-0.708179911307094,0.7121900191257068,0.7012823761482753,-0.9997090928557889,0.43971678687378457
-2.2342793524940485,-1.570150620217222,0.92147377108779,-1.0,0.7071067811865475,-0.8911363011930238,0.4472135954999579,-0.7071067811865476,-0.7073620747847688,0.7101449903845168,0.7071067811865475,-0.9865903389984237,0.4443850259020623
-2.234441313736134,-1.5680946113404044,0.9252501820463573,-1.0,0.7071067811865475,-0.8911363011930238,0.4461425177255321,-0.7050442111016265,-0.6965973346397999,0.714025841032525,0.7071067811865475,-1.0,0.44721359549995787
0.4472135954999579,-0.6499784751656067,0.8645070820803542,-0.9993999179295223,0.7071067811865475,-0.8873561634605791,0.4472135954999579,1.4126935993708032,1.4130660440079394,-1.4082494551689646,-1.4142135623730951,1.0,0.44721359549995787
