C_x,dx/dx0{power: 1.0}_x,y{power: 1.0}_x,"dx/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_x",x{power: 1.0} * dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",dy/dx0{power: 1.0}_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x",y{power: 1.0}_y,C_y,"dy/dx0{power: 1.0} * sin{power: 1.0, dim: 0.0}_y",d^2y/dx0^2{power: 1.0}_y,x{power: 1.0}_y,dy/dx0{power: 1.0} * d^2y/dx0^2{power: 1.0}_y
-0.7816726880098791,-0.6729181299696618,0.7345899313339109,-0.4472135954999579,0.44721359549995787,0.447213595499958,0.44597575473025464,0.44721359549995787,1.4142135623730951,0.44275954529559913,-0.9879938439071646,0.44721359549995787,-0.44749941155980116,0.6952077528222038
-0.7933468102508306,-0.6729181299696618,0.750020000259496,-0.4365494972547567,0.44062896600419904,0.447213595499958,0.44721359549995787,0.44721359549995787,1.4142135623730951,0.4439175366551403,-0.9922583581082705,0.44721359549995787,-0.44749941155980116,0.7071067811865475
-0.7875252186038452,-0.661319196068255,0.7619726814891042,-0.44170429860603255,0.44721359549995787,0.447213595499958,0.44721359549995787,0.442655778847534,1.4142135623730951,0.4450220136414058,-1.0,0.4323815808434291,-0.44749941155980116,0.7071067811865475
1.3401956749042576,1.8778956007546126,-1.3485131135921546,-0.4472135954999579,-2.2205984000329324,0.447213595499958,0.44721359549995787,0.44721359549995787,1.4142135623730951,0.44598813384042924,-1.0,0.44721359549995787,-0.44749941155980116,0.7071067811865475
-0.7796240964253284,-0.6729181299696618,0.7469660638589083,-0.44710728807812034,0.44721359549995787,0.4457126485379675,0.43976050100255704,0.44721359549995787,1.4109103292773102,0.4368052597559021,-1.0,0.44721359549995787,-0.44749941155980116,0.6986274621242904
-0.7658252702973312,-0.6729181299696618,0.7367601346274509,-0.4472135954999579,0.44721359549995787,0.447213595499958,0.44721359549995787,0.44516174466053987,1.4076960611521463,0.4368912779229571,-0.9996807915798687,0.44721359549995787,-0.44749941155980116,0.7071067811865475
-0.7769444273860514,-0.6729181299696618,0.7525792414828495,-0.4331279923540338,0.44721359549995787,0.44534591210795055,0.44721359549995787,0.44721359549995787,1.4082662376836932,0.4322289219082747,-1.0,0.4393495880097905,-0.4455740942940283,0.7071067811865475
-0.7917596763702743,-0.6729181299696618,0.7533353782380983,-0.4472135954999579,0.44721359549995787,0.44587984406874126,0.4459165509336862,0.4325724112320983,1.4138950779685426,0.4384335784734555,-0.9984972243716903,0.44623916305087385,-0.44749941155980116,0.7071067811865475
1.3417655660338255,1.8778956007546126,-1.3350682875763464,-0.4472135954999579,-2.2329944574423437,0.447213595499958,0.4378213379637592,0.44721359549995787,1.4139817582267562,0.44298229943914436,-1.0,0.44721359549995787,-0.44466230660467615,0.697702692830189
-0.7750244863482584,-0.6678857270756918,0.7633757273348935,-0.44526526779752523,0.4442744407715137,0.447213595499958,0.44721359549995787,0.44721359549995787,1.412881320664499,0.43616696957920154,-1.0,0.44721359549995787,-0.44749941155980116,0.7071067811865475
