C_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,y{power: 1.0}_x,dx/dx0{power: 1.0}_x,x{power: 1.0} * dx/dx0{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x",C_y,dy/dx0{power: 1.0} * y{power: 1.0}_y,y{power: 1.0}_y,x{power: 1.0}_y,"t{power: 1.0, dim: 0.0}_y"
0.717450372033051,-1.4142135623730951,-0.7412087587133112,-0.4446618752224076,0.061265056080870496,0.7071067811865475,0.44179740371378373,-0.9999911047786211,0.9985575550022973,1.0,0.9999619684859259,-0.44721359549995787
0.717450372033051,-1.4142135623730951,-0.7412087587133112,-0.44019573024836245,0.06790200645486474,0.7071067811865475,0.44240694764255206,-0.9945624157444891,0.9961081103903546,1.0,0.9958607705071397,-0.44721359549995787
-1.7504847735577878,0.7071067811865475,1.4179027931852448,2.2359580580405494,-1.2592289698279349,0.7071067811865475,0.447213595499958,-0.9999911047786211,1.0,1.0,0.9999619684859259,-0.44721359549995787
0.7104913369050478,-1.413651602618698,-0.7412087587133112,-0.44590121780313385,0.06392915333364364,0.6994992873059295,0.447213595499958,-0.9999911047786211,0.9962337315433974,1.0,0.9999619684859259,-0.4354995687847127
0.717450372033051,-1.4142135623730951,-0.7412087587133112,-0.4423945333454188,0.07931805200250433,0.7071067811865475,0.447213595499958,-0.9999911047786211,0.9981073699374584,1.0,0.9999619684859259,-0.43794948453650706
0.717450372033051,-1.4142135623730951,-0.7384242346410408,-0.44753013861040225,0.06170942145230446,0.7070711291786163,0.447213595499958,-0.9999911047786211,0.9979132022655687,1.0,0.9946215589751802,-0.4462382321446865
0.7106968731368771,-1.4142135623730951,-0.7363045937684065,-0.43628735075035496,0.07294384538867218,0.7071067811865475,0.447213595499958,-0.9954632213780403,1.0,1.0,0.9884694955166253,-0.4423023270083007
-1.7504847735577878,0.7071067811865475,1.427761293569594,2.2359580580405494,-1.2592289698279349,0.6965855899636613,0.44412336206759645,-0.9999911047786211,1.0,0.986215216445954,0.9999619684859259,-0.4445845772617863
0.717450372033051,-1.4127096794702996,-0.7412087587133112,-0.4345660267347704,0.07346256273244074,0.7045185735242683,0.44520041768307367,-0.9999911047786211,0.9934333514223364,1.0,0.9972810803307732,-0.44721359549995787
-1.741976164162904,0.7071067811865475,1.426985281341933,2.2344131332679886,-1.2543696994317683,0.7071067811865475,0.447213595499958,-0.9948631652214224,1.0,1.0,0.9999619684859259,-0.444577677365692
