C_x,d^2x/dx0^2{power: 1.0}_x,x{power: 1.0}_x,"t{power: 1.0, dim: 0.0}_x","d^2x/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_x",dx/dx0{power: 1.0}_x,y{power: 1.0}_x,dy/dx0{power: 1.0}_x,dy/dx0{power: 1.0}_y,C_y,"dy/dx0{power: 1.0} * t{power: 1.0, dim: 0.0}_y",x{power: 1.0}_y,d^2y/dx0^2{power: 1.0}_y,d^2y/dx0^2{power: 1.0} * PWM{power: 1.0}_y
-0.4426456681580807,-0.9944808967276229,0.4274309997271407,0.4504942277090005,0.4395147860062854,0.701168970607931,0.44086251741933363,0.4472135954999579,0.7071067811865475,-1.4128465649251538,-1.4127957187006412,1.4142126377866213,0.43922081018117615,0.44721359549995787
-0.4526849533562113,-1.0,0.44784092022721056,0.4504942277090005,0.44721359549995787,0.7071067811865475,0.44721359549995787,0.4472135954999579,0.7071067811865475,-1.4078667249089662,-1.4137574010546576,1.4142126377866213,0.4472135954999579,0.44721359549995787
-0.4524179533982621,-0.9898740765567098,0.4308760051050175,0.4504942277090005,0.44721359549995787,0.7028158459197914,0.44721359549995787,0.4455965463620328,0.7071067811865475,-1.4142126054297022,-1.4142135623730951,1.4142126377866213,0.4472135954999579,0.44721359549995787
-0.4232783987930388,-1.0,0.4253952205276998,0.4391686486912559,0.44721359549995787,0.7039962545355729,0.44721359549995787,0.4472135954999579,0.7071067811865475,-1.4142126054297022,-1.4142135623730951,1.4142126377866213,0.44389937806847085,0.44721359549995787
-0.42716520374051276,-0.9884793411588092,0.4500631480559012,0.43398955543091633,0.44721359549995787,0.7071067811865475,0.4456365808197433,0.4472135954999579,-1.4137953859685564,0.7059771148824818,0.7071067811865475,-0.7065575541715857,0.4438562292866427,0.4394671711713925
-0.44059679469776764,-0.9948689376371486,0.4262155663578943,0.4504942277090005,0.44721359549995787,0.6975811215132458,0.4357621723336538,0.4472135954999579,0.6984651480821504,-1.4142126054297022,-1.4142135623730951,1.4142126377866213,0.4472135954999579,0.4457529614991424
-0.43270712807649653,-1.0,0.4443059830713887,0.4504942277090005,0.4439623588883773,0.7071067811865475,0.44721359549995787,0.4382747315446155,0.705554475659403,-1.4142126054297022,-1.4142135623730951,1.410571996724691,0.445812981859615,0.44721359549995787
-0.4466445688628901,-1.0,0.4433145052852392,0.4504942277090005,0.44721359549995787,0.7071067811865475,0.44721359549995787,0.43512907426683106,0.7071067811865475,-1.4142126054297022,-1.4056727861575629,1.4142126377866213,0.4472135954999579,0.44604344784745015
-0.4435982093234257,-1.0,0.43513885274095476,0.4346839434043234,0.44721359549995787,0.7038184182503175,0.44721359549995787,0.4472135954999579,-1.4113552268122322,0.707928896741917,0.7071067811865475,-0.7079148862384649,0.4472135954999579,0.43213289592571313
-0.436429620785176,-1.0,0.4337571771340389,0.4504942277090005,0.4412728474898432,0.7071067811865475,0.44487064723223513,0.4472135954999579,-1.4063195015982495,0.707928896741917,0.7071067811865475,-0.7077238589519642,0.4472135954999579,0.44721359549995787
