C_x,"dx/dx0{power: 1.0} * cos{power: 1.0, dim: 0.0}_x","t{power: 1.0, dim: 0.0}_x",y{power: 1.0}_x,dx/dx0{power: 1.0}_x,dx/dx0{power: 1.0} * x{power: 1.0}_x,dx/dx0{power: 1.0} * dy/dx0{power: 1.0}_x,C_y,d^2y/dx0^2{power: 1.0}_y,y{power: 1.0}_y,"d^2y/dx0^2{power: 1.0} * t{power: 1.0, dim: 0.0}_y",dy/dx0{power: 1.0}_y
-0.42345572355593175,-1.4142135623730951,-0.4379225544395587,0.46130763027766675,0.12075933867970184,0.7071067811865475,0.4472135954999579,-0.7046476667562236,-1.4142135623730951,0.7068469120975757,0.7046639628733673,0.6901047036319251
-0.43657887313574134,-1.4142135623730951,-0.446658300876658,0.4626773537785985,0.11472142316429297,0.7036490946534887,0.4472135954999579,-0.7083702768895009,-1.4079380078387735,0.6978018162914121,0.6999861512395162,0.7071067811865475
-0.43192797735412664,-1.4041844688127532,-0.447213595499958,0.4626773537785985,0.11601471646755988,0.7071067811865475,0.4472135954999579,-0.6939762406708675,-1.4142135623730951,0.7087711075695671,0.7071067811865475,0.7012237605059071
-0.4012177283625898,0.6961567119480221,-0.4373793679849689,0.41909560005765834,1.1569485790746994,-1.4142135623730951,0.4447526028549088,1.4142107525724783,0.7065488335791565,-1.4140241767761363,-1.4122649515120251,0.7071067811865475
-0.43373815897007045,-1.4142135623730951,-0.4329696158199653,0.4626773537785985,0.12043359382183692,0.7071067811865475,0.4472135954999579,-0.6960718575234018,-1.4142135623730951,0.7071390819271935,0.6995453553948601,0.7071067811865475
-0.38611561389144644,0.7071067811865475,-0.438444111069766,0.4251707213636738,1.1611152185799858,-1.4142135623730951,0.4472135954999579,1.4096816806279198,0.7050841482190456,-1.4142107379976456,-1.4112130356949086,0.7071067811865475
-0.43602564331582333,-1.4056004856997093,-0.447213595499958,0.4626773537785985,0.11280100021862673,0.7071067811865475,0.43991101957232115,-0.7095467859791246,-1.4142135623730951,0.6950568084253518,0.7071067811865475,0.7048068716537639
-0.43286280563953117,-1.4142135623730951,-0.447213595499958,0.4626773537785985,0.11221084813781257,0.7071067811865475,0.4472135954999579,-0.7095467859791246,-1.4051443024035801,0.7021051420226234,0.7062477566184266,0.7048175711067379
-0.43372711188403923,-1.4142135623730951,-0.447213595499958,0.4626773537785985,0.12183437389981,0.7071067811865475,0.4472135954999579,-0.7010059770651246,-1.4142135623730951,0.7095531024638344,0.6980276549513974,0.7071067811865475
-0.43204415083894177,-1.4142135623730951,-0.441385040343302,0.4626773537785985,0.13470857467164518,0.7071067811865475,0.4472135954999579,-0.706927430008073,-1.4142135623730951,0.7095531024638344,0.7071067811865475,0.7045801988655642
